tract,ZIP,apx_loc,county,TotalPop,CIscore,CIscoreP,ozone,ozoneP,pm,pmP,lead,leadP,diesel,dieselP,drink,drinkP,pest,pestP,RSEIhaz,RSEIhazP,traffic,trafficP,cleanups,cleanupsP,gwthreats,gwthreatsP,haz,hazP,iwb,iwbP,SmATS,SmATSP,swis,swisP,Pollution,PollutionScore,PollutionP,asthma,asthmaP,cvd,cvdP,diabetes,diabetesP,lbw,lbwP,edu,eduP,housingB,housingBP,ling,lingP,pov,povP,unemp,unempP,PopChar,PopCharScore,PopCharP,popund_10,pop10_64,popovr_64,white_pct,hispanic_pct,black_pct,nativeamer_pct,asian_pct,othmulti_pct
6061023300,95648,Lincoln,Placer,6752,6.977541618,4.463395725,0.049524979,63.51855919,7.80918018,29.25543598,0.860095566,0.499611413,0.044460092,41.36528526,48.46103111,53.39122788,0.004694357,11.22840691,16.56879997,13.30907487,609.191,46.77295217,0,0,1.5,13.05162965,0.1,14.62852988,1,10.17891263,42.3,50.87112172,0,0,26.54116802,3.231264352,9.707884911,24.53,23.87302987,15.35,60.75991189,8.3,9.944873208,3.44,10.33976747,4.790960452,22.92894473,5.023923445,2.889209912,2.290076336,18.06004066,8.575236967,8.903882314,3.695082921,23.59763578,20.75266915,2.159384333,7.121497397,17.31,70.9,11.79,52.41,19.82,4.71,0,15.85,7.21
6061023400,95648,Lincoln,Placer,6220,11.06629783,13.60062022,0.04923735,62.54118164,7.936926365,32.95629255,15.1316813,13.27856112,0.033276139,31.21908321,48.52698692,53.47916896,81.92947273,75.27191299,15.6113332,12.81287904,348.725,21.36338648,8.5,63.44054293,6,35.43409288,0,0,3,27.21903769,31.45,42.60143198,0.5,21.49758454,35.80979939,4.359677318,29.1346365,24.53,23.87302987,15.35,60.75991189,9.9,27.66262404,4.14,20.28445648,4.00482509,18.60335817,10.08174387,17.86865207,1.299376299,9.532352589,14.09946886,23.27176197,2.235371466,8.943905431,24.39450581,2.538329566,11.3855355,15.23,69.41,15.37,70.87,17.06,0,0,5.71,6.37
6061023501,95648,Lincoln,Placer,1098,6.967205544,4.41909403,0.050872702,67.45003295,7.542654514,21.15088952,0.066674075,0.033307428,0.006144346,5.166538419,48.40331978,53.31427943,0.25163013,33.04542546,9.945740067,10.93836145,268.017,13.28202309,3,32.9595751,0,0,0,0,6,50.11290603,9.65,17.02863962,0,0,22.59291152,2.750582399,4.810015374,24.78,24.30287667,14.53,54.26211454,10.7,39.10694598,,,4.279279279,20.1156455,9.756097561,16.27958662,1.431980907,10.88386557,0.819672131,0.03318217,0,0,24.34321752,2.532992848,11.30800753,5.1,67.58,27.32,67.49,13.39,0,0.55,14.66,3.92
6061023502,95648,Lincoln,Placer,6281,7.541619573,5.526636394,0.05008176,65.26466066,7.774323093,28.08038656,10.07111901,8.160319751,0.149023612,83.35715071,48.5682093,53.54512477,4.684261536,53.51887396,14.19483343,12.25052376,663.057,51.07201759,0.3,3.614635586,0,0,0,0,6,50.11290603,9.7,17.12410501,0,0,33.54029074,4.083375145,23.2264441,24.33,23.36603108,15.25,59.95594714,8.4,10.70562293,2.54,3.53313015,2.182112069,8.840209051,8.928571429,13.09034337,2.059732235,16.1105131,7.825948358,7.277955978,2.380176068,10.22638564,17.74963213,1.846908331,4.41909403,13.34,78.17,8.49,67.92,14.31,0.78,0,7.79,9.2
6061023600,95648,Lincoln,Placer,4521,10.5980547,12.27156939,0.050483698,66.43971008,7.63292551,23.80847793,0,0,0.005185639,4.18819391,48.5682093,53.54512477,4.257492894,52.94305822,12.27206677,11.62200904,142.787,3.815283123,1.5,19.10593095,0,0,0,0,0,0,27.9,39.2124105,0,0,21.27006261,2.589531668,3.558093565,24.53,23.87302987,15.35,60.75991189,14.8,86.90187431,,,3.02020875,13.45490937,10.15936255,18.20202245,0.544959128,1.877765817,12.32028312,18.5045902,6.307490145,55.39199286,39.33226408,4.092653058,34.84328276,0.4,14.71,84.89,86.37,5.71,0.22,0,2.68,5.02
6061023700,95648,Lincoln,Placer,3318,13.51859307,20.7110422,0.050217203,65.6929497,7.735742807,27.00417307,0,0,0.022703394,20.88600638,48.5682093,53.54512477,0,0,14.68906657,12.41592237,172.939,5.750412314,0.75,10.62260254,5.3,32.91029709,0.05,6.993091746,1,10.17891263,37.8,47.81622912,0,0,21.47016756,2.613893518,3.77772897,24.53,23.87302987,15.35,60.75991189,18.5,98.62183021,,,0.773754256,1.856999889,15.30864198,44.54939438,1.913875598,15.01016625,18.95720313,35.74825794,13.99176955,94.44630311,49.70357415,5.171822408,51.26813601,0.21,15.82,83.97,83,7.02,0,0,6.48,3.5
6061023800,95648,Lincoln,Placer,3234,14.58323261,23.70140658,0.050614782,66.84603558,7.691700799,25.41181638,0.177797533,0.099922283,0.009503295,8.101571947,47.92514016,52.89655931,288.799751,83.42930262,11.77025,11.48969015,215.019,8.93897746,3.3,34.70050162,21.5,70.36342659,0.01,1.890679918,1,10.17891263,22.6,33.36515513,0,0,29.79552719,3.627467518,15.84669449,24.53,23.87302987,15.35,60.75991189,17.2,96.75854465,,,3.815066279,17.6804181,13.6239782,35.71507945,1.355578728,10.17820835,11.28633271,15.59561995,1.6563147,4.87342478,38.63618947,4.020224176,33.62498616,3.37,16.02,80.61,78.08,12.77,1.24,0.62,4.08,3.22
6061023900,95648,Lincoln,Placer,3119,9.381789547,9.624543139,0.049381949,63.09027015,7.854801496,30.74895673,8.970996777,7.09448207,0.024028658,22.00725514,48.50225349,53.44619105,35.60006005,69.03390915,15.45356657,12.76877274,539.301,40.51676745,2.5,26.49749189,0.75,6.273435247,0,0,1,10.17891263,25,36.26491647,0,0,29.29303683,3.566291642,14.82538985,24.53,23.87302987,15.35,60.75991189,10.6,37.50826902,2.17,2.25759115,6.093189964,29.45624375,7.512195122,8.3675964,0.397219464,0.753498385,13.62616223,22.07720385,4.713375796,36.66778187,25.28208267,2.630684893,12.61490752,14.65,70.34,15,62.9,24.21,1.31,0,1.73,9.84
6063000100,95971,Quincy,Plumas,5809,13.29077622,20.09081847,0.051849938,70.36020206,6.78968277,4.908851307,40.69552906,41.1013656,0.005344022,4.375068704,22.98924792,21.87534352,0,0,0.109996933,2.988201566,126.633,2.91368884,0.3,3.614635586,17,62.95067782,0,0,1,10.17891263,0,0,8,84.42028986,21.33047768,2.596886923,3.623984186,29.34,36.26143503,15.58,61.91629956,11.2,46.46085998,8.3,93.622305,7.567813996,35.5832314,11.58690176,24.92499167,1.172870984,8.384164574,23.54729126,46.73155624,9.05380334,78.40972455,49.18597929,5.117964939,50.53715805,6.87,70.91,22.22,78.89,8.73,2.24,1.74,0.64,7.76
6063000201,96103,Blairsden Graeagle,Plumas,1398,13.76213203,21.43094473,0.052637825,72.29299363,6.761001689,4.579398199,22.36915213,20.97257688,0.004224733,3.187864131,74.60826622,88.11696164,0.814903069,40.78694818,0.028735367,1.830411291,75.783,0.956569544,0,0,0,0,0.1,14.62852988,4,36.09518847,0,0,11,90.2979066,27.22817834,3.314904679,10.8939161,20.76,15.89330982,5.25,0.539647577,15.4,90.24255788,8.47,94.5140535,1.691896705,5.93795174,9.324324324,14.51272364,0,0,28.46924177,57.41621502,7.807807808,69.63309914,39.89869505,4.151592087,35.7071658,10.73,35.26,54.01,96.49,1.93,0,0,0,1.57
