GEOID,drought_freq_spei12_midcentury,drought_delta_spei12_midcentury,drought_freq_spei36_midcentury,drought_delta_spei36_midcentury
06087121802,6.626685135437946,32.53370270875891,4.641760840521146,-7.164783189577087
06097154308,8.082973065484193,61.65946130968384,7.379530504501215,47.59061009002429
06097153301,9.698548845036534,93.97097690073069,9.208103792673354,84.16207585346706
06097152803,9.488636252294615,89.7727250458923,10.395150245846738,107.90300491693475
06097151403,9.900723113837353,98.01446227674703,8.643232509460441,72.8646501892088
06097151505,10.708748637446522,114.17497274893044,10.71058877411573,114.21177548231458
06097151701,9.047619047619047,80.95238095238093,7.4603174603174605,49.20634920634919
06033001101,10.439886527098826,108.79773054197662,13.073511874822755,161.47023749645504
06033000703,12.809409479074077,156.18818958148154,14.735387238577626,194.70774477155248
06097153707,9.28964676684513,85.7929353369026,8.688301210383527,73.76602420767055
06097151406,9.642857142857144,92.85714285714286,8.373015873015872,67.46031746031744
06095252204,9.835978045658582,96.71956091317159,12.030145941022885,140.6029188204577
06081612102,9.404761904761905,88.0952380952381,9.523809523809524,90.47619047619045
06081601301,4.591244981976011,-8.175100360479785,3.039524749658301,-39.20950500683399
06081602601,5.158730158730159,3.1746031746031917,4.246031746031745,-15.07936507936509
06041130204,6.194782262078302,23.895645241566044,5.999445308432923,19.98890616865845
06013355307,14.091351713755035,181.82703427510063,22.666124038298285,353.3224807659656
06013303207,10.882544774383808,117.65089548767615,16.931290859627463,238.62581719254928
06013392202,7.024060003324576,40.48120006649152,7.0876808848529524,41.753617697059035
06013314105,11.30952380952381,126.19047619047618,19.325396825396826,286.5079365079365
06013345117,9.890747271427909,97.81494542855815,12.764490244112343,155.28980488224684
06013355310,13.331598773955205,166.63197547910406,20.75700373287998,315.14007465759965
06069000602,13.649517465219787,172.99034930439572,18.617745668644705,272.35491337289415
06013355202,11.676180492037261,133.5236098407452,19.353099047077205,287.0619809415441
06013346205,11.273680716259069,125.47361432518134,16.752787221536806,235.0557444307361
06013303105,9.650585940033281,93.0117188006656,14.614564409539438,192.29128819078872
06013313104,11.100102977484832,122.00205954969665,18.762670344815344,275.25340689630684
06109002202,9.744476111915276,94.88952223830549,13.48858228713194,169.7716457426388
06109004101,10.17887022687697,103.5774045375394,13.6077758117917,172.15551623583397
06109004102,10.127882030647179,102.55764061294357,13.778759974476444,175.57519948952879
06109005101,10.554518976753924,111.09037953507847,14.339783119300318,186.7956623860063
06109002101,11.325755575545811,126.51511151091619,16.814487975554414,236.28975951108825
06109003101,9.538049393322215,90.76098786644427,13.651273420083207,173.0254684016641
06047000903,11.335399242064167,126.70798484128333,15.67464454615395,213.49289092307896
06047001006,11.785714285714286,135.71428571428572,17.936507936507937,258.7301587301587
06047000306,10.615656356896743,112.31312713793486,16.156853336898514,223.13706673797023
