cdcr_code,facility_name,cluster,average_2025_population,days_outdoor_90f_2025,days_outdoor_above_78f_2025,days_indoor_above_78f_2025,ratio_indoor_to_outdoor_78f,pct_buildings_refrigeration,pct_buildings_evaporation,pct_buildings_ventilation,year_opened,elevation_m,uhi_normalized,latitude,longitude,hotnights_pre_pct,avg_tmin_f_2025,envelope_work,ratio_indoor_to_outdoor,capacity_percent_2025,securelvl,cap_pct,cooling_type,cluster_v2
SAC,"California State Prison, Sacramento",C,2131.0,67,143,133,0.93,0.08,0.92,0.0,1986.0,117.0,0.0,38.694444232143624,-121.15390376526624,6.502036819428132,58.5,2021,0.93,1.1657,MAXIMUM,116.57,evaporation,C
CMF,California Medical Facility,C,2045.0,54,146,135,0.925,0.5283,0.4717,0.0,1955.0,43.0,0.5815,38.3285102029971,-121.97916451130509,6.478260869565202,56.4,—,0.925,0.8816,MEDIUM,88.16000000000001,refrigeration,B
CIW,California Institution For Women,C,1187.0,77,164,150,0.915,0.3636,0.6364,0.0,1952.0,173.0,0.6051,33.94974539755923,-117.6363650322742,5.51796206144034,59.8,—,0.915,0.927,MAXIMUM,92.7,evaporation,C
NKSP,North Kern State Prison,C,2570.0,114,162,134,0.827,0.04,0.96,0.0,1993.0,78.0,0.6276,35.78188517301339,-119.30987566982682,7.3743271221532,59.9,2022,0.827,1.3452,MEDIUM,134.51999999999998,evaporation,C
WSP,Wasco State Prison,C,3676.0,124,166,136,0.819,0.0,1.0,0.0,1991.0,88.0,0.4839,35.59431194493489,-119.40833193657431,6.795957284515638,60.2,—,0.819,1.5419,MEDIUM,154.19,evaporation,C
SATF,Ca Substance Abuse Treatment Facility,C,5358.0,111,163,133,0.816,0.0625,1.0,0.0,1997.0,55.0,0.6008,36.05395908338128,-119.54782062864966,8.652898550724656,60.8,2024,0.816,1.565,NOT AVAILABLE,156.5,evaporation,C
ASP,Avenal State Prison,C,3891.0,110,162,132,0.815,0.0,1.0,0.0,1987.0,235.0,0.0,35.97394943680589,-120.123101823151,7.273673842690304,62.0,—,0.815,1.3378,MEDIUM,133.78,evaporation,C
CAL,Calipatria State Prison,B,2462.0,179,181,137,0.757,1.0,0.0,0.0,1992.0,-48.0,0.0,33.16569335411168,-115.4843440200192,5.903079710144926,71.2,active,0.757,1.3615,MAXIMUM,136.15,refrigeration,B
CMC,California Men'S Colony,A,2172.0,1,47,33,0.702,0.1875,0.0,0.8125,1961.0,125.0,0.0698,35.324574100099134,-120.69890041992886,0.0,52.4,—,0.702,0.8312,MEDIUM,83.12,ventilation,A
HDSP,High Desert State Prison,C,2719.0,59,128,89,0.695,0.0345,0.9655,0.0,1995.0,1267.0,0.041,40.40786908373915,-120.51339082085426,8.99740508646122,46.4,active,0.695,1.3065,MAXIMUM,130.65,evaporation,C
CCWF,Central California Women'S Facility,C,2040.0,92,162,97,0.599,0.0,1.0,0.0,1990.0,85.0,0.0913,37.0936807963828,-120.15270979438849,7.381827250810537,58.5,active,0.599,1.0272,MAXIMUM,102.71999999999998,evaporation,C
PVSP,Pleasant Valley State Prison,C,2992.0,111,163,67,0.411,0.0435,0.9565,0.0,1994.0,173.0,0.0,36.131473239777144,-120.24889960644474,6.555950739154648,61.2,2022,0.411,1.2962,MAXIMUM,129.62,evaporation,C
KVSP,Kern Valley State Prison,C,3092.0,114,162,66,0.407,0.1,0.0,0.9,2005.0,77.0,0.1504,35.76647451591408,-119.32536275967016,7.51449275362318,59.9,—,0.407,1.263,MAXIMUM,126.29999999999998,ventilation,A
VSP,Valley State Prison,C,3148.0,92,162,52,0.321,0.0,1.0,0.0,1995.0,87.0,0.0913,37.105477428630245,-120.15547185750694,7.381827250810537,58.5,2024,0.321,1.6053,MEDIUM,160.53,evaporation,C
LAC,California State Prison-Los Angeles County,C,2949.0,104,162,39,0.241,0.0455,0.9545,0.0,1993.0,716.0,0.0,34.693596500791955,-118.2276135961975,12.079710144927532,60.1,active,0.241,1.2822,MAXIMUM,128.22,evaporation,C
CEN,Centinela State Prison,B,2984.0,194,184,42,0.228,1.0,0.0,0.0,1993.0,-4.0,0.0,32.82339731050856,-115.7890554901459,6.605643754886054,71.9,—,0.228,1.2931,MAXIMUM,129.31,refrigeration,B
MCSP,Mule Creek State Prison,C,3761.0,56,138,11,0.08,0.1364,0.8636,0.0,1987.0,98.0,0.2625,38.37074337471898,-120.95344581511613,7.395526057030535,56.6,—,0.08,1.1452,MAXIMUM,114.52,evaporation,C
SVSP,Salinas Valley State Prison,A,2387.0,3,31,1,0.032,0.1304,0.8696,0.0,1996.0,88.0,0.0,36.47885711260287,-121.37439425565836,4.247949668576568,54.2,2025*,0.032,0.9736,MAXIMUM,97.36,evaporation,C
ISP,Ironwood State Prison,B,2764.0,192,183,1,0.005,1.0,0.0,0.0,1994.0,139.0,0.0,33.56097662668156,-114.9260675684116,6.552429667519181,73.0,incidental (HVAC 2024),0.005,1.2521,MEDIUM,125.21,refrigeration,B
CHCF,California Health Care Facility,B,2251.0,75,161,0,0.0,1.0,0.0,0.0,2013.0,13.0,0.3422,37.89778736654379,-121.1905848230992,6.106059967106612,58.6,—,0.0,0.7622,NOT AVAILABLE,76.22,refrigeration,B
