cdcr_code,name,latitude,longitude,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,pct_hu_mechanical,pct_hu_evaporative,pct_hu_air_handlers,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,gender_female_pct,rhu_pct_2025,dist_nearest_medical_mi,in_urban_area_2020,california_model_facility,year_opened,hazard_score,risk_score,risk_category,time_period,index_version
CMF,California Medical Facility,38.3285102029971,-121.97916451130509,2045.0,0.49,0.55,40.62387437615521,0.925,135,0.5815,0.5283,0.4717,0.0,86.7,53.2,24.2,43.9,0.7223716381418093,0.0024449877750611,2.8167,0.07,True,,1955.0,0.32,61.46,Moderate,current,v0.2
CMF,California Medical Facility,38.3285102029971,-121.97916451130509,2045.0,0.49,0.55,40.62387437615521,0.925,135,0.5815,0.5283,0.4717,0.0,86.7,53.2,24.2,43.9,0.7223716381418093,0.0024449877750611,2.8167,0.07,True,,1955.0,0.76,87.56,Highest,midcentury,v0.2
COR,"California State Prison, Corcoran",36.060818292814254,-119.54912102574772,2629.0,0.66,0.38,61.689244197361795,0.975,159,0.5779,0.0,1.0,0.0,71.5,40.1,9.8,18.4,0.7950107772283506,0.0,13.6083,0.27,True,Yes,1988.0,0.36,54.18,Moderate,current,v0.2
COR,"California State Prison, Corcoran",36.060818292814254,-119.54912102574772,2629.0,0.66,0.38,61.689244197361795,0.975,159,0.5779,0.0,1.0,0.0,71.5,40.1,9.8,18.4,0.7950107772283506,0.0,13.6083,0.27,True,Yes,1988.0,0.91,87.11,Highest,midcentury,v0.2
CRC,California Rehabilitation Center,33.9292530412966,-117.5725312861978,2330.0,0.62,0.25,59.583481416329555,0.961,149,0.5713,0.0833,0.0278,0.8889,52.9,26.0,1.8,4.0,0.8332618025751072,0.0,0.0,0.38,True,,1962.0,0.35,35.58,Lowest,current,v0.2
CRC,California Rehabilitation Center,33.9292530412966,-117.5725312861978,2330.0,0.62,0.25,59.583481416329555,0.961,149,0.5713,0.0833,0.0278,0.8889,52.9,26.0,1.8,4.0,0.8332618025751072,0.0,0.0,0.38,True,,1962.0,0.93,69.76,High,midcentury,v0.2
CTF,Correctional Training Facility,36.46964827416208,-121.38223254073095,4225.0,0.37,0.33,12.204984562477916,1.935,60,0.0,0.0,0.0455,0.9545,48.400000000000006,48.5,0.0,14.7,0.8239842209072978,0.0,2.525,0.42,False,,1946.0,0.26,24.91,Lowest,current,v0.2
CTF,Correctional Training Facility,36.46964827416208,-121.38223254073095,4225.0,0.37,0.33,12.204984562477916,1.935,60,0.0,0.0,0.0455,0.9545,48.400000000000006,48.5,0.0,14.7,0.8239842209072978,0.0,2.525,0.42,False,,1946.0,0.59,44.49,Lowest,midcentury,v0.2
FOL,Folsom State Prison,38.69538346625723,-121.1630323451162,2777.0,0.45,0.25,42.258666363697984,1.097,158,0.0,0.25,0.75,0.0,42.2,26.8,0.0,3.4,0.8839274996999159,0.0,4.325,0.22,True,,1880.0,0.33,24.71,Lowest,current,v0.2
FOL,Folsom State Prison,38.69538346625723,-121.1630323451162,2777.0,0.45,0.25,42.258666363697984,1.097,158,0.0,0.25,0.75,0.0,42.2,26.8,0.0,3.4,0.8839274996999159,0.0,4.325,0.22,True,,1880.0,0.81,52.89,Moderate,midcentury,v0.2
HDSP,High Desert State Prison,40.40786908373915,-120.51339082085426,2719.0,0.4,0.28,23.94519366034654,0.695,89,0.041,0.0345,0.9655,0.0,65.1,20.3,3.8,17.9,0.8000796861591273,0.0,3.6667,0.53,False,,1995.0,0.28,22.87,Lowest,current,v0.2
HDSP,High Desert State Prison,40.40786908373915,-120.51339082085426,2719.0,0.4,0.28,23.94519366034654,0.695,89,0.041,0.0345,0.9655,0.0,65.1,20.3,3.8,17.9,0.8000796861591273,0.0,3.6667,0.53,False,,1995.0,0.82,54.83,Moderate,midcentury,v0.2
ISP,Ironwood State Prison,33.56097662668156,-114.9260675684116,2764.0,0.0,0.24,65.61582130994081,0.005,1,0.0,1.0,0.0,0.0,25.799999999999997,35.8,0.0,7.6,0.8630607814761215,0.0,2.525,1.12,False,,1994.0,0.43,2.91,Lowest,current,v0.2
ISP,Ironwood State Prison,33.56097662668156,-114.9260675684116,2764.0,0.0,0.24,65.61582130994081,0.005,1,0.0,1.0,0.0,0.0,25.799999999999997,35.8,0.0,7.6,0.8630607814761215,0.0,2.525,1.12,False,,1994.0,0.86,28.21,Lowest,midcentury,v0.2
KVSP,Kern Valley State Prison,35.76647451591408,-119.32536275967016,3092.0,0.37,0.35,54.240175514320654,0.407,66,0.1504,0.1,0.0,0.9,66.4,14.8,10.9,12.2,0.9123814144027595,0.0,6.425,1.48,False,,2005.0,0.35,33.16,Lowest,current,v0.2
KVSP,Kern Valley State Prison,35.76647451591408,-119.32536275967016,3092.0,0.37,0.35,54.240175514320654,0.407,66,0.1504,0.1,0.0,0.9,66.4,14.8,10.9,12.2,0.9123814144027595,0.0,6.425,1.48,False,,2005.0,0.84,62.37,Moderate,midcentury,v0.2
LAC,California State Prison-Los Angeles County,34.693596500791955,-118.2276135961975,2949.0,0.3,0.47,34.084143030236156,0.241,39,0.0,0.0455,0.9545,0.0,76.6,25.0,20.5,21.5,0.9018028710297276,0.0,7.075,1.51,True,,1993.0,0.32,40.96,Lowest,current,v0.2
LAC,California State Prison-Los Angeles County,34.693596500791955,-118.2276135961975,2949.0,0.3,0.47,34.084143030236156,0.241,39,0.0,0.0455,0.9545,0.0,76.6,25.0,20.5,21.5,0.9018028710297276,0.0,7.075,1.51,True,,1993.0,0.86,72.97,High,midcentury,v0.2
MCSP,Mule Creek State Prison,38.37074337471898,-120.95344581511613,3761.0,0.3,0.42,23.079087058140587,0.08,11,0.2625,0.1364,0.8636,0.0,82.9,38.2,21.1,26.8,0.7051094567047772,0.0,2.725,0.17,False,,1987.0,0.32,34.67,Lowest,current,v0.2
MCSP,Mule Creek State Prison,38.37074337471898,-120.95344581511613,3761.0,0.3,0.42,23.079087058140587,0.08,11,0.2625,0.1364,0.8636,0.0,82.9,38.2,21.1,26.8,0.7051094567047772,0.0,2.725,0.17,False,,1987.0,0.8,63.42,Moderate,midcentury,v0.2
NKSP,North Kern State Prison,35.78188517301339,-119.30987566982682,2570.0,0.62,0.2,58.88274154861368,0.827,134,0.6276,0.04,0.96,0.0,52.8,13.2,3.1,3.8,0.813780804150454,0.0,3.3667,0.21,False,,1993.0,0.35,29.47,Lowest,current,v0.2
NKSP,North Kern State Prison,35.78188517301339,-119.30987566982682,2570.0,0.62,0.2,58.88274154861368,0.827,134,0.6276,0.04,0.96,0.0,52.8,13.2,3.1,3.8,0.813780804150454,0.0,3.3667,0.21,False,,1993.0,0.85,59.18,Moderate,midcentury,v0.2
PBSP,Pelican Bay State Prison,41.85480855418667,-124.1490751163596,2096.0,0.67,0.28,21.345065727058465,15.75,63,0.3096,0.0345,0.0,0.9655,64.8,25.9,4.5,10.2,0.8045881043256998,0.0,4.7583,0.21,False,,1989.0,0.2,33.87,Lowest,current,v0.2
PBSP,Pelican Bay State Prison,41.85480855418667,-124.1490751163596,2096.0,0.67,0.28,21.345065727058465,15.75,63,0.3096,0.0345,0.0,0.9655,64.8,25.9,4.5,10.2,0.8045881043256998,0.0,4.7583,0.21,False,,1989.0,0.52,52.83,Moderate,midcentury,v0.2
PVSP,Pleasant Valley State Prison,36.131473239777144,-120.24889960644474,2992.0,0.41,0.17,17.850388774590186,0.411,67,,0.0435,0.9565,0.0,44.0,11.8,5.1,4.2,0.796401515151515,0.0,3.3333,0.37,False,,1994.0,0.31,11.67,Lowest,current,v0.2
PVSP,Pleasant Valley State Prison,36.131473239777144,-120.24889960644474,2992.0,0.41,0.17,17.850388774590186,0.411,67,,0.0435,0.9565,0.0,44.0,11.8,5.1,4.2,0.796401515151515,0.0,3.3333,0.37,False,,1994.0,0.75,38.25,Lowest,midcentury,v0.2
RJD,R J Donovan Correctional Facility,32.58456492210108,-116.9335763874008,3592.0,0.37,0.52,71.2991253984341,1.932,114,0.0,0.3478,0.0,0.6522,82.1,44.8,25.5,33.5,0.7720165181885672,0.0,3.5917,0.76,False,Yes,1987.0,0.27,47.94,Moderate,current,v0.2
RJD,R J Donovan Correctional Facility,32.58456492210108,-116.9335763874008,3592.0,0.37,0.52,71.2991253984341,1.932,114,0.0,0.3478,0.0,0.6522,82.1,44.8,25.5,33.5,0.7720165181885672,0.0,3.5917,0.76,False,Yes,1987.0,0.66,70.93,High,midcentury,v0.2
SAC,"California State Prison, Sacramento",38.694444232143624,-121.15390376526624,2131.0,0.45,0.51,42.258666363697984,0.93,133,0.0,0.08,0.92,0.0,81.80000000000001,23.7,41.2,16.6,0.8562490223682153,0.0,12.7333,0.43,True,Yes,1986.0,0.29,53.42,Moderate,current,v0.2
SAC,"California State Prison, Sacramento",38.694444232143624,-121.15390376526624,2131.0,0.45,0.51,42.258666363697984,0.93,133,0.0,0.08,0.92,0.0,81.80000000000001,23.7,41.2,16.6,0.8562490223682153,0.0,12.7333,0.43,True,Yes,1986.0,0.73,80.07,High,midcentury,v0.2
SATF,Ca Substance Abuse Treatment Facility,36.05395908338128,-119.54782062864966,5358.0,0.6,0.4,61.689244197361795,0.816,133,0.6008,0.0625,1.0312,0.0,73.4,34.9,11.5,25.4,0.8041091203185267,0.0,1.9167,0.21,True,Yes,1997.0,0.36,53.68,Moderate,current,v0.2
SATF,Ca Substance Abuse Treatment Facility,36.05395908338128,-119.54782062864966,5358.0,0.6,0.4,61.689244197361795,0.816,133,0.6008,0.0625,1.0312,0.0,73.4,34.9,11.5,25.4,0.8041091203185267,0.0,1.9167,0.21,True,Yes,1997.0,0.91,86.62,Highest,midcentury,v0.2
SCC,Sierra Conservation Center,37.89168865412792,-120.53654018648405,4035.0,0.51,0.08,23.802979386426276,1.041,154,0.0,0.0,0.0617,0.9383,13.399999999999999,10.0,0.0,2.3,0.796489054109872,0.0,2.8917,0.2,False,,1965.0,0.3,5.46,Lowest,current,v0.2
SCC,Sierra Conservation Center,37.89168865412792,-120.53654018648405,4035.0,0.51,0.08,23.802979386426276,1.041,154,0.0,0.0,0.0617,0.9383,13.399999999999999,10.0,0.0,2.3,0.796489054109872,0.0,2.8917,0.2,False,,1965.0,0.78,33.98,Lowest,midcentury,v0.2
SOL,"California State Prison, Solano",38.320776607604,-121.97523692020748,3735.0,0.62,0.32,40.62387437615521,1.089,159,0.5815,0.16,0.24,0.6,43.8,28.5,0.0,14.3,0.9250111557340472,0.0,2.95,0.52,True,,1984.0,0.32,41.92,Lowest,current,v0.2
SOL,"California State Prison, Solano",38.320776607604,-121.97523692020748,3735.0,0.62,0.32,40.62387437615521,1.089,159,0.5815,0.16,0.24,0.6,43.8,28.5,0.0,14.3,0.9250111557340472,0.0,2.95,0.52,True,,1984.0,0.76,68.02,High,midcentury,v0.2
SQ,San Quentin State Prison,37.940039851419016,-122.4903665969169,2688.0,0.34,0.38,31.085921282338564,1.414,41,0.0,0.0,0.0,1.0,74.0,51.0,9.2,16.2,0.7486049107142857,0.0,2.5917,0.49,True,Yes,1852.0,0.26,29.33,Lowest,current,v0.2
SQ,San Quentin State Prison,37.940039851419016,-122.4903665969169,2688.0,0.34,0.38,31.085921282338564,1.414,41,0.0,0.0,0.0,1.0,74.0,51.0,9.2,16.2,0.7486049107142857,0.0,2.5917,0.49,True,Yes,1852.0,0.74,58.11,Moderate,midcentury,v0.2
SVSP,Salinas Valley State Prison,36.47885711260287,-121.37439425565836,2387.0,0.22,0.38,12.204984562477916,0.032,1,0.0,0.1304,0.8696,0.0,71.19999999999999,21.1,11.4,17.8,0.882802681189778,0.0,4.5667,1.17,False,Yes,1996.0,0.25,21.9,Lowest,current,v0.2
SVSP,Salinas Valley State Prison,36.47885711260287,-121.37439425565836,2387.0,0.22,0.38,12.204984562477916,0.032,1,0.0,0.1304,0.8696,0.0,71.19999999999999,21.1,11.4,17.8,0.882802681189778,0.0,4.5667,1.17,False,Yes,1996.0,0.59,42.38,Lowest,midcentury,v0.2
VSP,Valley State Prison,37.105477428630245,-120.15547185750694,3148.0,0.36,0.42,54.67109503384696,0.321,52,0.0913,0.0,1.0,0.0,68.9,48.8,10.4,34.2,0.7310726387124099,0.0,1.0083,1.08,False,Yes,1995.0,0.34,39.19,Lowest,current,v0.2
VSP,Valley State Prison,37.105477428630245,-120.15547185750694,3148.0,0.36,0.42,54.67109503384696,0.321,52,0.0913,0.0,1.0,0.0,68.9,48.8,10.4,34.2,0.7310726387124099,0.0,1.0083,1.08,False,Yes,1995.0,0.88,71.46,High,midcentury,v0.2
WSP,Wasco State Prison,35.59431194493489,-119.40833193657431,3676.0,0.6,0.2,56.9272052060359,0.819,136,0.4839,0.0,1.0,0.0,54.4,12.3,3.4,5.2,0.8020946681175191,0.0,2.15,0.19,False,,1991.0,0.35,28.17,Lowest,current,v0.2
WSP,Wasco State Prison,35.59431194493489,-119.40833193657431,3676.0,0.6,0.2,56.9272052060359,0.819,136,0.4839,0.0,1.0,0.0,54.4,12.3,3.4,5.2,0.8020946681175191,0.0,2.15,0.19,False,,1991.0,0.79,54.44,Moderate,midcentury,v0.2
