,,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4
ISP,Fiscal,Institution Budget ($),"184,660,329.00","184,756,945.00","184,990,168.00","185,362,482.00","186,482,667.00","193,953,811.00","194,717,455.00","195,870,926.69","196,137,049.91","198,925,868.91"
ISP,Incarcerated Persons Grievances and Appeals,Appeals Denied,16.00,48.00,28.00,27.00,24.00,16.00,20.00,17.00,11.00,
ISP,Incarcerated Persons Grievances and Appeals,Appeals Granted,5.00,3.00,7.00,4.00,8.00,2.00,5.00,5.00,4.00,
ISP,Incarcerated Persons Grievances and Appeals,Appeals Received,36.00,69.00,60.00,44.00,47.00,38.00,49.00,40.00,33.00,
ISP,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,12.00,15.00,20.00,10.00,9.00,12.00,24.00,18.00,17.00,
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Denied,136.00,160.00,197.00,127.00,127.00,160.00,183.00,89.00,119.00,103.00
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Granted,31.00,25.00,54.00,17.00,22.00,17.00,14.00,12.00,13.00,13.00
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims No Jurisdiction,0.00,18.00,5.00,0.00,1.00,0.00,0.00,2.00,1.00,4.00
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Pending,,,,1.00,1.00,,,,,
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Reassigned,9.00,6.00,2.00,5.00,16.00,0.00,2.00,10.00,3.00,19.00
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Received,207.00,266.00,309.00,173.00,207.00,160.00,240.00,144.00,171.00,
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Redirected,17.00,12.00,20.00,7.00,16.00,23.00,13.00,10.00,11.00,19.00
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,17.00,34.00,25.00,7.00,14.00,23.00,23.00,17.00,18.00,22.00
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,7.00,11.00,6.00,3.00,10.00,18.00,5.00,4.00,6.00,4.00
ISP,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ISP,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Number and Housing Level of Incarcerated Persons,Condemned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Number and Housing Level of Incarcerated Persons,Level I,91.00,84.00,96.00,121.00,166.00,185.00,206.00,220.00,239.00,232.00
ISP,Number and Housing Level of Incarcerated Persons,Level II,"2,430.00","2,368.00","2,347.00","2,285.00","2,257.00","2,220.00","2,199.00","2,208.00","2,194.00","2,308.00"
ISP,Number and Housing Level of Incarcerated Persons,Level III,461.00,422.00,429.00,437.00,465.00,457.00,347.00,97.00,0.00,0.00
ISP,Rehabilitative Programs,Career Technical Education - Actual Enrollment,279.25,278.40,278.50,283.60,285.25,293.00,290.80,254.25,245.25,290.80
ISP,Rehabilitative Programs,Career Technical Education - Operational Capacity,270.00,270.00,270.00,275.40,303.75,312.50,309.80,297.00,297.00,309.80
ISP,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Actual Enrollment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Operational Capacity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Rehabilitative Programs,Number of Associate Degrees,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Rehabilitative Programs,Number of Bachelors Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Rehabilitative Programs,Number of GED Certificates,8.00,8.00,12.00,6.00,6.00,11.00,5.00,5.00,5.00,5.00
ISP,Rehabilitative Programs,Number of High School Diplomas,1.00,0.00,2.00,2.00,1.00,0.00,2.00,1.00,0.00,2.00
ISP,Rehabilitative Programs,Number of Masters Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISP,Rehabilitative Programs,Transitions - Actual Enrollment,70.50,69.00,55.50,83.20,95.50,113.25,109.40,111.25,104.00,109.40
ISP,Rehabilitative Programs,Transitions - Operational Capacity,72.00,72.00,27.00,79.20,99.00,126.00,133.20,144.00,135.00,133.20
ISP,Sick Leave Hours,Custody (Sick Leave),"5,499.25","5,638.25","5,603.25","5,047.75","5,553.75","6,372.00","2,669.50","4,666.00","5,322.00","5,869.00"
ISP,Sick Leave Hours,Dental + Mental Health (Sick Leave),353.50,319.50,493.50,269.75,272.75,391.00,393.25,292.50,372.00,392.00
ISP,Sick Leave Hours,Non-Custody (Sick Leave),"2,284.75","2,162.75","2,967.25","3,030.00","2,501.00","3,149.75","2,964.50","2,885.75","3,141.50","2,890.00"
ISP,Sick Leave Hours,Total Sick Leave Hours,"8,137.50","8,120.50","9,064.00","8,347.50","8,327.50","9,912.75","6,027.25","7,844.25","8,835.50","9,151.00"
ISP,Use of Force (UOF),Total UOF Incidents,6.00,2.00,10.00,5.00,10.00,7.00,6.00,11.00,2.00,11.00
KVSP,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,221.00,173.60,155.00,177.40,186.75,174.50,170.00,196.25,221.75,239.00
KVSP,Cognitive Behavioral Intervention,Life Skills - Operational Capacity,276.00,252.00,234.00,234.00,252.00,240.00,225.60,267.00,291.50,225.60
KVSP,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,191.25,221.00,210.75,198.20,197.75,255.75,267.60,236.00,184.50,193.75
KVSP,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,283.50,308.40,276.00,240.00,279.00,303.75,327.80,310.75,268.00,327.80
KVSP,Contraband,Cellular Telephone Seizure Events,,,,26.00,40.00,4.00,,,8.00,6.00
KVSP,Contraband,Heroin Seizure Events,,,,4.00,,,8.00,6.00,10.00,
KVSP,Contraband,Tobacco Seizure Events,,,,2.00,,,,,,
KVSP,Fiscal,Actual Expenditures ($),"21,583,954.05","44,584,950.95","65,518,315.71","87,254,253.56","110,489,640.78","133,978,120.53","156,487,357.31","178,223,989.91","201,365,336.62","223,916,173.45"
KVSP,Fiscal,Institution Budget ($),"268,942,238.00","268,932,834.00","269,345,201.00","269,307,850.00","270,450,718.00","253,431,184.00","254,406,352.00","255,631,032.69","256,571,495.69","266,764,821.69"
KVSP,Incarcerated Persons Grievances and Appeals,Appeals Denied,121.00,114.00,68.00,76.00,77.00,67.00,40.00,49.00,35.00,
KVSP,Incarcerated Persons Grievances and Appeals,Appeals Granted,21.00,25.00,17.00,29.00,28.00,21.00,20.00,19.00,9.00,
KVSP,Incarcerated Persons Grievances and Appeals,Appeals Received,194.00,194.00,143.00,181.00,173.00,224.00,156.00,173.00,132.00,
KVSP,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,32.00,38.00,42.00,59.00,51.00,96.00,86.00,84.00,77.00,
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Denied,431.00,403.00,309.00,353.00,320.00,344.00,338.00,292.00,358.00,288.00
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Granted,98.00,116.00,59.00,83.00,53.00,70.00,54.00,57.00,111.00,57.00
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims No Jurisdiction,8.00,11.00,6.00,9.00,6.00,10.00,18.00,16.00,13.00,7.00
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Reassigned,60.00,34.00,39.00,46.00,49.00,66.00,40.00,50.00,52.00,26.00
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Received,934.00,799.00,619.00,776.00,674.00,913.00,748.00,816.00,909.00,
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Redirected,136.00,54.00,92.00,135.00,110.00,105.00,164.00,223.00,214.00,203.00
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,136.00,99.00,63.00,73.00,69.00,105.00,87.00,101.00,114.00,67.00
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,111.00,82.00,51.00,77.00,67.00,116.00,47.00,67.00,47.00,42.00
KVSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
KVSP,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,1.44,0.00,2.90,3.08,5.25,1.74,5.66,1.55,20.13,5.67
KVSP,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,1.00,
KVSP,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Number and Housing Level of Incarcerated Persons,Condemned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Number and Housing Level of Incarcerated Persons,Level I,130.00,111.00,100.00,103.00,117.00,122.00,115.00,117.00,114.00,106.00
KVSP,Number and Housing Level of Incarcerated Persons,Level II,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Number and Housing Level of Incarcerated Persons,Level III,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Number and Housing Level of Incarcerated Persons,Level IV,"2,863.00","2,828.00","2,814.00","2,826.00","2,860.00","2,918.00","2,851.00","2,819.00","2,740.00","2,777.00"
KVSP,Rehabilitative Programs,Academic Education - Actual Enrollment,"1,022.75","1,280.60","1,318.00","1,279.40","1,242.75","1,360.00","1,267.20","1,248.00","1,233.00","1,267.20"
KVSP,Rehabilitative Programs,Academic Education - Operational Capacity,"1,413.00","1,357.20","1,400.00","1,417.00","1,417.00","1,417.00","1,417.20","1,449.50","1,463.00","1,417.20"
KVSP,Rehabilitative Programs,Career Technical Education - Actual Enrollment,151.25,178.40,180.75,208.20,225.00,227.00,215.00,216.50,219.25,215.00
KVSP,Rehabilitative Programs,Career Technical Education - Operational Capacity,202.50,216.00,216.00,253.80,270.00,270.00,270.00,270.00,270.00,270.00
KVSP,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Actual Enrollment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Operational Capacity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Rehabilitative Programs,Number of Associate Degrees,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Rehabilitative Programs,Number of Bachelors Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Rehabilitative Programs,Number of GED Certificates,3.00,4.00,3.00,9.00,2.00,1.00,2.00,3.00,0.00,2.00
KVSP,Rehabilitative Programs,Number of High School Diplomas,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Rehabilitative Programs,Number of Masters Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVSP,Rehabilitative Programs,Transitions - Actual Enrollment,88.75,89.60,91.00,73.00,41.25,20.75,33.00,33.00,28.00,33.00
KVSP,Rehabilitative Programs,Transitions - Operational Capacity,108.00,108.00,108.00,108.00,108.00,108.00,107.60,106.00,106.00,107.60
KVSP,Sick Leave Hours,Custody (Sick Leave),"5,399.00","5,336.00","5,788.25","5,781.75","5,908.25","8,156.68","3,128.00","5,406.00","5,395.50","6,108.80"
KVSP,Sick Leave Hours,Dental + Mental Health (Sick Leave),586.00,557.00,500.25,453.98,386.50,600.50,529.75,665.75,543.00,636.00
KVSP,Sick Leave Hours,Non-Custody (Sick Leave),"2,070.75","2,263.50","1,880.00","1,919.25","1,860.25","1,999.75","2,053.50","2,046.21","1,640.50","1,760.30"
KVSP,Sick Leave Hours,Total Sick Leave Hours,"8,055.75","8,156.50","8,168.50","8,154.98","8,155.00","10,756.93","5,711.25","8,117.96","7,579.00","8,505.00"
KVSP,Use of Force (UOF),Total UOF Incidents,68.00,71.00,55.00,81.00,45.00,60.00,57.00,72.00,55.00,135.00
LAC,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,141.75,124.20,114.50,110.40,96.25,86.25,72.80,110.50,105.75,108.75
LAC,Cognitive Behavioral Intervention,Life Skills - Operational Capacity,204.00,168.00,168.00,168.00,156.00,144.00,148.80,165.00,156.00,148.80
LAC,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,190.50,202.40,223.00,204.00,208.50,215.00,209.80,207.00,175.75,153.25
LAC,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,247.50,263.40,286.50,291.00,279.00,267.00,265.20,255.00,255.00,265.20
LAC,Contraband,Quantity of Heroin Seized (grams),,,,10.80,0.20,,,,14.40,20.80
LAC,Contraband,Quantity of Heroin Seized (pills),,,,,,,,,,
LAC,Contraband,Quantity of Marijuana Seized (grams with packaging),,,,633.74,350.34,590.14,468.80,950.72,788.64,"1,561.06"
LAC,Contraband,Quantity of Marijuana Seized (grams),,,,,0.20,,,,,
LAC,Contraband,Quantity of Methamphetamine Seized (grams with packaging),,,,555.78,330.04,641.96,385.80,"1,398.60",500.80,744.10
LAC,Contraband,Quantity of Suboxone Seized (number of strips),,,,,54.00,,,,114.00,20.00
LAC,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams with packaging),,,,1.60,475.22,0.20,,62.60,0.20,
LAC,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (number of strips),,,,,,,,2.00,,
LAC,Contraband,Quantity of Tobacco Seized (grams with packaging),,,,136.42,257.20,"1,889.26","3,335.46","3,804.68",609.80,619.20
LAC,Contraband,Quantity of Tobacco Seized (grams),,,,,,,0.20,,,
LAC,Contraband,Quantity of Tobacco Seized (number of strips),,,,,,,,,,
LAC,Contraband,Suboxone Seizure Events,,,,,4.00,,,,2.00,6.00
LAC,Contraband,Synthetic Cannabinoid / Spice Seizure Events,,,,2.00,4.00,2.00,,4.00,2.00,
LAC,Contraband,Tobacco Seizure Events,,,,8.00,10.00,18.00,20.00,28.00,6.00,12.00
LAC,Fiscal,Actual Expenditures ($),"18,687,262.60","41,252,952.66","63,394,266.41","84,945,507.80","107,325,098.52","131,584,101.70","153,523,079.72","175,421,476.88","196,895,789.69","218,914,391.69"
LAC,Fiscal,Institution Budget ($),"258,944,025.00","258,961,821.00","259,145,733.00","263,340,567.00","264,473,887.00","245,462,865.00","246,483,078.00","247,694,585.00","247,751,863.00","263,737,035.00"
LAC,Incarcerated Persons Grievances and Appeals,Appeals Denied,135.00,129.00,103.00,101.00,62.00,64.00,54.00,46.00,65.00,
LAC,Incarcerated Persons Grievances and Appeals,Appeals Granted,48.00,43.00,31.00,54.00,41.00,28.00,39.00,24.00,42.00,
LAC,Incarcerated Persons Grievances and Appeals,Appeals Received,246.00,247.00,236.00,210.00,156.00,208.00,242.00,189.00,279.00,
LAC,Incarcerated Persons Grievances and Appeals,Appeals Time Expired,42.00,58.00,72.00,31.00,37.00,92.00,128.00,103.00,159.00,
LAC,Incarcerated Persons Grievances and Appeals,Grievance Claims Denied,580.00,465.00,369.00,483.00,311.00,417.00,414.00,389.00,468.00,343.00
LAC,Number and Housing Level of Incarcerated Persons,Level IV,"2,227.00","2,222.00","2,250.00","2,264.00","2,247.00","2,136.00","2,078.00","2,040.00","2,000.00","1,776.00"
LAC,Number and Housing Level of Incarcerated Persons,Level VI,,,,,,,,,,
LAC,Number and Housing Level of Incarcerated Persons,Non Level - Specific Beds,227.00,233.00,235.00,220.00,227.00,223.00,206.00,231.00,220.00,8.00
LAC,Number and Housing Level of Incarcerated Persons,Restricted Housing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.00
LAC,Number and Housing Level of Incarcerated Persons,Total Number of Incarcerated Persons,"3,227.00","3,221.00","3,270.00","3,317.00","3,289.00","3,189.00","3,113.00","3,144.00","3,081.00","2,854.00"
LAC,Number of Deaths,Expected,,,,1.00,,,1.00,,,
LAC,Number of Deaths,Homicide,,,,,,,,,,1.00
LAC,Number of Deaths,Missing,1.00,,,1.00,,,,,,
LAC,Number of Deaths,Suicide,,,,,1.00,,,,,
LAC,Number of Deaths,Unexpected,2.00,,,,,,,,,2.00
LAC,Overtime Hours,Custody (Overtime),"32,954.35","33,457.60","40,581.23","34,329.78","33,768.62","34,587.22","28,948.27","31,344.24","34,705.16","24,220.70"
LAC,Overtime Hours,Dental + Mental Health (Overtime),"1,130.75",953.52,"1,262.00",535.25,805.75,737.75,701.50,591.25,556.25,538.50
LAC,Overtime Hours,Non-Custody (Overtime),"2,392.75","5,306.20","2,512.25","1,762.50","1,524.25","1,701.50","4,466.50","2,314.00","1,910.00","1,751.50"
LAC,Overtime Hours,Total Overtime Hours,"36,477.85","39,717.32","44,355.48","36,627.53","36,098.62","37,026.47","34,116.27","34,249.49","37,171.41","26,510.70"
LAC,Positions - Authorized and Vacant,Authorized,"1,151.50","1,151.50","1,151.50","1,151.50","1,151.50","1,151.50","1,151.50","1,151.50","1,151.50","1,152.00"
LAC,Positions - Authorized and Vacant,Vacant,88.10,96.10,125.10,133.10,124.10,138.10,128.10,124.10,144.50,146.00
LAC,Rehabilitative Programs,Academic Education - Actual Enrollment,"1,195.25","1,064.60","1,154.75","1,274.00","1,289.25","1,134.25",937.20,"1,328.50","1,391.75",937.20
LAC,Rehabilitative Programs,Academic Education - Operational Capacity,"1,064.25","1,140.00","1,104.00","1,122.60","1,121.25","1,123.00","1,123.00","1,122.00","1,122.00","1,123.00"
LAC,Rehabilitative Programs,Career Technical Education - Actual Enrollment,95.50,86.60,79.25,68.80,83.50,88.00,62.60,72.75,75.25,62.60
LAC,Rehabilitative Programs,Career Technical Education - Operational Capacity,130.50,117.00,117.00,117.00,117.00,117.00,88.20,81.00,81.00,88.20
LAC,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Actual Enrollment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LAC,Rehabilitative Programs,Cognitive Behavioral Intervention - Sex Offender - Operational Capacity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCSP,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,24.00,46.20,75.00,75.00,78.00,78.75,188.40,218.25,232.50,188.40
MCSP,Contraband,Cellular Telephone Seizure Events,,,,8.00,2.00,,8.00,4.00,8.00,4.00
MCSP,Contraband,Fentanyl Seizure Events,,,,,,,4.00,4.00,,
MCSP,Contraband,Heroin Seizure Events,,,,4.00,2.00,,10.00,2.00,2.00,8.00
MCSP,Contraband,Honey Oil Seizure Events,,,,,,,4.00,,2.00,
MCSP,Contraband,Marijuana Seizure Events,,,,,,,2.00,2.00,2.00,2.00
MCSP,Contraband,Methamphetamine Seizure Events,,,,10.00,,,6.00,18.00,6.00,8.00
MCSP,Contraband,PCP Seizure Events,,,,,,,,,,1.00
MCSP,Contraband,Quantity of Cellular Telephones Seized,,,,8.00,2.00,,8.00,8.00,8.00,4.00
MCSP,Contraband,Quantity of Fentanyl Seized (grams with packaging),,,,,,,,18.40,,
MCSP,Contraband,Quantity of Fentanyl Seized (grams),,,,,,,2.40,,,
MCSP,Contraband,Quantity of Heroin Seized (grams with packaging),,,,30.40,3.40,,,,,
MCSP,Contraband,Quantity of Heroin Seized (grams),,,,,,,61.20,14.40,97.40,4.20
MCSP,Contraband,Quantity of Honey Oil Seized (grams),,,,,,,9.20,,2.60,
MCSP,Contraband,Quantity of Marijuana Seized (grams with packaging),,,,,,,,,,
MCSP,Contraband,Quantity of Marijuana Seized (grams),,,,,,,47.60,2.00,43.00,1.00
MCSP,Contraband,Quantity of Methamphetamine Seized (grams with packaging),,,,135.60,,,,71.60,,
MCSP,Contraband,Quantity of Methamphetamine Seized (grams),,,,149.80,,,218.80,87.40,69.40,136.80
MCSP,Contraband,Quantity of PCP Seized (grams),,,,,,,,,,6.20
MCSP,Contraband,Quantity of Suboxone Seized (number of strips),,,,,,,,,,
MCSP,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams with packaging),,,,17.20,52.40,,,,,18.60
MCSP,Contraband,Quantity of Synthetic Cannabinoid / Spice Seized (grams),,,,,,,2.40,1.20,,29.40
MCSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Redirected,195.00,158.00,154.00,190.00,109.00,116.00,162.00,162.00,161.00,242.00
MCSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Rejected,195.00,182.00,135.00,214.00,128.00,116.00,173.00,164.00,190.00,257.00
MCSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Staff Misconduct,84.00,92.00,73.00,118.00,76.00,86.00,63.00,56.00,79.00,68.00
MCSP,Incarcerated Persons Grievances and Appeals,Grievance Claims Time Expired,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,13.00
MCSP,Incarcerated Persons Grievances and Appeals,Grievances Pending Legal Matter,,,,,,,,,1.00,
MCSP,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,0.00,0.85,7.83,8.77,4.37,8.98,0.00,6.29,5.12,1.41
MCSP,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
MCSP,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCSP,Number and Housing Level of Incarcerated Persons,Condemned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCSP,Number and Housing Level of Incarcerated Persons,Level I,136.00,122.00,119.00,110.00,99.00,96.00,90.00,94.00,81.00,85.00
MCSP,Number and Housing Level of Incarcerated Persons,Level II,"1,564.00","1,564.00","1,551.00","1,566.00","1,550.00","1,551.00","1,563.00","1,549.00","1,565.00","1,566.00"
MCSP,Number and Housing Level of Incarcerated Persons,Level III,"1,353.00","1,355.00","1,355.00","1,292.00","1,270.00","1,289.00","1,266.00","1,219.00","1,220.00","1,190.00"
MCSP,Number and Housing Level of Incarcerated Persons,Level IV,787.00,857.00,840.00,857.00,846.00,813.00,826.00,822.00,812.00,812.00
MCSP,Number and Housing Level of Incarcerated Persons,Level VI,,,,,,,,,,
MCSP,Number and Housing Level of Incarcerated Persons,Non Level - Specific Beds,130.00,117.00,127.00,115.00,121.00,125.00,106.00,121.00,125.00,11.00
MCSP,Number and Housing Level of Incarcerated Persons,Restricted Housing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00
MCSP,Number and Housing Level of Incarcerated Persons,Total Number of Incarcerated Persons,"3,970.00","4,015.00","3,992.00","3,940.00","3,886.00","3,874.00","3,852.00","3,805.00","3,803.00","3,775.00"
MCSP,Number of Deaths,Expected,,,,,1.00,,,1.00,,
MCSP,Number of Deaths,Missing,1.00,,1.00,,1.00,,,,,
MCSP,Number of Deaths,Suicide,,,1.00,1.00,,,,,,
MCSP,Number of Deaths,Unexpected,,,,1.00,,,,,,1.00
MCSP,Overtime Hours,Custody (Overtime),"22,980.35","24,084.57","30,642.58","28,952.09","22,754.79","26,616.08","23,795.01","24,679.05","32,141.85","22,265.70"
MCSP,Overtime Hours,Dental + Mental Health (Overtime),18.50,2.00,30.00,0.00,16.00,47.00,43.25,16.75,8.00,10.00
MCSP,Overtime Hours,Non-Custody (Overtime),"1,452.75","3,740.50","1,378.75","1,458.50","1,104.25","1,364.25","2,784.13","1,211.92","1,868.13","1,347.50"
MCSP,Rehabilitative Programs,Number of Masters Degrees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCSP,Rehabilitative Programs,Transitions - Actual Enrollment,119.50,163.80,175.00,162.00,165.75,145.25,140.00,120.00,83.00,140.00
MCSP,Rehabilitative Programs,Transitions - Operational Capacity,180.00,198.00,198.00,198.00,198.00,184.50,180.00,162.00,112.50,180.00
MCSP,Sick Leave Hours,Custody (Sick Leave),"6,329.50","6,191.50","7,131.75","6,548.75","5,825.75","6,076.00","3,067.75","4,637.50","5,060.75","5,335.50"
MCSP,Sick Leave Hours,Dental + Mental Health (Sick Leave),744.25,841.75,723.00,"1,003.00",645.50,858.75,768.25,589.00,681.50,564.50
MCSP,Sick Leave Hours,Non-Custody (Sick Leave),"1,783.29","1,774.25","2,205.50","2,024.25","1,913.75","1,628.25","2,672.75","1,799.25","1,978.75","1,795.30"
MCSP,Sick Leave Hours,Total Sick Leave Hours,"8,857.04","8,807.50","10,060.25","9,576.00","8,385.00","8,563.00","6,508.75","7,025.75","7,721.00","7,695.30"
MCSP,Use of Force (UOF),Total UOF Incidents,49.00,71.00,53.00,53.00,57.00,57.00,50.00,47.00,57.00,69.00
NKSP,Cognitive Behavioral Intervention,Life Skills - Actual Enrollment,107.50,107.60,147.00,128.40,109.25,113.75,117.60,119.75,115.25,128.00
NKSP,Cognitive Behavioral Intervention,Life Skills - Operational Capacity,126.00,122.40,162.00,162.00,135.00,144.00,156.00,171.00,150.00,156.00
NKSP,Cognitive Behavioral Intervention,Outpatient - Actual Enrollment,77.75,80.20,88.25,95.60,99.50,72.50,59.40,60.50,70.00,51.75
NKSP,Cognitive Behavioral Intervention,Outpatient - Operational Capacity,97.50,99.00,101.25,123.00,133.50,132.75,81.00,84.75,99.00,81.00
NKSP,Contraband,Cellular Telephone Seizure Events,,,,4.00,,10.00,10.00,2.00,8.00,6.00
NKSP,Contraband,Heroin Seizure Events,,,,2.00,,,,,,
NKSP,Contraband,Marijuana Seizure Events,,,,,,2.00,2.00,,,
NKSP,Contraband,Methamphetamine Seizure Events,,,,2.00,,2.00,,,,
NKSP,Contraband,Quantity of Cellular Telephones Seized,,,,4.00,,14.00,14.00,2.00,8.00,6.00
NKSP,Contraband,Quantity of Heroin Seized (grams with packaging),,,,33.80,,,,,,
NKSP,Contraband,Quantity of Heroin Seized (grams),,,,,,,,,,
NKSP,Contraband,Quantity of Marijuana Seized (grams with packaging),,,,,,,1.00,,,
NKSP,Contraband,Quantity of Marijuana Seized (grams),,,,,,2.60,,,,
NKSP,Contraband,Quantity of Methamphetamine Seized (grams with packaging),,,,174.00,,50.00,,,,
NKSP,Fiscal,Actual Expenditures ($),"17,659,397.22","36,784,687.21","54,663,133.51","73,185,394.65","92,272,534.54","110,848,313.75","128,275,475.13","145,934,824.59","164,121,991.94","180,464,724.01"
NKSP,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
NKSP,Number and Housing Level of Incarcerated Persons,Camps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NKSP,Number and Housing Level of Incarcerated Persons,Condemned,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NKSP,Number and Housing Level of Incarcerated Persons,Level I,165.00,160.00,150.00,152.00,207.00,274.00,259.00,223.00,178.00,174.00
NKSP,Number and Housing Level of Incarcerated Persons,Level II,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NKSP,Number and Housing Level of Incarcerated Persons,Level III,700.00,676.00,642.00,612.00,577.00,558.00,551.00,551.00,537.00,510.00
