program,measure,fy_ending,value,is_forecast
Male EOP-GP,Level II Avg Census,2023,2638.5,False
Male EOP-GP,Level II Avg Census,2024,3049.3,False
Male EOP-GP,Level II Avg Census,2025,3068.4,False
Male EOP-GP,Level II Avg Census,2026,3048.9,True
Male EOP-GP,Level II Avg Census,2027,2979.8,True
Male EOP-GP,Level II Avg Census,2028,2928.2,True
Male EOP-GP,Level II Avg Census,2029,2863.1,True
Male EOP-GP,Level II Avg Census,2030,2808.5,True
Male EOP-GP,Level II Bed Need (95%),2014,1545.0,False
Male EOP-GP,Level II Bed Need (95%),2015,1756.0,False
Male EOP-GP,Level II Bed Need (95%),2016,2002.0,False
Male EOP-GP,Level II Bed Need (95%),2017,2332.0,False
Male EOP-GP,Level II Bed Need (95%),2018,2674.0,False
Male EOP-GP,Level II Bed Need (95%),2019,2589.0,False
Male EOP-GP,Level II Bed Need (95%),2020,2621.0,False
Male EOP-GP,Level II Bed Need (95%),2021,2498.0,False
Male EOP-GP,Level II Bed Need (95%),2022,2661.0,False
Male EOP-GP,Level II Bed Need (95%),2023,2777.0,False
Male EOP-GP,Level II Bed Need (95%),2024,3210.0,False
Male EOP-GP,Level II Bed Need (95%),2025,3230.0,False
Male EOP-GP,Level II Bed Need (95%),2026,3209.0,True
Male EOP-GP,Level II Bed Need (95%),2027,3137.0,True
Male EOP-GP,Level II Bed Need (95%),2028,3082.0,True
Male EOP-GP,Level II Bed Need (95%),2029,3014.0,True
Male EOP-GP,Level II Bed Need (95%),2030,2956.0,True
Male EOP-GP,Level III Census Rate,2014,24.04,False
Male EOP-GP,Level III Census Rate,2015,29.15,False
Male EOP-GP,Level III Census Rate,2016,42.96,False
Male EOP-GP,Level III Census Rate,2017,46.79,False
Male EOP-GP,Level III Census Rate,2018,50.31,False
Male EOP-GP,Level III Census Rate,2019,46.58,False
Male EOP-GP,Level III Census Rate,2020,46.34,False
Male EOP-GP,Level III Census Rate,2021,47.28,False
Male EOP-GP,Level III Census Rate,2022,43.49,False
Male EOP-GP,Level III Census Rate,2023,49.47,False
Male EOP-GP,Level III Census Rate,2024,71.84,False
Male EOP-GP,Level III Census Rate,2025,71.99,False
Male EOP-GP,Level III Census Rate,2026,71.99,True
Male EOP-GP,Level III Census Rate,2027,71.99,True
Male EOP-GP,Level III Census Rate,2028,71.99,True
Male EOP-GP,Level III Census Rate,2029,71.99,True
Male EOP-GP,Level III Census Rate,2030,71.99,True
Male EOP-GP,Level III Avg Census,2014,783.1,False
Male EOP-GP,Level III Avg Census,2015,921.9,False
Male EOP-GP,Level III Avg Census,2016,1075.4,False
Male EOP-GP,Level III Avg Census,2017,1222.4,False
Male EOP-GP,Level III Avg Census,2018,1208.8,False
Male EOP-GP,Level III Avg Census,2019,1012.5,False
Male EOP-GP,Level III Avg Census,2020,943.8,False
Male EOP-GP,Level III Avg Census,2021,762.8,False
Male EOP-GP,Level III Avg Census,2022,704.6,False
Male EOP-GP,Level III Avg Census,2023,736.4,False
Male EOP-GP,Level III Avg Census,2024,940.4,False
Male EOP-GP,Level III Avg Census,2025,953.0,False
Male EOP-GP,Level III Avg Census,2026,929.6,True
Male EOP-GP,Level III Avg Census,2027,921.4,True
Male EOP-GP,Level III Avg Census,2028,935.2,True
Male EOP-GP,Level III Avg Census,2029,942.9,True
Male EOP-GP,Level III Avg Census,2030,940.0,True
Male EOP-GP,Level III Bed Need (95%),2014,824.0,False
Male EOP-GP,Level III Bed Need (95%),2015,970.0,False
Male EOP-GP,Level III Bed Need (95%),2016,1132.0,False
Male EOP-GP,Level III Bed Need (95%),2017,1287.0,False
Male EOP-GP,Level III Bed Need (95%),2018,1272.0,False
Male EOP-GP,Level III Bed Need (95%),2019,1066.0,False
Male EOP-GP,Level III Bed Need (95%),2020,994.0,False
Male EOP-GP,Level III Bed Need (95%),2021,803.0,False
Male EOP-GP,Level III Bed Need (95%),2022,742.0,False
Male EOP-GP,Level III Bed Need (95%),2023,775.0,False
Male EOP-GP,Level III Bed Need (95%),2024,990.0,False
Male EOP-GP,Level III Bed Need (95%),2025,1003.0,False
Male EOP-GP,Level III Bed Need (95%),2026,979.0,True
Male EOP-GP,Level III Bed Need (95%),2027,970.0,True
Male EOP-GP,Level III Bed Need (95%),2028,984.0,True
Male EOP-GP,Level III Bed Need (95%),2029,992.0,True
Male EOP-GP,Level III Bed Need (95%),2030,989.0,True
Male EOP-GP,Level IV Census Rate,2014,56.95,False
Male EOP-GP,Level IV Census Rate,2015,67.33,False
Male EOP-GP,Level IV Census Rate,2016,70.26,False
Male EOP-GP,Level IV Census Rate,2017,82.69,False
Male EOP-GP,Level IV Census Rate,2018,88.75,False
Male EOP-GP,Level IV Census Rate,2019,76.1,False
