year,month,cdcr_code,in_custody
2025,3,SVSP,2403
2025,3,VSP,3022
2025,3,WSP,3644
2025,3,CPMP,
2025,3,FCRF,407
2025,3,Alternative Custody Program,
2025,3,Department of State Hospitals,193
2025,3,Male Community Reentry Facility,679
2025,3,Medical Reprieve Program,
2025,3,CCI,2413
2025,3,CCWF,2005
2025,3,CEN,2819
2025,3,CHCF,2094
2025,3,CIM,2347
2025,4,ASP,3945
2025,4,CIW,1217
2025,4,CMC,2225
2025,4,CMF,1966
2025,4,COR,2648
2025,4,CRC,2762
2025,4,CTF,4290
2025,4,FOL,2855
2025,4,HDSP,2823
2025,4,ISP,2624
2025,4,KVSP,3111
2025,4,LAC,2854
2025,4,MCSP,3775
2025,4,NKSP,2517
2025,4,PBSP,2006
2025,4,PVSP,2981
2025,4,RJD,3471
2025,4,SAC,2063
2025,4,CAL,2482
2025,4,SATF,5410
2025,4,SCC,4026
2025,4,SOL,3789
2025,4,SQ,2805
2025,4,SVSP,2328
2025,4,VSP,3013
2025,4,WSP,3603
2025,4,CPMP,
2025,4,FCRF,404
2025,4,Alternative Custody Program,
2025,4,Department of State Hospitals,195
2025,4,Male Community Reentry Facility,683
2025,4,Medical Reprieve Program,
2025,4,CCI,2479
2025,4,CCWF,1988
2025,4,CEN,2901
2025,4,CHCF,2212
2025,4,CIM,2312
2025,5,ASP,3992
2025,5,CIW,1199
2025,5,CMC,2253
2025,5,CMF,2023
2025,5,COR,2625
2025,5,CRC,2744
2025,5,CTF,4246
2025,5,FOL,2867
2025,5,HDSP,2715
2025,5,ISP,2621
2025,5,KVSP,3113
2025,5,LAC,2687
2025,5,MCSP,3781
2025,5,NKSP,2410
2025,5,PBSP,2005
2025,5,PVSP,2959
2025,5,RJD,3555
2025,5,SAC,2145
2025,5,CAL,2429
2025,5,SATF,5406
2025,5,SCC,3980
2025,5,SOL,3706
2025,5,SQ,2722
2025,5,SVSP,2375
2025,5,VSP,3045
2025,5,WSP,3816
2025,5,CPMP,
2025,5,FCRF,411
2025,5,Alternative Custody Program,
2025,5,Department of State Hospitals,191
2025,5,Male Community Reentry Facility,691
2025,5,Medical Reprieve Program,
2025,5,CCI,2472
2025,5,CCWF,2027
2025,5,CEN,2951
2025,5,CHCF,2309
2025,5,CIM,2262
2025,6,ASP,4028
2025,6,CIW,1235
2025,6,CMC,2209
2025,6,CMF,2071
2025,6,COR,2588
2025,6,CRC,2735
2025,6,CTF,4227
2025,6,FOL,2830
2025,6,HDSP,2635
2025,6,ISP,2649
2025,6,KVSP,3160
2025,6,LAC,2750
2025,6,MCSP,3795
2025,6,NKSP,2384
2025,6,PBSP,2032
2025,6,PVSP,2900
2025,6,RJD,3585
2025,6,SAC,2175
2025,6,CAL,2365
2025,6,SATF,5399
2025,6,SCC,3948
2025,6,SOL,3595
2025,6,SQ,2702
2025,6,SVSP,2363
2025,6,VSP,3057
2025,6,WSP,3938
2025,6,CPMP,
2025,6,FCRF,410
2025,6,Alternative Custody Program,
2025,6,Department of State Hospitals,191
2025,6,Male Community Reentry Facility,699
2025,6,Medical Reprieve Program,
2025,6,CCI,2423
2025,6,CCWF,1962
2025,6,CEN,2983
2025,6,CHCF,2277
2025,6,CIM,2268
2025,7,ASP,4040
2025,7,CIW,1210
2025,7,CMC,2154
2025,7,CMF,2091
2025,7,COR,2569
2025,7,CRC,2795
2025,7,CTF,4172
2025,7,FOL,2783
2025,7,HDSP,2530
2025,7,ISP,2698
2025,7,KVSP,3128
2025,7,LAC,2878
2025,7,MCSP,3796
2025,7,NKSP,2266
2025,7,PBSP,2101
2025,7,PVSP,2997
2025,7,RJD,3653
2025,7,SAC,2178
2025,7,CAL,2373
2025,7,SATF,5385
2025,7,SCC,3908
2025,7,SOL,3558
2025,7,SQ,2626
2025,7,SVSP,2377
2025,7,VSP,3134
2025,7,WSP,3968
2025,7,CPMP,
2025,7,FCRF,410
2025,7,Alternative Custody Program,
2025,7,Department of State Hospitals,195
2025,7,Male Community Reentry Facility,709
2025,7,Medical Reprieve Program,
2025,7,CCI,2394
2025,7,CCWF,1983
2025,7,CEN,2952
2025,7,CHCF,2280
2025,7,CIM,2244
2025,8,ASP,3932
2025,8,CIW,1150
2025,8,CMC,2086
2025,8,CMF,2096
2025,8,COR,2580
2025,8,CRC,2610
2025,8,CTF,4166
2025,8,FOL,2726
2025,8,HDSP,2383
2025,8,ISP,2722
2025,8,KVSP,3061
2025,8,LAC,3032
2025,8,MCSP,3808
2025,8,NKSP,2407
2025,8,PBSP,2176
2025,8,PVSP,3081
2025,8,RJD,3712
2025,8,SAC,2158
2025,8,CAL,2380
2025,8,SATF,5377
2025,8,SCC,3899
2025,8,SOL,3568
2025,8,SQ,2596
2025,8,SVSP,2394
2025,8,VSP,3278
2025,8,WSP,3800
2025,8,CPMP,
2025,8,FCRF,402
2025,8,Alternative Custody Program,
2025,8,Department of State Hospitals,189
2025,8,Male Community Reentry Facility,742
2025,8,Medical Reprieve Program,
2025,8,CCI,2488
2025,8,CCWF,2033
2025,8,CEN,3016
2025,8,CHCF,2298
2025,8,CIM,2229
2025,9,ASP,3933
2025,9,CIW,1136
2025,9,CMC,2100
2025,9,CMF,2134
2025,9,COR,2615
2025,9,CRC,2153
2025,9,CTF,4176
2025,9,FOL,2731
2025,9,HDSP,2593
2025,9,ISP,2844
2025,9,KVSP,2884
2025,9,LAC,3085
2025,9,MCSP,3738
2025,9,NKSP,2557
2025,9,PBSP,2188
2025,9,PVSP,3066
2025,9,RJD,3731
2025,9,SAC,2175
2025,9,CAL,2405
2025,9,SATF,5403
2025,9,SCC,3964
