institution,fiscal_year,category,metric,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun
CCC,2021-2022,Overtime Hours,Total Overtime Hours,"39,712.73","63,245.51","42,772.20","27,277.28","14,300.80","14,624.27","24,426.50","20,122.46","21,921.34","19,489.00","21,400.51","19,476.08"
CCC,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CCC,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CCC,2021-2022,Use of Force (UOF),Total UOF Incidents,3.00,2.00,0.00,4.00,3.00,4.00,8.00,11.00,8.00,7.00,10.00,7.00
CCI,2021-2022,Fiscal,Actual Expenditures ($),"18,376,325.36","37,443,727.40","56,200,053.56","74,700,207.08","93,332,113.05","115,048,914.66","132,576,786.44","150,673,211.06","167,354,850.26","185,392,814.17","202,915,886.80","221,405,411.41"
CCI,2021-2022,Fiscal,Institution Budget ($),"212,182,893.00","212,127,152.00","212,128,155.00","212,390,122.00","226,179,413.00","226,191,506.00","227,447,041.00","228,552,265.00","228,474,258.00","231,189,788.00","225,912,219.00","226,049,637.00"
CCI,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,6.48,0.99,0.00,0.00,3.24,1.57,23.97,12.76,1.41,2.00,1.60,0.52
CCI,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCI,2021-2022,Overtime Hours,Custody (Overtime),"21,528.46","26,445.91","22,716.32","16,250.29","10,421.23","13,759.54","31,934.11","18,659.77","22,253.27","25,792.09","37,596.82","31,244.84"
CCI,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),125.90,154.75,189.25,172.95,133.90,95.10,141.80,134.95,186.65,162.50,196.65,154.85
CCI,2021-2022,Overtime Hours,Non-Custody (Overtime),"1,324.00","2,028.50","2,125.75","1,300.75",765.75,"1,054.50","1,361.25","1,055.75","1,250.50","1,358.75","2,027.25","1,622.75"
CCI,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CCI,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CCI,2021-2022,Overtime Hours,Total Overtime Hours,"22,978.36","28,629.16","25,031.32","17,723.99","11,320.88","14,909.14","33,437.16","19,850.47","23,690.42","27,313.34","39,820.72","33,022.44"
CCI,2021-2022,Use of Force (UOF),Total UOF Incidents,22.00,26.00,23.00,15.00,24.00,39.00,46.00,26.00,39.00,52.00,39.00,28.00
CCI,2021-2022,Use of Force (UOF),Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CCI,2021-2022,Use of Force (UOF),Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CCWF,2021-2022,Fiscal,Actual Expenditures ($),"12,023,111.03","24,731,639.66","37,688,385.69","50,262,712.84","62,989,103.59","77,822,444.48","90,164,891.54","102,468,369.91","115,949,085.50","128,118,801.84","140,033,335.73","153,384,500.72"
CCWF,2021-2022,Fiscal,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CCWF,2021-2022,Fiscal,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CCWF,2021-2022,Fiscal,Institution Budget ($),"138,598,053.00","138,593,788.00","138,593,788.00","138,600,408.00","146,422,100.00","146,482,610.00","148,329,310.00","149,231,909.00","149,088,382.00","155,436,768.00","156,147,105.00","156,274,294.00"
CCWF,2021-2022,Lockdowns and Modified Programs,Incarcerated Persons-Days on Modified Programs,1.21,2.77,1.94,2.16,8.88,2.84,14.82,22.63,3.74,2.48,3.13,15.05
CCWF,2021-2022,Lockdowns and Modified Programs,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CCWF,2021-2022,Lockdowns and Modified Programs,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
CCWF,2021-2022,Lockdowns and Modified Programs,Lockdowns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CCWF,2021-2022,Number of Deaths,Expected,1.00,,,1.00,1.00,,1.00,1.00,,,,
CCWF,2021-2022,Number of Deaths,Unexpected,,,,,1.00,,,,,,,
CCWF,2021-2022,Overtime Hours,Custody (Overtime),"14,208.36","19,389.32","15,480.65","21,331.25","16,799.55","15,043.18","21,753.39","17,966.10","16,661.90","17,055.21","21,149.99","15,643.46"
CCWF,2021-2022,Overtime Hours,Dental + Mental Health (Overtime),230.50,75.00,34.00,31.50,71.75,38.50,41.00,51.00,43.00,51.00,61.25,24.00
CCWF,2021-2022,Overtime Hours,Non-Custody (Overtime),820.42,"1,068.90","1,014.75","1,223.50",847.00,920.25,"1,153.25",755.50,"1,257.75",945.50,"1,882.25","1,344.25"
CCWF,2021-2022,Overtime Hours,Total Overtime Hours,"15,259.28","20,533.22","16,529.40","22,586.25","17,718.30","16,001.93","22,947.64","18,772.60","17,962.65","18,051.71","23,093.49","17,011.71"
CCWF,2021-2022,Overtime Hours,Quarter,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q4,Q4,Q4
CCWF,2021-2022,Overtime Hours,Metric,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
