month,institution,measure,value
Jan 2022,CAL,High Risk Priority 1,0%
Jan 2022,CAL,High Risk Priority 2,1%
Jan 2022,CAL,Medium Risk,14%
Jan 2022,CAL,Low Risk,84%
Jan 2022,CAL,Mental Health EOP,0%
Jan 2022,CAL,Disability Placement Program (DPP) Patients,2%
Jan 2022,CAL,Patients 50 Years or Older,8%
Jan 2022,CAL,Specialized Health Care Beds,18
Jan 2022,CAL,Institution Population,2840
Jan 2022,CCC,High Risk Priority 1,1%
Jan 2022,CCC,High Risk Priority 2,1%
Jan 2022,CCC,Medium Risk,9%
Jan 2022,CCC,Low Risk,89%
Jan 2022,CCC,Mental Health EOP,0%
Jan 2022,CCC,Disability Placement Program (DPP) Patients,1%
Jan 2022,CCC,Patients 50 Years or Older,11%
Jan 2022,CCC,Specialized Health Care Beds,19
Jan 2022,CCC,Institution Population,1516
Jan 2022,CCI,High Risk Priority 1,1%
Jan 2022,CCI,High Risk Priority 2,4%
Jan 2022,CCI,Medium Risk,47%
Jan 2022,CCI,Low Risk,48%
Jan 2022,CCI,Mental Health EOP,0%
Jan 2022,CCI,Disability Placement Program (DPP) Patients,3%
Jan 2022,CCI,Patients 50 Years or Older,20%
Jan 2022,CCI,Specialized Health Care Beds,16
Jan 2022,CCI,Institution Population,3068
Jan 2022,CCWF,High Risk Priority 1,6%
Jan 2022,CCWF,High Risk Priority 2,10%
Jan 2022,CCWF,Medium Risk,56%
Jan 2022,CCWF,Low Risk,28%
Jan 2022,CCWF,Mental Health EOP,4%
Jan 2022,CCWF,Disability Placement Program (DPP) Patients,10%
Jan 2022,CCWF,Patients 50 Years or Older,20%
Jan 2022,CCWF,Specialized Health Care Beds,38
Jan 2022,CCWF,Institution Population,2257
Jan 2022,CEN,High Risk Priority 1,0%
Jan 2022,CEN,High Risk Priority 2,2%
Jan 2022,CEN,Medium Risk,17%
Jan 2022,CEN,Low Risk,81%
Jan 2022,CEN,Mental Health EOP,0%
Jan 2022,CEN,Disability Placement Program (DPP) Patients,2%
Jan 2022,CEN,Patients 50 Years or Older,12%
Jan 2022,CEN,Specialized Health Care Beds,13
Jan 2022,CEN,Institution Population,2789
Jan 2022,CHCF,High Risk Priority 1,55%
Jan 2022,CHCF,High Risk Priority 2,18%
Jan 2022,CHCF,Medium Risk,19%
Jan 2022,CHCF,Low Risk,8%
Jan 2022,CHCF,Mental Health EOP,18%
Jan 2022,CHCF,Disability Placement Program (DPP) Patients,55%
Jan 2022,CHCF,Patients 50 Years or Older,68%
Jan 2022,CHCF,Specialized Health Care Beds,2004
Jan 2022,CHCF,Institution Population,2213
Jan 2022,CIM,High Risk Priority 1,17%
Jan 2022,CIM,High Risk Priority 2,27%
Jan 2022,CIM,Medium Risk,31%
Jan 2022,CIM,Low Risk,25%
Jan 2022,CIM,Mental Health EOP,0%
Jan 2022,CIM,Disability Placement Program (DPP) Patients,20%
Jan 2022,CIM,Patients 50 Years or Older,52%
Jan 2022,CIM,Specialized Health Care Beds,78
Jan 2022,CIM,Institution Population,2626
Jan 2022,CIW,High Risk Priority 1,15%
Jan 2022,CIW,High Risk Priority 2,16%
Jan 2022,CIW,Medium Risk,44%
Jan 2022,CIW,Low Risk,26%
Jan 2022,CIW,Mental Health EOP,5%
Jan 2022,CIW,Disability Placement Program (DPP) Patients,14%
Jan 2022,CIW,Patients 50 Years or Older,31%
Jan 2022,CIW,Specialized Health Care Beds,98
Jan 2022,CIW,Institution Population,1011
Jan 2022,CMC,High Risk Priority 1,8%
Jan 2022,CMC,High Risk Priority 2,17%
Jan 2022,CMC,Medium Risk,39%
Jan 2022,CMC,Low Risk,36%
Jan 2022,CMC,Mental Health EOP,18%
Jan 2022,CMC,Disability Placement Program (DPP) Patients,11%
Jan 2022,CMC,Patients 50 Years or Older,41%
Jan 2022,CMC,Specialized Health Care Beds,87
Jan 2022,CMC,Institution Population,3235
Jan 2022,CMF,High Risk Priority 1,31%
Jan 2022,CMF,High Risk Priority 2,23%
Jan 2022,CMF,Medium Risk,33%
Jan 2022,CMF,Low Risk,13%
Jan 2022,CMF,Mental Health EOP,24%
Jan 2022,CMF,Disability Placement Program (DPP) Patients,38%
Jan 2022,CMF,Patients 50 Years or Older,52%
Jan 2022,CMF,Specialized Health Care Beds,633
Jan 2022,CMF,Institution Population,1991
Jan 2022,COR,High Risk Priority 1,5%
Jan 2022,COR,High Risk Priority 2,9%
Jan 2022,COR,Medium Risk,46%
Jan 2022,COR,Low Risk,40%
Jan 2022,COR,Mental Health EOP,6%
Jan 2022,COR,Disability Placement Program (DPP) Patients,9%
Jan 2022,COR,Patients 50 Years or Older,26%
Jan 2022,COR,Specialized Health Care Beds,92
Jan 2022,COR,Institution Population,3530
Jan 2022,CRC,High Risk Priority 1,1%
Jan 2022,CRC,High Risk Priority 2,4%
Jan 2022,CRC,Medium Risk,50%
Jan 2022,CRC,Low Risk,46%
Jan 2022,CRC,Mental Health EOP,0%
Jan 2022,CRC,Disability Placement Program (DPP) Patients,2%
Jan 2022,CRC,Patients 50 Years or Older,20%
Jan 2022,CRC,Specialized Health Care Beds,10
Jan 2022,CRC,Institution Population,2540
Jan 2022,CTF,High Risk Priority 1,4%
Jan 2022,CTF,High Risk Priority 2,11%
Jan 2022,CTF,Medium Risk,36%
Jan 2022,CTF,Low Risk,50%
Jan 2022,CTF,Mental Health EOP,0%
Jan 2022,CTF,Disability Placement Program (DPP) Patients,11%
Jan 2022,CTF,Patients 50 Years or Older,50%
Jan 2022,CTF,Specialized Health Care Beds,17
Jan 2022,CTF,Institution Population,4198
Jan 2022,CVSP,High Risk Priority 1,2%
Jan 2022,CVSP,High Risk Priority 2,5%
Jan 2022,CVSP,Medium Risk,18%
Jan 2022,CVSP,Low Risk,76%
Jan 2022,CVSP,Mental Health EOP,0%
Jan 2022,CVSP,Disability Placement Program (DPP) Patients,6%
Jan 2022,CVSP,Patients 50 Years or Older,34%
Jan 2022,CVSP,Specialized Health Care Beds,14
Jan 2022,CVSP,Institution Population,2475
Jan 2022,FSP,High Risk Priority 1,2%
Jan 2022,FSP,High Risk Priority 2,9%
Jan 2022,FSP,Medium Risk,33%
Jan 2022,FSP,Low Risk,56%
Jan 2022,FSP,Mental Health EOP,0%
Jan 2022,FSP,Disability Placement Program (DPP) Patients,3%
Jan 2022,FSP,Patients 50 Years or Older,28%
Jan 2022,FSP,Specialized Health Care Beds,
Jan 2022,FSP,Institution Population,2904
Jan 2022,HDSP,High Risk Priority 1,2%
Jan 2022,HDSP,High Risk Priority 2,3%
Jan 2022,HDSP,Medium Risk,35%
Jan 2022,HDSP,Low Risk,59%
Jan 2022,HDSP,Mental Health EOP,0%
Jan 2022,HDSP,Disability Placement Program (DPP) Patients,6%
Jan 2022,HDSP,Patients 50 Years or Older,11%
Jan 2022,HDSP,Specialized Health Care Beds,30
Jan 2022,HDSP,Institution Population,2268
Jan 2022,ISP,High Risk Priority 1,1%
Jan 2022,ISP,High Risk Priority 2,3%
Jan 2022,ISP,Medium Risk,13%
Jan 2022,ISP,Low Risk,84%
Jan 2022,ISP,Mental Health EOP,0%
Jan 2022,ISP,Disability Placement Program (DPP) Patients,2%
Jan 2022,ISP,Patients 50 Years or Older,15%
Jan 2022,ISP,Specialized Health Care Beds,14
Jan 2022,ISP,Institution Population,2175
Jan 2022,KVSP,High Risk Priority 1,3%
Jan 2022,KVSP,High Risk Priority 2,6%
Jan 2022,KVSP,Medium Risk,43%
Jan 2022,KVSP,Low Risk,49%
Jan 2022,KVSP,Mental Health EOP,4%
Jan 2022,KVSP,Disability Placement Program (DPP) Patients,6%
Jan 2022,KVSP,Patients 50 Years or Older,14%
Jan 2022,KVSP,Specialized Health Care Beds,22
Jan 2022,KVSP,Institution Population,3375
Jan 2022,LAC,High Risk Priority 1,11%
Jan 2022,LAC,High Risk Priority 2,18%
Jan 2022,LAC,Medium Risk,44%
Jan 2022,LAC,Low Risk,26%
Jan 2022,LAC,Mental Health EOP,23%
Jan 2022,LAC,Disability Placement Program (DPP) Patients,17%
Jan 2022,LAC,Patients 50 Years or Older,29%
Jan 2022,LAC,Specialized Health Care Beds,16
Jan 2022,LAC,Institution Population,2805
Jan 2022,MCSP,High Risk Priority 1,22%
Jan 2022,MCSP,High Risk Priority 2,22%
Jan 2022,MCSP,Medium Risk,42%
Jan 2022,MCSP,Low Risk,14%
Jan 2022,MCSP,Mental Health EOP,19%
Jan 2022,MCSP,Disability Placement Program (DPP) Patients,23%
Jan 2022,MCSP,Patients 50 Years or Older,45%
Jan 2022,MCSP,Specialized Health Care Beds,10
Jan 2022,MCSP,Institution Population,3811
Jan 2022,NKSP,High Risk Priority 1,1%
Jan 2022,NKSP,High Risk Priority 2,4%
Jan 2022,NKSP,Medium Risk,35%
Jan 2022,NKSP,Low Risk,59%
Jan 2022,NKSP,Mental Health EOP,2%
Jan 2022,NKSP,Disability Placement Program (DPP) Patients,3%
Jan 2022,NKSP,Patients 50 Years or Older,12%
Jan 2022,NKSP,Specialized Health Care Beds,16
Jan 2022,NKSP,Institution Population,3920
Jan 2022,PBSP,High Risk Priority 1,1%
Jan 2022,PBSP,High Risk Priority 2,5%
Jan 2022,PBSP,Medium Risk,27%
Jan 2022,PBSP,Low Risk,66%
Jan 2022,PBSP,Mental Health EOP,0%
Jan 2022,PBSP,Disability Placement Program (DPP) Patients,4%
Jan 2022,PBSP,Patients 50 Years or Older,17%
Jan 2022,PBSP,Specialized Health Care Beds,19
Jan 2022,PBSP,Institution Population,1949
Jan 2022,PVSP,High Risk Priority 1,0%
Jan 2022,PVSP,High Risk Priority 2,0%
Jan 2022,PVSP,Medium Risk,29%
Jan 2022,PVSP,Low Risk,71%
Jan 2022,PVSP,Mental Health EOP,0%
Jan 2022,PVSP,Disability Placement Program (DPP) Patients,3%
Jan 2022,PVSP,Patients 50 Years or Older,8%
Jan 2022,PVSP,Specialized Health Care Beds,15
Jan 2022,PVSP,Institution Population,2561
Jan 2022,RJD,High Risk Priority 1,20%
Jan 2022,RJD,High Risk Priority 2,22%
Jan 2022,RJD,Medium Risk,44%
Jan 2022,RJD,Low Risk,14%
Jan 2022,RJD,Mental Health EOP,26%
Jan 2022,RJD,Disability Placement Program (DPP) Patients,28%
Jan 2022,RJD,Patients 50 Years or Older,43%
Jan 2022,RJD,Specialized Health Care Beds,28
Jan 2022,RJD,Institution Population,3405
Jan 2022,SAC,High Risk Priority 1,7%
Jan 2022,SAC,High Risk Priority 2,15%
Jan 2022,SAC,Medium Risk,49%
Jan 2022,SAC,Low Risk,29%
Jan 2022,SAC,Mental Health EOP,42%
Jan 2022,SAC,Disability Placement Program (DPP) Patients,6%
Jan 2022,SAC,Patients 50 Years or Older,15%
Jan 2022,SAC,Specialized Health Care Beds,46
Jan 2022,SAC,Institution Population,1856
Jan 2022,SATF,High Risk Priority 1,5%
Jan 2022,SATF,High Risk Priority 2,8%
Jan 2022,SATF,Medium Risk,51%
Jan 2022,SATF,Low Risk,35%
Jan 2022,SATF,Mental Health EOP,10%
Jan 2022,SATF,Disability Placement Program (DPP) Patients,16%
Jan 2022,SATF,Patients 50 Years or Older,30%
Jan 2022,SATF,Specialized Health Care Beds,38
Jan 2022,SATF,Institution Population,4922
Jan 2022,SCC,High Risk Priority 1,0%
Jan 2022,SCC,High Risk Priority 2,2%
Jan 2022,SCC,Medium Risk,16%
Jan 2022,SCC,Low Risk,82%
Jan 2022,SCC,Mental Health EOP,0%
Jan 2022,SCC,Disability Placement Program (DPP) Patients,2%
Jan 2022,SCC,Patients 50 Years or Older,12%
Jan 2022,SCC,Specialized Health Care Beds,10
Jan 2022,SCC,Institution Population,3043
Jan 2022,SOL,High Risk Priority 1,10%
Jan 2022,SOL,High Risk Priority 2,14%
Jan 2022,SOL,Medium Risk,23%
Jan 2022,SOL,Low Risk,52%
Jan 2022,SOL,Mental Health EOP,0%
Jan 2022,SOL,Disability Placement Program (DPP) Patients,14%
Jan 2022,SOL,Patients 50 Years or Older,34%
Jan 2022,SOL,Specialized Health Care Beds,15
Jan 2022,SOL,Institution Population,3289
Jan 2022,SQ,High Risk Priority 1,14%
Jan 2022,SQ,High Risk Priority 2,23%
Jan 2022,SQ,Medium Risk,36%
Jan 2022,SQ,Low Risk,27%
Jan 2022,SQ,Mental Health EOP,7%
Jan 2022,SQ,Disability Placement Program (DPP) Patients,12%
Jan 2022,SQ,Patients 50 Years or Older,53%
Jan 2022,SQ,Specialized Health Care Beds,50
Jan 2022,SQ,Institution Population,3114
Jan 2022,SVSP,High Risk Priority 1,6%
Jan 2022,SVSP,High Risk Priority 2,10%
Jan 2022,SVSP,Medium Risk,49%
Jan 2022,SVSP,Low Risk,35%
Jan 2022,SVSP,Mental Health EOP,8%
Jan 2022,SVSP,Disability Placement Program (DPP) Patients,12%
Jan 2022,SVSP,Patients 50 Years or Older,19%
Jan 2022,SVSP,Specialized Health Care Beds,268
Jan 2022,SVSP,Institution Population,3029
Jan 2022,VSP,High Risk Priority 1,8%
Jan 2022,VSP,High Risk Priority 2,13%
Jan 2022,VSP,Medium Risk,48%
Jan 2022,VSP,Low Risk,32%
Jan 2022,VSP,Mental Health EOP,10%
Jan 2022,VSP,Disability Placement Program (DPP) Patients,25%
Jan 2022,VSP,Patients 50 Years or Older,47%
Jan 2022,VSP,Specialized Health Care Beds,20
Jan 2022,VSP,Institution Population,2918
Jan 2022,WSP,High Risk Priority 1,1%
Jan 2022,WSP,High Risk Priority 2,3%
Jan 2022,WSP,Medium Risk,45%
Jan 2022,WSP,Low Risk,50%
Jan 2022,WSP,Mental Health EOP,2%
Jan 2022,WSP,Disability Placement Program (DPP) Patients,3%
Jan 2022,WSP,Patients 50 Years or Older,10%
Jan 2022,WSP,Specialized Health Care Beds,16
Jan 2022,WSP,Institution Population,3722
Oct 2021,SW,High Risk Priority 1,7%
Oct 2021,SW,High Risk Priority 2,9%
Oct 2021,SW,Medium Risk,35%
Oct 2021,SW,Low Risk,48%
Oct 2021,SW,Mental Health EOP,6%
Oct 2021,SW,Disability Placement Program (DPP) Patients,11%
Oct 2021,SW,Patients 50 Years or Older,27%
Oct 2021,SW,Specialized Health Care Beds,3802
Oct 2021,SW,Institution Population,99596
Oct 2021,ASP,High Risk Priority 1,0%
Oct 2021,ASP,High Risk Priority 2,1%
Oct 2021,ASP,Medium Risk,37%
Oct 2021,ASP,Low Risk,62%
Oct 2021,ASP,Mental Health EOP,0%
Oct 2021,ASP,Disability Placement Program (DPP) Patients,3%
Oct 2021,ASP,Patients 50 Years or Older,28%
Oct 2021,ASP,Specialized Health Care Beds,28
Oct 2021,ASP,Institution Population,3687
Oct 2021,CAC,High Risk Priority 1,0%
Oct 2021,CAC,High Risk Priority 2,1%
Oct 2021,CAC,Medium Risk,14%
Oct 2021,CAC,Low Risk,85%
Oct 2021,CAC,Mental Health EOP,0%
Oct 2021,CAC,Disability Placement Program (DPP) Patients,2%
Oct 2021,CAC,Patients 50 Years or Older,10%
Oct 2021,CAC,Specialized Health Care Beds,
Oct 2021,CAC,Institution Population,2110
Oct 2021,CAL,High Risk Priority 1,0%
Oct 2021,CAL,High Risk Priority 2,1%
Oct 2021,CAL,Medium Risk,15%
Oct 2021,CAL,Low Risk,84%
Oct 2021,CAL,Mental Health EOP,0%
Oct 2021,CAL,Disability Placement Program (DPP) Patients,2%
Oct 2021,CAL,Patients 50 Years or Older,8%
Oct 2021,CAL,Specialized Health Care Beds,18
Oct 2021,CAL,Institution Population,2957
Oct 2021,CCC,High Risk Priority 1,0%
Oct 2021,CCC,High Risk Priority 2,1%
Oct 2021,CCC,Medium Risk,8%
Oct 2021,CCC,Low Risk,90%
Oct 2021,CCC,Mental Health EOP,0%
Oct 2021,CCC,Disability Placement Program (DPP) Patients,1%
Oct 2021,CCC,Patients 50 Years or Older,10%
Oct 2021,CCC,Specialized Health Care Beds,19
Oct 2021,CCC,Institution Population,1863
Oct 2021,CCI,High Risk Priority 1,1%
Oct 2021,CCI,High Risk Priority 2,5%
Oct 2021,CCI,Medium Risk,43%
Oct 2021,CCI,Low Risk,51%
Oct 2021,CCI,Mental Health EOP,0%
Oct 2021,CCI,Disability Placement Program (DPP) Patients,3%
Oct 2021,CCI,Patients 50 Years or Older,23%
Oct 2021,CCI,Specialized Health Care Beds,16
Oct 2021,CCI,Institution Population,2675
Oct 2021,CCWF,High Risk Priority 1,7%
Oct 2021,CCWF,High Risk Priority 2,9%
Oct 2021,CCWF,Medium Risk,56%
Oct 2021,CCWF,Low Risk,28%
Oct 2021,CCWF,Mental Health EOP,4%
Oct 2021,CCWF,Disability Placement Program (DPP) Patients,10%
Oct 2021,CCWF,Patients 50 Years or Older,20%
Oct 2021,CCWF,Specialized Health Care Beds,38
Oct 2021,CCWF,Institution Population,2295
Oct 2021,CEN,High Risk Priority 1,1%
Oct 2021,CEN,High Risk Priority 2,1%
Oct 2021,CEN,Medium Risk,16%
Oct 2021,CEN,Low Risk,82%
Oct 2021,CEN,Mental Health EOP,0%
Oct 2021,CEN,Disability Placement Program (DPP) Patients,2%
Oct 2021,CEN,Patients 50 Years or Older,11%
Oct 2021,CEN,Specialized Health Care Beds,13
Oct 2021,CEN,Institution Population,2902
Oct 2021,CHCF,High Risk Priority 1,54%
Oct 2021,CHCF,High Risk Priority 2,19%
Oct 2021,CHCF,Medium Risk,20%
Oct 2021,CHCF,Low Risk,8%
Oct 2021,CHCF,Mental Health EOP,16%
Oct 2021,CHCF,Disability Placement Program (DPP) Patients,54%
Oct 2021,CHCF,Patients 50 Years or Older,66%
Oct 2021,CHCF,Specialized Health Care Beds,2008
Oct 2021,CHCF,Institution Population,2286
Oct 2021,CIM,High Risk Priority 1,17%
Oct 2021,CIM,High Risk Priority 2,29%
Oct 2021,CIM,Medium Risk,32%
Oct 2021,CIM,Low Risk,22%
Oct 2021,CIM,Mental Health EOP,0%
Oct 2021,CIM,Disability Placement Program (DPP) Patients,19%
Oct 2021,CIM,Patients 50 Years or Older,50%
Oct 2021,CIM,Specialized Health Care Beds,78
Oct 2021,CIM,Institution Population,2680
Oct 2021,CIW,High Risk Priority 1,14%
Oct 2021,CIW,High Risk Priority 2,16%
Oct 2021,CIW,Medium Risk,43%
Oct 2021,CIW,Low Risk,27%
Oct 2021,CIW,Mental Health EOP,5%
Oct 2021,CIW,Disability Placement Program (DPP) Patients,13%
Oct 2021,CIW,Patients 50 Years or Older,30%
Oct 2021,CIW,Specialized Health Care Beds,98
Oct 2021,CIW,Institution Population,1043
Oct 2021,CMC,High Risk Priority 1,9%
Oct 2021,CMC,High Risk Priority 2,17%
Oct 2021,CMC,Medium Risk,38%
Oct 2021,CMC,Low Risk,35%
Oct 2021,CMC,Mental Health EOP,17%
Oct 2021,CMC,Disability Placement Program (DPP) Patients,11%
Oct 2021,CMC,Patients 50 Years or Older,43%
Oct 2021,CMC,Specialized Health Care Beds,87
Oct 2021,CMC,Institution Population,3070
Oct 2021,CMF,High Risk Priority 1,30%
Oct 2021,CMF,High Risk Priority 2,24%
Oct 2021,CMF,Medium Risk,34%
Oct 2021,CMF,Low Risk,12%
Oct 2021,CMF,Mental Health EOP,24%
Oct 2021,CMF,Disability Placement Program (DPP) Patients,38%
Oct 2021,CMF,Patients 50 Years or Older,52%
Oct 2021,CMF,Specialized Health Care Beds,633
Oct 2021,CMF,Institution Population,2016
Oct 2021,COR,High Risk Priority 1,5%
Oct 2021,COR,High Risk Priority 2,8%
Oct 2021,COR,Medium Risk,46%
Oct 2021,COR,Low Risk,42%
Oct 2021,COR,Mental Health EOP,6%
Oct 2021,COR,Disability Placement Program (DPP) Patients,9%
Oct 2021,COR,Patients 50 Years or Older,25%
Oct 2021,COR,Specialized Health Care Beds,92
Oct 2021,COR,Institution Population,3519
Oct 2021,CRC,High Risk Priority 1,1%
Oct 2021,CRC,High Risk Priority 2,3%
Oct 2021,CRC,Medium Risk,52%
Oct 2021,CRC,Low Risk,44%
Oct 2021,CRC,Mental Health EOP,0%
Oct 2021,CRC,Disability Placement Program (DPP) Patients,2%
Oct 2021,CRC,Patients 50 Years or Older,19%
Oct 2021,CRC,Specialized Health Care Beds,10
Oct 2021,CRC,Institution Population,2806
Oct 2021,CTF,High Risk Priority 1,4%
Oct 2021,CTF,High Risk Priority 2,10%
Oct 2021,CTF,Medium Risk,37%
Oct 2021,CTF,Low Risk,49%
Oct 2021,CTF,Mental Health EOP,0%
Oct 2021,CTF,Disability Placement Program (DPP) Patients,10%
Oct 2021,CTF,Patients 50 Years or Older,49%
Oct 2021,CTF,Specialized Health Care Beds,17
Oct 2021,CTF,Institution Population,4402
Oct 2021,CVSP,High Risk Priority 1,1%
Oct 2021,CVSP,High Risk Priority 2,5%
Oct 2021,CVSP,Medium Risk,18%
Oct 2021,CVSP,Low Risk,75%
Oct 2021,CVSP,Mental Health EOP,0%
Oct 2021,CVSP,Disability Placement Program (DPP) Patients,6%
Oct 2021,CVSP,Patients 50 Years or Older,33%
Oct 2021,CVSP,Specialized Health Care Beds,14
Oct 2021,CVSP,Institution Population,2432
Oct 2021,FSP,High Risk Priority 1,2%
Oct 2021,FSP,High Risk Priority 2,9%
Oct 2021,FSP,Medium Risk,33%
Oct 2021,FSP,Low Risk,55%
Oct 2021,FSP,Mental Health EOP,0%
Oct 2021,FSP,Disability Placement Program (DPP) Patients,3%
Oct 2021,FSP,Patients 50 Years or Older,28%
Oct 2021,FSP,Specialized Health Care Beds,
Oct 2021,FSP,Institution Population,2891
Oct 2021,HDSP,High Risk Priority 1,1%
Oct 2021,HDSP,High Risk Priority 2,3%
Oct 2021,HDSP,Medium Risk,42%
Oct 2021,HDSP,Low Risk,53%
Oct 2021,HDSP,Mental Health EOP,0%
Oct 2021,HDSP,Disability Placement Program (DPP) Patients,6%
Oct 2021,HDSP,Patients 50 Years or Older,11%
Oct 2021,HDSP,Specialized Health Care Beds,30
Oct 2021,HDSP,Institution Population,3228
Oct 2021,ISP,High Risk Priority 1,0%
Oct 2021,ISP,High Risk Priority 2,3%
Oct 2021,ISP,Medium Risk,14%
Oct 2021,ISP,Low Risk,83%
Oct 2021,ISP,Mental Health EOP,0%
Oct 2021,ISP,Disability Placement Program (DPP) Patients,2%
Oct 2021,ISP,Patients 50 Years or Older,16%
Oct 2021,ISP,Specialized Health Care Beds,14
Oct 2021,ISP,Institution Population,2263
Oct 2021,KVSP,High Risk Priority 1,3%
Oct 2021,KVSP,High Risk Priority 2,5%
Oct 2021,KVSP,Medium Risk,42%
Oct 2021,KVSP,Low Risk,50%
Oct 2021,KVSP,Mental Health EOP,4%
Oct 2021,KVSP,Disability Placement Program (DPP) Patients,6%
Oct 2021,KVSP,Patients 50 Years or Older,14%
Oct 2021,KVSP,Specialized Health Care Beds,22
Oct 2021,KVSP,Institution Population,3479
Oct 2021,LAC,High Risk Priority 1,11%
Oct 2021,LAC,High Risk Priority 2,17%
Oct 2021,LAC,Medium Risk,43%
Oct 2021,LAC,Low Risk,29%
Oct 2021,LAC,Mental Health EOP,20%
Oct 2021,LAC,Disability Placement Program (DPP) Patients,15%
Oct 2021,LAC,Patients 50 Years or Older,29%
Oct 2021,LAC,Specialized Health Care Beds,16
Oct 2021,LAC,Institution Population,2816
Oct 2021,MCSP,High Risk Priority 1,22%
Oct 2021,MCSP,High Risk Priority 2,23%
Oct 2021,MCSP,Medium Risk,40%
Oct 2021,MCSP,Low Risk,14%
Oct 2021,MCSP,Mental Health EOP,19%
Oct 2021,MCSP,Disability Placement Program (DPP) Patients,24%
Oct 2021,MCSP,Patients 50 Years or Older,45%
Oct 2021,MCSP,Specialized Health Care Beds,10
Oct 2021,MCSP,Institution Population,3787
Oct 2021,NKSP,High Risk Priority 1,1%
Oct 2021,NKSP,High Risk Priority 2,3%
Oct 2021,NKSP,Medium Risk,34%
Oct 2021,NKSP,Low Risk,62%
Oct 2021,NKSP,Mental Health EOP,2%
Oct 2021,NKSP,Disability Placement Program (DPP) Patients,2%
Oct 2021,NKSP,Patients 50 Years or Older,11%
Oct 2021,NKSP,Specialized Health Care Beds,16
Oct 2021,NKSP,Institution Population,3712
Oct 2021,PBSP,High Risk Priority 1,1%
Oct 2021,PBSP,High Risk Priority 2,6%
Oct 2021,PBSP,Medium Risk,27%
Oct 2021,PBSP,Low Risk,67%
Oct 2021,PBSP,Mental Health EOP,0%
Oct 2021,PBSP,Disability Placement Program (DPP) Patients,4%
Oct 2021,PBSP,Patients 50 Years or Older,17%
Oct 2021,PBSP,Specialized Health Care Beds,19
Oct 2021,PBSP,Institution Population,2059
Oct 2021,PVSP,High Risk Priority 1,0%
Oct 2021,PVSP,High Risk Priority 2,0%
Oct 2021,PVSP,Medium Risk,29%
Oct 2021,PVSP,Low Risk,70%
Oct 2021,PVSP,Mental Health EOP,0%
Oct 2021,PVSP,Disability Placement Program (DPP) Patients,2%
Oct 2021,PVSP,Patients 50 Years or Older,8%
Oct 2021,PVSP,Specialized Health Care Beds,15
Oct 2021,PVSP,Institution Population,2663
Oct 2021,RJD,High Risk Priority 1,20%
Oct 2021,RJD,High Risk Priority 2,22%
Oct 2021,RJD,Medium Risk,44%
Oct 2021,RJD,Low Risk,14%
Oct 2021,RJD,Mental Health EOP,25%
Oct 2021,RJD,Disability Placement Program (DPP) Patients,28%
Oct 2021,RJD,Patients 50 Years or Older,43%
Oct 2021,RJD,Specialized Health Care Beds,28
Oct 2021,RJD,Institution Population,3295
Oct 2021,SAC,High Risk Priority 1,6%
Oct 2021,SAC,High Risk Priority 2,15%
Oct 2021,SAC,Medium Risk,51%
Oct 2021,SAC,Low Risk,28%
Oct 2021,SAC,Mental Health EOP,43%
Oct 2021,SAC,Disability Placement Program (DPP) Patients,6%
Oct 2021,SAC,Patients 50 Years or Older,15%
Oct 2021,SAC,Specialized Health Care Beds,46
Oct 2021,SAC,Institution Population,2040
Oct 2021,SATF,High Risk Priority 1,5%
Oct 2021,SATF,High Risk Priority 2,8%
Oct 2021,SATF,Medium Risk,51%
Oct 2021,SATF,Low Risk,36%
Oct 2021,SATF,Mental Health EOP,10%
Oct 2021,SATF,Disability Placement Program (DPP) Patients,16%
Oct 2021,SATF,Patients 50 Years or Older,29%
Oct 2021,SATF,Specialized Health Care Beds,38
Oct 2021,SATF,Institution Population,5068
Oct 2021,SCC,High Risk Priority 1,0%
Oct 2021,SCC,High Risk Priority 2,2%
Oct 2021,SCC,Medium Risk,17%
Oct 2021,SCC,Low Risk,82%
Oct 2021,SCC,Mental Health EOP,0%
Oct 2021,SCC,Disability Placement Program (DPP) Patients,2%
Oct 2021,SCC,Patients 50 Years or Older,13%
Oct 2021,SCC,Specialized Health Care Beds,10
Oct 2021,SCC,Institution Population,3296
Oct 2021,SOL,High Risk Priority 1,10%
Oct 2021,SOL,High Risk Priority 2,15%
Oct 2021,SOL,Medium Risk,23%
Oct 2021,SOL,Low Risk,52%
Oct 2021,SOL,Mental Health EOP,0%
Oct 2021,SOL,Disability Placement Program (DPP) Patients,14%
Oct 2021,SOL,Patients 50 Years or Older,35%
Oct 2021,SOL,Specialized Health Care Beds,15
Oct 2021,SOL,Institution Population,3341
Oct 2021,SQ,High Risk Priority 1,14%
Oct 2021,SQ,High Risk Priority 2,23%
Oct 2021,SQ,Medium Risk,36%
Oct 2021,SQ,Low Risk,27%
Oct 2021,SQ,Mental Health EOP,7%
Oct 2021,SQ,Disability Placement Program (DPP) Patients,11%
Oct 2021,SQ,Patients 50 Years or Older,54%
Oct 2021,SQ,Specialized Health Care Beds,50
Oct 2021,SQ,Institution Population,2990
Oct 2021,SVSP,High Risk Priority 1,6%
Oct 2021,SVSP,High Risk Priority 2,10%
Oct 2021,SVSP,Medium Risk,49%
Oct 2021,SVSP,Low Risk,36%
Oct 2021,SVSP,Mental Health EOP,8%
Oct 2021,SVSP,Disability Placement Program (DPP) Patients,12%
