Year,Month,Location,Country of Birth,Population
2025,Feb,CIW,Guatemala,*
2025,Feb,CIW,Mexico,40
2025,Feb,CIW,Others,110
2025,Feb,CIW,Philippines,*
2025,Feb,CIW,United States,"1,076"
2025,Feb,CIW,Vietnam,*
2025,Feb,CMC,El Salvador,15
2025,Feb,CMC,Guatemala,14
2025,Feb,CMC,Mexico,124
2025,Feb,CMC,Others,217
2025,Feb,CMC,Philippines,*
2025,Feb,CMC,United States,"1,821"
2025,Feb,CMC,Vietnam,*
2025,Feb,CMF,El Salvador,*
2025,Feb,CMF,Guatemala,*
2025,Feb,CMF,Mexico,135
2025,Feb,CMF,Others,174
2025,Feb,CMF,Philippines,*
2025,Feb,CMF,United States,"1,551"
2025,Feb,CMF,Vietnam,*
2025,Feb,COR,El Salvador,32
2025,Feb,COR,Guatemala,16
2025,Feb,COR,Mexico,308
2025,Feb,COR,Others,281
2025,Feb,COR,Philippines,15
2025,Feb,COR,United States,"1,972"
2025,Feb,COR,Vietnam,*
2025,Feb,CRC,El Salvador,39
2025,Feb,CRC,Guatemala,38
2025,Feb,CRC,Mexico,336
2025,Feb,CRC,Others,471
2025,Feb,CRC,Philippines,*
2025,Feb,CRC,United States,"1,855"
2025,Feb,CRC,Vietnam,*
2025,Feb,CTF,El Salvador,69
2025,Feb,CTF,Guatemala,32
2025,Feb,CTF,Mexico,782
2025,Feb,CTF,Others,376
2025,Feb,CTF,Philippines,33
2025,Feb,CTF,United States,"3,006"
2025,Feb,CTF,Vietnam,26
2025,Feb,FOL,El Salvador,18
2025,Feb,FOL,Guatemala,17
2025,Feb,FOL,Mexico,248
2025,Feb,FOL,Others,323
2025,Feb,FOL,Philippines,*
2025,Feb,FOL,United States,"2,192"
2025,Feb,FOL,Vietnam,11
2025,Feb,HDSP,El Salvador,22
2025,Feb,HDSP,Guatemala,*
2025,Feb,HDSP,Mexico,147
2025,Feb,HDSP,Others,321
2025,Feb,HDSP,Philippines,*
2025,Feb,HDSP,United States,"2,282"
2025,Feb,HDSP,Vietnam,*
2025,Feb,ISP,El Salvador,47
2025,Feb,ISP,Guatemala,49
2025,Feb,ISP,Mexico,508
2025,Feb,ISP,Others,426
2025,Feb,ISP,Philippines,19
2025,Feb,ISP,United States,"1,555"
2025,Feb,ISP,Vietnam,*
2025,Feb,KVSP,El Salvador,22
2025,Feb,KVSP,Guatemala,*
2025,Feb,KVSP,Mexico,173
2025,Feb,KVSP,Others,220
2025,Feb,KVSP,Philippines,*
2025,Feb,KVSP,United States,"2,730"
2025,Feb,KVSP,Vietnam,*
2025,Feb,LAC,El Salvador,14
2025,Feb,LAC,Guatemala,10
2025,Feb,LAC,Mexico,138
2025,Feb,LAC,Others,244
2025,Feb,LAC,Philippines,*
2025,Feb,LAC,United States,"2,725"
2025,Feb,LAC,Vietnam,*
2025,Feb,MCSP,El Salvador,24
2025,Feb,MCSP,Guatemala,16
2025,Feb,MCSP,Mexico,242
2025,Feb,MCSP,Others,358
2025,Feb,MCSP,Philippines,14
2025,Feb,MCSP,United States,"3,146"
2025,Feb,MCSP,Vietnam,*
2025,Feb,NKSP,El Salvador,14
2025,Feb,NKSP,Guatemala,10
2025,Feb,NKSP,Mexico,86
2025,Feb,NKSP,Others,565
2025,Feb,NKSP,Philippines,*
2025,Feb,NKSP,United States,"1,971"
2025,Feb,NKSP,Vietnam,*
2025,Feb,PBSP,El Salvador,17
2025,Feb,PBSP,Guatemala,11
2025,Feb,PBSP,Mexico,129
2025,Feb,PBSP,Others,269
2025,Feb,PBSP,Philippines,*
2025,Feb,PBSP,United States,"1,580"
2025,Feb,PBSP,Vietnam,*
2025,Feb,PVSP,El Salvador,27
2025,Feb,PVSP,Guatemala,15
2025,Feb,PVSP,Mexico,235
2025,Feb,PVSP,Others,571
2025,Feb,PVSP,Philippines,*
2025,Feb,PVSP,United States,"1,983"
2025,Feb,PVSP,Vietnam,*
2025,Feb,RJD,El Salvador,26
2025,Feb,RJD,Guatemala,12
2025,Feb,RJD,Mexico,261
2025,Feb,RJD,Others,328
2025,Feb,RJD,Philippines,12
2025,Feb,RJD,United States,"2,709"
2025,Feb,RJD,Vietnam,18
2025,Feb,SAC,El Salvador,15
2025,Feb,SAC,Guatemala,*
2025,Feb,SAC,Mexico,114
2025,Feb,SAC,Others,204
2025,Feb,SAC,Philippines,*
2025,Feb,SAC,United States,"1,712"
2025,Feb,SAC,Vietnam,*
2025,Feb,CAL,El Salvador,13
2025,Feb,CAL,Guatemala,13
2025,Feb,CAL,Mexico,147
2025,Feb,CAL,Others,232
2025,Feb,CAL,Philippines,(Blank)
2025,Feb,CAL,United States,"2,123"
2025,Feb,CAL,Vietnam,11
2025,Feb,SATF,El Salvador,53
2025,Feb,SATF,Guatemala,38
2025,Feb,SATF,Mexico,474
2025,Feb,SATF,Others,547
2025,Feb,SATF,Philippines,18
2025,Feb,SATF,United States,"4,093"
2025,Feb,SATF,Vietnam,11
2025,Feb,SCC,El Salvador,18
2025,Feb,SCC,Guatemala,*
2025,Feb,SCC,Mexico,184
2025,Feb,SCC,Others,790
2025,Feb,SCC,Philippines,*
2025,Feb,SCC,United States,"3,163"
2025,Feb,SCC,Vietnam,*
2025,Feb,SOL,El Salvador,16
2025,Feb,SOL,Guatemala,15
2025,Feb,SOL,Mexico,256
2025,Feb,SOL,Others,502
2025,Feb,SOL,Philippines,11
2025,Feb,SOL,United States,"3,053"
2025,Feb,SOL,Vietnam,22
2025,Feb,SQ,El Salvador,48
2025,Feb,SQ,Guatemala,28
2025,Feb,SQ,Mexico,385
2025,Feb,SQ,Others,169
2025,Feb,SQ,Philippines,19
2025,Feb,SQ,United States,"2,207"
2025,Feb,SQ,Vietnam,23
2025,Feb,SVSP,El Salvador,*
2025,Feb,SVSP,Guatemala,*
2025,Feb,SVSP,Mexico,112
2025,Feb,SVSP,Others,168
2025,Feb,SVSP,Philippines,(Blank)
2025,Feb,SVSP,United States,"2,069"
2025,Feb,SVSP,Vietnam,*
2025,Feb,VSP,El Salvador,41
2025,Feb,VSP,Guatemala,26
2025,Feb,VSP,Mexico,335
2025,Feb,VSP,Others,373
2025,Feb,VSP,Philippines,15
2025,Feb,VSP,United States,"2,278"
2025,Feb,VSP,Vietnam,15
2025,Feb,WSP,El Salvador,14
2025,Feb,WSP,Guatemala,14
2025,Feb,WSP,Mexico,195
2025,Feb,WSP,Others,351
2025,Feb,WSP,Philippines,*
2025,Feb,WSP,United States,"3,233"
2025,Feb,WSP,Vietnam,*
2025,Feb,CPMP,El Salvador,(Blank)
2025,Feb,CPMP,Guatemala,(Blank)
2025,Feb,CPMP,Mexico,(Blank)
2025,Feb,CPMP,Others,*
2025,Feb,CPMP,Philippines,(Blank)
2025,Feb,CPMP,United States,*
2025,Feb,CPMP,Vietnam,(Blank)
2025,Feb,FCRF,El Salvador,*
2025,Feb,FCRF,Guatemala,*
2025,Feb,FCRF,Mexico,14
2025,Feb,FCRF,Others,57
2025,Feb,FCRF,Philippines,*
2025,Feb,FCRF,United States,309
2025,Feb,FCRF,Vietnam,(Blank)
2025,Feb,Alternative Custody Program,El Salvador,(Blank)
2025,Feb,Alternative Custody Program,Guatemala,(Blank)
2025,Feb,Alternative Custody Program,Mexico,(Blank)
2025,Feb,Alternative Custody Program,Others,*
2025,Feb,Alternative Custody Program,Philippines,(Blank)
2025,Feb,Alternative Custody Program,United States,*
2025,Feb,Alternative Custody Program,Vietnam,(Blank)
2025,Feb,Department of State Hospitals,El Salvador,(Blank)
2025,Feb,Department of State Hospitals,Guatemala,*
2025,Feb,Department of State Hospitals,Mexico,15
2025,Feb,Department of State Hospitals,Others,16
2025,Feb,Department of State Hospitals,Philippines,*
2025,Feb,Department of State Hospitals,United States,157
2025,Feb,Department of State Hospitals,Vietnam,(Blank)
2025,Feb,Male Community Reentry Facility,El Salvador,*
2025,Feb,Male Community Reentry Facility,Guatemala,*
2025,Feb,Male Community Reentry Facility,Mexico,21
2025,Feb,Male Community Reentry Facility,Others,67
2025,Feb,Male Community Reentry Facility,Philippines,*
2025,Feb,Male Community Reentry Facility,United States,573
2025,Feb,Male Community Reentry Facility,Vietnam,*
2025,Feb,Medical Reprieve Program,El Salvador,(Blank)
2025,Feb,Medical Reprieve Program,Guatemala,(Blank)
2025,Feb,Medical Reprieve Program,Mexico,(Blank)
2025,Feb,Medical Reprieve Program,Others,(Blank)
2025,Feb,Medical Reprieve Program,Philippines,(Blank)
2025,Feb,Medical Reprieve Program,United States,*
2025,Feb,Medical Reprieve Program,Vietnam,(Blank)
2025,Feb,CCI,El Salvador,22
2025,Feb,CCI,Guatemala,11
2025,Feb,CCI,Mexico,170
2025,Feb,CCI,Others,328
2025,Feb,CCI,Philippines,*
2025,Feb,CCI,United States,"1,876"
2025,Feb,CCI,Vietnam,*
2025,Feb,CCWF,El Salvador,11
2025,Feb,CCWF,Guatemala,*
2025,Feb,CCWF,Mexico,86
2025,Feb,CCWF,Others,231
2025,Feb,CCWF,Philippines,*
2025,Feb,CCWF,United States,"1,678"
2025,Feb,CCWF,Vietnam,*
2025,Feb,CEN,El Salvador,25
2025,Feb,CEN,Guatemala,*
2025,Feb,CEN,Mexico,174
2025,Feb,CEN,Others,251
2025,Feb,CEN,Philippines,*
2025,Feb,CEN,United States,"2,331"
2025,Feb,CEN,Vietnam,*
2025,Feb,CHCF,El Salvador,12
2025,Feb,CHCF,Guatemala,10
2025,Feb,CHCF,Mexico,165
2025,Feb,CHCF,Others,171
2025,Feb,CHCF,Philippines,11
2025,Feb,CHCF,United States,"1,705"
2025,Feb,CHCF,Vietnam,*
2025,Feb,CIM,El Salvador,25
2025,Feb,CIM,Guatemala,22
2025,Feb,CIM,Mexico,298
2025,Feb,CIM,Others,246
2025,Feb,CIM,Philippines,14
2025,Feb,CIM,United States,"1,693"
2025,Feb,CIM,Vietnam,12
2025,Mar,ASP,El Salvador,74
2025,Mar,ASP,Guatemala,67
2025,Mar,ASP,Mexico,827
2025,Mar,ASP,Others,836
2025,Mar,ASP,Philippines,*
2025,Mar,ASP,United States,"1,983"
2025,Mar,ASP,Vietnam,20
2025,Mar,CIW,El Salvador,*
2025,Mar,CIW,Guatemala,*
2025,Mar,CIW,Mexico,46
2025,Mar,CIW,Others,108
2025,Mar,CIW,Philippines,*
2025,Mar,CIW,United States,"1,059"
2025,Mar,CIW,Vietnam,*
2025,Mar,CMC,El Salvador,13
2025,Mar,CMC,Guatemala,15
2025,Mar,CMC,Mexico,128
2025,Mar,CMC,Others,220
2025,Mar,CMC,Philippines,*
2025,Mar,CMC,United States,"1,795"
2025,Mar,CMC,Vietnam,*
2025,Mar,CMF,El Salvador,*
2025,Mar,CMF,Guatemala,*
2025,Mar,CMF,Mexico,135
2025,Mar,CMF,Others,176
2025,Mar,CMF,Philippines,10
2025,Mar,CMF,United States,"1,566"
2025,Mar,CMF,Vietnam,*
2025,Mar,COR,El Salvador,31
2025,Mar,COR,Guatemala,16
2025,Mar,COR,Mexico,307
2025,Mar,COR,Others,280
2025,Mar,COR,Philippines,14
2025,Mar,COR,United States,"1,961"
2025,Mar,COR,Vietnam,*
2025,Mar,CRC,El Salvador,39
2025,Mar,CRC,Guatemala,38
2025,Mar,CRC,Mexico,333
2025,Mar,CRC,Others,462
2025,Mar,CRC,Philippines,*
2025,Mar,CRC,United States,"1,809"
2025,Mar,CRC,Vietnam,*
2025,Mar,CTF,El Salvador,68
2025,Mar,CTF,Guatemala,33
2025,Mar,CTF,Mexico,783
2025,Mar,CTF,Others,381
2025,Mar,CTF,Philippines,32
2025,Mar,CTF,United States,"2,982"
2025,Mar,CTF,Vietnam,25
2025,Mar,FOL,El Salvador,19
2025,Mar,FOL,Guatemala,17
2025,Mar,FOL,Mexico,247
2025,Mar,FOL,Others,337
2025,Mar,FOL,Philippines,*
2025,Mar,FOL,United States,"2,190"
2025,Mar,FOL,Vietnam,11
2025,Mar,HDSP,El Salvador,22
2025,Mar,HDSP,Guatemala,*
2025,Mar,HDSP,Mexico,154
2025,Mar,HDSP,Others,339
2025,Mar,HDSP,Philippines,*
2025,Mar,HDSP,United States,"2,368"
2025,Mar,HDSP,Vietnam,*
2025,Mar,ISP,El Salvador,46
2025,Mar,ISP,Guatemala,48
2025,Mar,ISP,Mexico,509
2025,Mar,ISP,Others,403
2025,Mar,ISP,Philippines,20
2025,Mar,ISP,United States,"1,482"
2025,Mar,ISP,Vietnam,*
2025,Mar,KVSP,El Salvador,21
2025,Mar,KVSP,Guatemala,*
2025,Mar,KVSP,Mexico,168
2025,Mar,KVSP,Others,215
2025,Mar,KVSP,Philippines,*
2025,Mar,KVSP,United States,"2,659"
2025,Mar,KVSP,Vietnam,*
2025,Mar,LAC,El Salvador,14
2025,Mar,LAC,Guatemala,*
2025,Mar,LAC,Mexico,139
2025,Mar,LAC,Others,245
2025,Mar,LAC,Philippines,*
2025,Mar,LAC,United States,"2,662"
2025,Mar,LAC,Vietnam,*
2025,Mar,MCSP,El Salvador,25
2025,Mar,MCSP,Guatemala,16
2025,Mar,MCSP,Mexico,243
2025,Mar,MCSP,Others,354
2025,Mar,MCSP,Philippines,14
2025,Mar,MCSP,United States,"3,145"
2025,Mar,MCSP,Vietnam,*
2025,Mar,NKSP,El Salvador,16
2025,Mar,NKSP,Guatemala,11
2025,Mar,NKSP,Mexico,85
2025,Mar,NKSP,Others,567
2025,Mar,NKSP,Philippines,*
2025,Mar,NKSP,United States,"1,906"
2025,Mar,NKSP,Vietnam,*
2025,Mar,PBSP,El Salvador,15
2025,Mar,PBSP,Guatemala,10
2025,Mar,PBSP,Mexico,128
2025,Mar,PBSP,Others,267
2025,Mar,PBSP,Philippines,*
2025,Mar,PBSP,United States,"1,573"
2025,Mar,PBSP,Vietnam,*
2025,Mar,PVSP,El Salvador,28
2025,Mar,PVSP,Guatemala,16
2025,Mar,PVSP,Mexico,231
2025,Mar,PVSP,Others,565
2025,Mar,PVSP,Philippines,*
2025,Mar,PVSP,United States,"2,001"
2025,Mar,PVSP,Vietnam,*
2025,Mar,RJD,El Salvador,26
2025,Mar,RJD,Guatemala,12
2025,Mar,RJD,Mexico,264
2025,Mar,RJD,Others,340
2025,Mar,RJD,Philippines,12
2025,Mar,RJD,United States,"2,760"
2025,Mar,RJD,Vietnam,19
2025,Mar,SAC,El Salvador,15
2025,Mar,SAC,Guatemala,*
2025,Mar,SAC,Mexico,116
2025,Mar,SAC,Others,204
2025,Mar,SAC,Philippines,*
2025,Mar,SAC,United States,"1,727"
2025,Mar,SAC,Vietnam,*
2025,Mar,CAL,El Salvador,15
2025,Mar,CAL,Guatemala,14
2025,Mar,CAL,Mexico,149
2025,Mar,CAL,Others,229
2025,Mar,CAL,Philippines,(Blank)
2025,Mar,CAL,United States,"2,138"
2025,Mar,CAL,Vietnam,10
2025,Mar,SATF,El Salvador,54
2025,Mar,SATF,Guatemala,40
2025,Mar,SATF,Mexico,481
2025,Mar,SATF,Others,571
2025,Mar,SATF,Philippines,18
2025,Mar,SATF,United States,"4,163"
2025,Mar,SATF,Vietnam,10
2025,Mar,SCC,El Salvador,15
2025,Mar,SCC,Guatemala,*
2025,Mar,SCC,Mexico,181
2025,Mar,SCC,Others,778
2025,Mar,SCC,Philippines,10
2025,Mar,SCC,United States,"3,109"
2025,Mar,SCC,Vietnam,*
2025,Mar,SOL,El Salvador,17
2025,Mar,SOL,Guatemala,15
2025,Mar,SOL,Mexico,253
2025,Mar,SOL,Others,518
2025,Mar,SOL,Philippines,11
2025,Mar,SOL,United States,"3,046"
2025,Mar,SOL,Vietnam,22
2025,Mar,SQ,El Salvador,47
2025,Mar,SQ,Guatemala,28
2025,Mar,SQ,Mexico,382
2025,Mar,SQ,Others,172
2025,Mar,SQ,Philippines,21
2025,Mar,SQ,United States,"2,191"
2025,Mar,SQ,Vietnam,24
2025,Mar,SVSP,El Salvador,*
2025,Mar,SVSP,Guatemala,*
2025,Mar,SVSP,Mexico,111
2025,Mar,SVSP,Others,167
2025,Mar,SVSP,Philippines,(Blank)
2025,Mar,SVSP,United States,"2,105"
2025,Mar,SVSP,Vietnam,*
2025,Mar,VSP,El Salvador,41
2025,Mar,VSP,Guatemala,26
2025,Mar,VSP,Mexico,333
2025,Mar,VSP,Others,370
2025,Mar,VSP,Philippines,15
2025,Mar,VSP,United States,"2,223"
2025,Mar,VSP,Vietnam,14
2025,Mar,WSP,El Salvador,16
