date,section,facility,bed_capacity,census,beds_reserved,beds_redlined,medical_isolation_rooms,available_beds,pending_referrals,accepted_referrals,total_waitlist
2026-01-26,Male Intermediate Locked Dorm,Total - Male Intermediate Locked Dorm,64,29,0,0,0,35,0,0,0
2026-01-26,Male ICF High Custody,California Health Care Facility (CHCF) Single Cell,330,239,15,1,0,75,0,0,0
2026-01-26,Male ICF High Custody,CMF Multi Cell,20,11,0,0,0,9,0,0,0
2026-01-26,Male ICF High Custody,CMF Single Cell,93,52,3,32,0,6,0,0,0
2026-01-26,Male ICF High Custody,Salinas Valley State Prison (SVSP) Multi Cell,44,43,1,0,0,0,0,0,0
2026-01-26,Male ICF High Custody,SVSP Single Cell,82,78,2,0,0,2,0,0,0
2026-01-26,Male ICF High Custody,Total - Male ICF High Custody,569,423,21,33,0,92,27,3,30
2026-01-26,Male Flex (APP/ICF),CHCF,217,114,15,1,0,87,0,0,0
2026-01-26,Male Flex (APP/ICF),CMF,219,93,2,68,0,56,0,0,0
2026-01-26,Male Flex (APP/ICF),San Quentin (SQ),28,23,1,0,0,4,0,0,0
2026-01-26,Male Flex (APP/ICF),California Men's Colony,0,0,0,0,0,0,0,0,0
2026-01-26,Male Flex (APP/ICF),Total - Male Flex (APP/ICF),464,230,18,69,0,147,17,3,20
2026-01-26,Female High Custody,California Institution for Women,45,35,2,0,0,8,0,0,0
2026-01-26,Female High Custody,Total - Female High Custody,45,35,2,0,0,8,2,0,2
2026-01-26,Female High Custody,GRAND TOTALS,1142,717,41,102,0,282,46,6,52
