Year,Month,Location,Age Group,Population
2025,Jan,LAC,75-79 Years,13
2025,Jan,LAC,80-84 Years,*
2025,Jan,LAC,85-89 Years,*
2025,Jan,LAC,90-94 Years,(Blank)
2025,Jan,LAC,95 and Older,(Blank)
2025,Jan,MCSP,18-24 Years,92
2025,Jan,MCSP,25-29 Years,354
2025,Jan,MCSP,30-34 Years,511
2025,Jan,MCSP,35-39 Years,497
2025,Jan,MCSP,40-44 Years,463
2025,Jan,MCSP,45-49 Years,450
2025,Jan,MCSP,50-54 Years,353
2025,Jan,MCSP,55-59 Years,340
2025,Jan,MCSP,60-64 Years,303
2025,Jan,MCSP,65-69 Years,201
2025,Jan,MCSP,70-74 Years,145
2025,Jan,MCSP,75-79 Years,99
2025,Jan,MCSP,80-84 Years,35
2025,Jan,MCSP,85-89 Years,*
2025,Jan,MCSP,90-94 Years,*
2025,Jan,MCSP,95 and Older,(Blank)
2025,Jan,NKSP,18-24 Years,223
2025,Jan,NKSP,25-29 Years,465
2025,Jan,NKSP,30-34 Years,566
2025,Jan,NKSP,35-39 Years,516
2025,Jan,NKSP,40-44 Years,363
2025,Jan,NKSP,45-49 Years,233
2025,Jan,NKSP,50-54 Years,148
2025,Jan,NKSP,55-59 Years,102
2025,Jan,NKSP,60-64 Years,48
2025,Jan,NKSP,65-69 Years,22
2025,Jan,NKSP,70-74 Years,*
2025,Jan,NKSP,75-79 Years,*
2025,Jan,NKSP,80-84 Years,(Blank)
2025,Jan,NKSP,85-89 Years,(Blank)
2025,Jan,NKSP,90-94 Years,(Blank)
2025,Jan,NKSP,95 and Older,(Blank)
2025,Jan,PBSP,18-24 Years,44
2025,Jan,PBSP,25-29 Years,190
2025,Jan,PBSP,30-34 Years,352
2025,Jan,PBSP,35-39 Years,383
2025,Jan,PBSP,40-44 Years,287
2025,Jan,PBSP,45-49 Years,242
2025,Jan,PBSP,50-54 Years,182
2025,Jan,PBSP,55-59 Years,156
2025,Jan,PBSP,60-64 Years,119
2025,Jan,PBSP,65-69 Years,50
2025,Jan,PBSP,70-74 Years,23
2025,Jan,PBSP,75-79 Years,*
2025,Jan,PBSP,80-84 Years,*
2025,Jan,PBSP,85-89 Years,(Blank)
2025,Jan,PBSP,90-94 Years,(Blank)
2025,Jan,PBSP,95 and Older,(Blank)
2025,Jan,PVSP,18-24 Years,244
2025,Jan,PVSP,25-29 Years,539
2025,Jan,PVSP,30-34 Years,612
2025,Jan,PVSP,35-39 Years,515
2025,Jan,PVSP,40-44 Years,400
2025,Jan,PVSP,45-49 Years,274
2025,Jan,PVSP,50-54 Years,160
2025,Jan,PVSP,55-59 Years,91
2025,Jan,PVSP,60-64 Years,62
2025,Jan,PVSP,65-69 Years,*
2025,Jan,PVSP,70-74 Years,(Blank)
2025,Jan,PVSP,75-79 Years,(Blank)
2025,Jan,PVSP,80-84 Years,(Blank)
2025,Jan,PVSP,85-89 Years,(Blank)
2025,Jan,PVSP,90-94 Years,(Blank)
2025,Jan,PVSP,95 and Older,(Blank)
2025,Jan,RJD,18-24 Years,28
2025,Jan,RJD,25-29 Years,210
2025,Jan,RJD,30-34 Years,360
2025,Jan,RJD,35-39 Years,371
2025,Jan,RJD,40-44 Years,405
2025,Jan,RJD,45-49 Years,399
2025,Jan,RJD,50-54 Years,363
2025,Jan,RJD,55-59 Years,363
2025,Jan,RJD,60-64 Years,295
2025,Jan,RJD,65-69 Years,240
2025,Jan,RJD,70-74 Years,133
2025,Jan,RJD,75-79 Years,73
2025,Jan,RJD,80-84 Years,28
2025,Jan,RJD,85-89 Years,*
2025,Jan,RJD,90-94 Years,(Blank)
2025,Jan,RJD,95 and Older,(Blank)
2025,Jan,SAC,18-24 Years,43
2025,Jan,SAC,25-29 Years,258
2025,Jan,SAC,30-34 Years,404
2025,Jan,SAC,35-39 Years,331
2025,Jan,SAC,40-44 Years,312
2025,Jan,SAC,45-49 Years,232
2025,Jan,SAC,50-54 Years,154
2025,Jan,SAC,55-59 Years,120
2025,Jan,SAC,60-64 Years,99
2025,Jan,SAC,65-69 Years,99
2025,Jan,SAC,70-74 Years,34
2025,Jan,SAC,75-79 Years,26
2025,Jan,SAC,80-84 Years,*
2025,Jan,SAC,85-89 Years,(Blank)
2025,Jan,SAC,90-94 Years,(Blank)
2025,Jan,SAC,95 and Older,(Blank)
2025,Jan,CAL,18-24 Years,86
2025,Jan,CAL,25-29 Years,438
2025,Jan,CAL,30-34 Years,631
2025,Jan,CAL,35-39 Years,486
2025,Jan,CAL,40-44 Years,360
2025,Jan,CAL,45-49 Years,247
2025,Jan,CAL,50-54 Years,123
2025,Jan,CAL,55-59 Years,58
2025,Jan,CAL,60-64 Years,44
2025,Jan,CAL,65-69 Years,*
2025,Jan,CAL,70-74 Years,(Blank)
2025,Jan,CAL,75-79 Years,*
2025,Jan,CAL,80-84 Years,(Blank)
2025,Jan,CAL,85-89 Years,*
2025,Jan,CAL,90-94 Years,(Blank)
2025,Jan,CAL,95 and Older,(Blank)
2025,Jan,SATF,18-24 Years,170
2025,Jan,SATF,25-29 Years,465
2025,Jan,SATF,30-34 Years,727
2025,Jan,SATF,35-39 Years,685
2025,Jan,SATF,40-44 Years,696
2025,Jan,SATF,45-49 Years,616
2025,Jan,SATF,50-54 Years,477
2025,Jan,SATF,55-59 Years,467
2025,Jan,SATF,60-64 Years,425
2025,Jan,SATF,65-69 Years,258
2025,Jan,SATF,70-74 Years,115
2025,Jan,SATF,75-79 Years,28
2025,Jan,SATF,80-84 Years,14
2025,Jan,SATF,85-89 Years,*
2025,Jan,SATF,90-94 Years,(Blank)
2025,Jan,SATF,95 and Older,(Blank)
2025,Jan,SCC,18-24 Years,462
2025,Jan,SCC,25-29 Years,753
2025,Jan,SCC,30-34 Years,855
2025,Jan,SCC,35-39 Years,763
2025,Jan,SCC,40-44 Years,556
2025,Jan,SCC,45-49 Years,379
2025,Jan,SCC,50-54 Years,197
2025,Jan,SCC,55-59 Years,125
2025,Jan,SCC,60-64 Years,59
2025,Jan,SCC,65-69 Years,17
2025,Jan,SCC,70-74 Years,*
2025,Jan,SCC,75-79 Years,*
2025,Jan,SCC,80-84 Years,(Blank)
2025,Jan,SCC,85-89 Years,(Blank)
2025,Jan,SCC,90-94 Years,(Blank)
2025,Jan,SCC,95 and Older,(Blank)
2025,Jan,SOL,18-24 Years,590
2025,Jan,SOL,25-29 Years,612
2025,Jan,SOL,30-34 Years,446
2025,Jan,SOL,35-39 Years,388
2025,Jan,SOL,40-44 Years,374
2025,Jan,SOL,45-49 Years,359
2025,Jan,SOL,50-54 Years,320
2025,Jan,SOL,55-59 Years,245
2025,Jan,SOL,60-64 Years,210
2025,Jan,SOL,65-69 Years,159
2025,Jan,SOL,70-74 Years,111
2025,Jan,SOL,75-79 Years,50
2025,Jan,SOL,80-84 Years,15
2025,Jan,SOL,85-89 Years,*
2025,Jan,SOL,90-94 Years,*
2025,Jan,SOL,95 and Older,(Blank)
2025,Jan,SQ,18-24 Years,73
2025,Jan,SQ,25-29 Years,165
2025,Jan,SQ,30-34 Years,231
2025,Jan,SQ,35-39 Years,300
2025,Jan,SQ,40-44 Years,373
2025,Jan,SQ,45-49 Years,340
2025,Jan,SQ,50-54 Years,278
2025,Jan,SQ,55-59 Years,321
2025,Jan,SQ,60-64 Years,325
2025,Jan,SQ,65-69 Years,262
2025,Jan,SQ,70-74 Years,165
2025,Jan,SQ,75-79 Years,71
2025,Jan,SQ,80-84 Years,25
2025,Jan,SQ,85-89 Years,*
2025,Jan,SQ,90-94 Years,(Blank)
2025,Jan,SQ,95 and Older,(Blank)
2025,Jan,SVSP,18-24 Years,64
2025,Jan,SVSP,25-29 Years,321
2025,Jan,SVSP,30-34 Years,502
2025,Jan,SVSP,35-39 Years,404
2025,Jan,SVSP,40-44 Years,343
2025,Jan,SVSP,45-49 Years,225
2025,Jan,SVSP,50-54 Years,184
2025,Jan,SVSP,55-59 Years,131
2025,Jan,SVSP,60-64 Years,100
2025,Jan,SVSP,65-69 Years,64
2025,Jan,SVSP,70-74 Years,12
2025,Jan,SVSP,75-79 Years,*
2025,Jan,SVSP,80-84 Years,*
2025,Jan,SVSP,85-89 Years,(Blank)
2025,Jan,SVSP,90-94 Years,(Blank)
2025,Jan,SVSP,95 and Older,(Blank)
2025,Jan,VSP,18-24 Years,303
2025,Jan,VSP,25-29 Years,355
2025,Jan,VSP,30-34 Years,148
2025,Jan,VSP,35-39 Years,206
2025,Jan,VSP,40-44 Years,286
2025,Jan,VSP,45-49 Years,333
2025,Jan,VSP,50-54 Years,289
2025,Jan,VSP,55-59 Years,371
2025,Jan,VSP,60-64 Years,367
2025,Jan,VSP,65-69 Years,283
2025,Jan,VSP,70-74 Years,120
2025,Jan,VSP,75-79 Years,49
2025,Jan,VSP,80-84 Years,19
2025,Jan,VSP,85-89 Years,*
2025,Jan,VSP,90-94 Years,*
2025,Jan,VSP,95 and Older,(Blank)
2025,Jan,WSP,18-24 Years,335
2025,Jan,WSP,25-29 Years,611
2025,Jan,WSP,30-34 Years,859
2025,Jan,WSP,35-39 Years,703
2025,Jan,WSP,40-44 Years,516
2025,Jan,WSP,45-49 Years,330
2025,Jan,WSP,50-54 Years,208
2025,Jan,WSP,55-59 Years,134
2025,Jan,WSP,60-64 Years,86
2025,Jan,WSP,65-69 Years,36
2025,Jan,WSP,70-74 Years,11
2025,Jan,WSP,75-79 Years,*
