GEOID,Dr_delta_JA_max_pre,Dr_delta_JA_max_fut,Dr_WSV_average,Dr_precip_demand_ratio,drought_delta_spei12_midcentury,drought_hazard_idx_norm,drought_hazard_fut_idx_norm
06025940000,2.81957071810089,4.8169402373887245,22.010443255803736,1.992600489089991,557.7820248919345,33.77180436077847,35.16662807755871
06037408133,2.8239160579710147,4.871293260869566,27.56284249025075,1.9836592167999973,290.73399655606033,39.90660867047528,41.45579274056079
06025011802,2.5330602162162164,4.475676010810811,13.451222933272412,1.9996704373900045,529.1791746948772,22.032418567692076,23.491740873851086
06037400304,2.987163768545994,5.025491525222552,25.723499777671883,1.9836592167999945,263.9264613617344,39.523750840893726,41.0111865194606
06075980600,0.67340975,2.82434796875,24.98162492620207,1.9845928784999973,27.87709637364348,17.390216844724694,20.896626742315963
06071000107,3.0695892903225808,5.096245161290322,26.819973631800075,1.9814317678900006,297.39180386084416,41.50766061588179,42.80025512861155
06071000108,3.034864558951965,5.050986231441048,29.731395073311187,1.9814317678900009,288.96906668736096,44.175741228199435,45.25168561112496
06037276000,1.370987678700361,2.7698304223826713,20.320063686775907,1.983659216799995,98.46487317802212,19.07809199776469,15.894747991143717
06037276400,1.0905328095238094,2.349882869047619,22.51725720643388,1.9836592167999965,54.44040975719492,18.747693512357824,14.353503789015015
06037276500,0.9869067096774194,2.2174211612903223,23.6724997849398,1.9836592167999998,46.84110383127851,18.978065863091118,14.319686479752677
06037402501,3.029422,5.129604,26.81879459822499,1.983321724540908,294.4444444444444,41.05246122351428,43.01254948332346
06037402702,3.068448730769231,5.178154823076923,27.500127229525354,1.9814317678900006,315.6046452841805,42.195238678785444,44.18591606084647
06081606800,1.8902104782608695,4.425178533596838,25.032088189266798,1.9845928784999962,122.48203369320083,28.659830212972903,35.018077172089775
06037277400,,,,,115.2098225705507,,
06037240020,2.196558,3.928857,20.419039457571937,1.983659216799999,230.9523809523809,26.790701469081647,26.180007648422205
06037533103,2.402771,4.201347,21.70895649524186,1.9836592168000013,244.44444444444449,30.0157409664195,29.837708894529552
06037402703,3.079840043478261,5.192362565217391,27.5484037262783,1.9814317678900006,322.6414495800514,42.34980625231574,44.358054941694206
06037403702,2.914021401960784,4.943072529411765,21.75692687035192,1.9836592167999958,268.03661293498743,34.778250004735625,36.404776576641765
06037403703,2.9227790461538463,4.954819161538461,22.171761937746467,1.9836592167999951,265.8531603042938,35.28476424548821,36.914015619546944
06037403721,2.8919450314136124,4.896388104712042,20.946025332832978,1.983659216799996,247.1154963417376,33.74243603639783,35.200805115374415
06037403722,2.901002051813472,4.929391502590674,22.20160141977621,1.983659216799996,262.08757040011426,35.11462626490888,36.71969693561442
06073004300,1.625326,2.925146,27.933764656218468,1.978105905320005,309.5238095238096,29.483268079156943,24.945689598483916
06073004400,1.625326,2.925146,29.211550525300023,1.9781059053200034,309.5238095238096,30.794756221994323,26.1962015294859
06073004600,1.326795,2.711433,33.271239332920004,1.978105905320001,256.00580931798794,32.20933148773229,28.290598339632915
06073004700,1.326795,2.711433,33.985996807700005,1.978105905320001,253.1746031746031,32.94294106650474,28.990099540587366
06073004800,1.326795,2.711433,33.49630959502466,1.9781059053200039,253.1746031746031,32.440338096271134,28.510864547677418
06073004900,1.326795,2.711433,33.96497119270853,1.9781059053200043,253.1746031746031,32.921360889869064,28.969522710744545
06073009102,1.542007,3.280578,35.42256422347498,1.9781059053200039,233.34940676493736,36.40146168880232,35.399059918164404
06073009104,1.4606159081081083,3.0111092162162163,35.0325185222334,1.978105905319997,219.77857378599495,35.250774941655244,32.6485804691328
06073009107,1.5056890206185567,3.005279175257732,33.48854765578554,1.9781059053200043,239.97001571290963,34.08161499040072,31.08631633487945
06081606000,1.589288,4.138313,29.114690952200036,1.984592878499997,93.65079365079364,30.075876501767834,36.491853181014505
06081609100,1.8788882,4.373254266666667,27.158264230374467,1.9845928784999975,136.66319202480813,30.737703941768245,36.642431578236966
06081610304,1.593435366834171,3.8083631959799,29.257343313594937,1.9746200499648205,112.09423326291108,30.702098650748056,34.15208631167643
06081606100,1.516471176056338,3.984988028169014,28.897588576568932,1.970616872313377,87.91228195728058,29.800564717691785,35.52163669455635
06081606300,1.567486701030928,4.07138293814433,28.369233558068,1.9845928784999973,94.11967678447613,29.10976871547779,35.1739601703224
06081606400,1.86879605,4.5301964,27.623528506166632,1.9845928784999969,122.32409025931992,31.122199171744043,38.47736115032665
06081603900,0.940779956043956,3.478201978021978,25.501745205249385,1.9845928784999964,47.64777167905028,20.388970766465174,27.153333858664723
06081613200,3.0150898943569553,5.58885749343832,28.700276162159952,1.9845928784999693,178.15363287258756,42.79515504238535,48.83726197696238
06095253203,3.5156018260869564,5.662860439613526,34.90961059107289,1.992554653390003,133.39012356140472,53.43001047958632,55.2284439660559
06095253402,3.483222918158568,5.366597823529412,40.10859802767932,1.9925546533900091,121.00576752194225,58.46761924530169,57.71217093076495
06095252903,3.7145326938305705,5.777365569521178,37.688908606459286,1.9924446841235544,125.61218248576664,58.12144855381056,58.95961623199446
06089012400,3.7648035755885996,6.081888585501859,38.320004875538196,1.9925546533900143,112.845654781556,59.22777391277466,62.249501741693
06081610202,2.195823,4.777746,25.857722182396316,1.9845928784999975,158.1333487278625,32.32471602811054,38.92532447746903
06081603400,0.752587498281787,3.1471269243986253,26.263185941861494,1.9845928785000029,47.92772912194074,19.43552803416264,24.988214231941967
06081611800,0.73349,2.41509,23.49259244166294,1.9845928784999969,13.713270528224363,16.41579674733374,15.841804419991256
06081608100,1.630941,3.963623,29.64917307694007,1.9845928784999969,80.84135172417801,31.008459439928192,35.4793185224706
06081613300,2.758100679075738,5.393891645699615,24.624156910784063,1.9845928785000337,175.1197560468932,36.24231429698003,43.13430340712989
06081607300,1.922068659217877,4.562283156424581,24.1639776547028,1.9845928784999964,121.5501544125512,28.062526864456533,35.37371122021241
06081613600,0.8970985600000001,2.943035792,33.28582488599184,1.9726853212290232,51.41400880796272,28.502893307472167,30.56962266357981
06081600100,0.3401805044642857,2.3351942589285715,24.020700873092885,1.9845928784999962,4.666738186485977,13.33187102345574,15.656318867122621
06081603100,0.21174833796296294,2.180086486111111,28.060351842263415,1.9845928784999964,27.937246355131904,16.29403970800304,18.24627344284274
06081605600,1.9208928574237953,4.676030147492626,27.571383474023264,1.9845928785000382,104.01534793438157,31.54896495735619,39.70827734322723
