GEOID,flood_bam_100_pct,flood_bam_500_pct,flood_verywet_pre_pct,flood_verywet_fut_pct,flood_hazard_idx_norm,flood_hazard_fut_idx_norm
06075016102,0.0,0.0,22.564100624999988,24.06540125,17.48045431112846,17.65187847554
06075012801,0.0,0.0,24.510800000000014,24.67192,20.779185914224577,18.58065934249982
06075010402,0.0,0.0,24.68274999999998,23.724759999999986,21.070559562583743,17.130244024012672
06075061101,0.0,0.0,24.682749999999995,23.72476,21.070559562583767,17.130244024012693
06075047904,0.0,0.0,24.221509999999988,24.57443999999999,20.288976651451403,18.43138521220912
06075061102,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075061501,0.0,0.0,23.3638447368421,24.001744210526322,18.83564104925724,17.55439848780597
06075012403,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075047903,0.0,0.0,24.22151000000002,24.574440000000024,20.28897665145146,18.431385212209168
06075035101,0.0,0.0,24.221510000000006,24.574440000000006,20.288976651451435,18.431385212209143
06075061506,0.0,0.0,22.17683,24.251030000000007,16.824214387263368,17.93613750521991
06075061505,0.0,0.0,22.17683,24.25103,16.824214387263368,17.9361375052199
06075045202,0.0,0.0,23.905269999999984,24.74266,19.753099928234647,18.68898568612685
06075012406,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075012404,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075017604,0.0,0.0,22.34493,24.10064,17.10906411270208,17.70584066018075
06075015401,0.0,0.0,24.510800000000014,24.67192,20.779185914224577,18.58065934249982
06075010901,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075012204,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075015202,0.0,0.0,24.682749999999984,23.72475999999999,21.070559562583753,17.130244024012676
06075010902,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075015201,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075020701,0.0,0.0,22.344929999999987,24.10064,17.10906411270205,17.70584066018075
06075011001,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075011102,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075012002,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075010401,0.0,0.0,24.682749999999995,23.72476,21.070559562583767,17.130244024012693
06075010701,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075010702,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075011002,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075012203,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06075031402,0.0,0.0,25.07625000000001,26.18995999999999,21.73735532082371,20.905280810969963
06075013401,0.0,0.0,24.578084782608695,24.301292173913044,20.893201689669468,18.013105522222247
06075013402,0.0,0.0,24.51080000000001,24.67192,20.77918591422457,18.58065934249982
06075012802,0.0,0.0,24.558234482758625,24.410634482758617,20.859564851702967,18.180544771882673
06075013002,0.0,0.0,24.682749999999984,23.72475999999999,21.070559562583753,17.130244024012676
06075020202,0.0,0.0,22.34492999999999,24.10064,17.10906411270206,17.70584066018075
06075020601,0.0,0.0,22.344929999999987,24.10064,17.10906411270205,17.70584066018075
06075020201,0.0,0.0,22.34492999999999,24.10064,17.10906411270206,17.70584066018075
06075061508,0.0,0.0,22.17683,24.251030000000007,16.824214387263368,17.93613750521991
06075013001,0.0,0.0,24.682749999999984,23.72475999999999,21.070559562583753,17.130244024012676
06075010201,0.0,0.0,24.68274999999998,23.724759999999986,21.070559562583743,17.130244024012672
06075011101,0.0,0.0,24.68275,23.72476,21.07055956258377,17.130244024012693
06073007200,0.7633587786259541,0.7633587786259541,25.601248244274814,28.77374717557249,23.208897202359516,25.387789950529534
06073007302,0.0,0.0,24.176557079646035,28.32513964601776,20.212802784583516,24.174947252021212
06073007501,16.304347826086957,16.304347826086957,25.890104782608674,28.386618478260843,35.54548384709514,35.50112039527783
06073007502,2.631578947368421,2.631578947368421,25.174093684210533,28.471188947368425,23.909243129778712,26.21148589600315
06073010009,0.8849557522123894,100.0,23.332720000000013,24.393450000000026,19.457513457475397,87.04400574023971
06073010010,0.0,0.0,25.543855114503803,28.496140610687064,22.529724080372432,24.4368063029022
06073010013,0.0,15.841584158415841,23.33272000000003,24.393450000000026,18.782899391054883,29.067461500378688
06073010106,10.655737704918032,13.114754098360656,24.78045999999996,27.983000000000047,29.3591485572529,32.685742994464746
06073010107,2.4752475247524752,3.4653465346534658,24.78045999999996,27.983000000000096,23.123047224549982,26.038287729161567
06073012102,0.0,0.0,23.85413000000003,29.004320000000003,19.666441897545038,25.21499707404849
06073012302,0.0,0.0,24.436460000000007,29.029769999999996,20.653214893468387,25.253969443928426
06073012304,1.8072289156626504,3.614457831325301,24.421210361445713,28.990250000000067,22.00504970703555,27.683443156241093
06037275200,0.0,0.0,23.424719999999986,24.95155999999998,18.938795730973673,19.00888069861886
06037702801,0.0,0.0,23.43150316176465,25.525160147058784,18.95028997110616,19.887252293682586
06037226420,0.0,1.6666666666666667,20.51378,23.703899999999983,14.006133864414835,18.24646339763493
06073012402,0.0,0.0,24.436459999999936,29.029770000000063,20.653214893468267,25.253969443928533
06081608023,11.206896551724139,11.206896551724139,25.118579999999966,23.270619999999955,30.352257544266315,24.155211378180223
06081608200,5.970149253731343,5.970149253731343,25.11857999999995,23.27061999999993,26.36021231411354,20.547627889838978
06081608300,8.695652173913043,8.695652173913043,24.94043391304344,23.14235043478256,28.136027985883917,22.228797608002647
