rank,cdcr_code,facility_name,city,facility_label,multi_hazard_score,hazard_count,hazards_above_median,heat_raw,heat_norm,heat_days_over_90f,drought_raw,drought_norm,drought_wsv,flood_raw,flood_norm,flood_500yr_floodplain_pct,flood_verywet_pct,wildfire_fhsz,wildfire_norm
16,SOL,"California State Prison, Solano",Vacaville,"California State Prison, Solano (SOL)
Vacaville, CA",0.419915980471895,2,"drought, flood",49.40801385680592,0.47956094576447533,90.2510757446289,48.14013821346104,0.5363697392695855,29.34950847546717,27.196745235548704,0.33039990352018583,4.794520547945205,28.14154999999993,Moderate,0.3333333333333333
17,CCI,California Correctional Institution,Tehachapi,"California Correctional Institution (CCI)
Tehachapi, CA",0.4138340735658236,1,drought,53.906305955193126,0.5326596903429447,38.2516634306241,48.88963065286697,0.5478466172885976,28.81644393577335,19.878707242399248,0.24149665329841888,0.0,25.51957999999996,Moderate,0.3333333333333333
18,CIM,California Institution For Men,Chino,"California Institution For Men (CIM)
Chino, CA",0.38976559613621853,1,heat,79.1610513765278,0.8307717842646595,111.66124011410945,44.87743411241992,0.486408385410619,29.467967381507528,19.91044459980216,0.2418822148695955,0.3968253968253968,25.361786031746092,,0.0
19,SAC,"California State Prison, Sacramento",Represa,"California State Prison, Sacramento (SAC)
Represa, CA",0.3859053188679251,0,,60.386324892717624,0.6091511370746101,104.09597410210633,39.917131023538005,0.4104519240838705,22.994771223888716,15.69615509274526,0.19068488097988676,0.0,22.788261567567513,Moderate,0.3333333333333333
20,FOL,Folsom State Prison,Represa,"Folsom State Prison (FOL)
Represa, CA",0.3859053188679251,0,,60.386324892717624,0.6091511370746101,104.09597410210633,39.917131023538005,0.4104519240838705,22.994771223888716,15.69615509274526,0.19068488097988676,0.0,22.788261567567513,Moderate,0.3333333333333333
21,CAL,Calipatria State Prison,Calipatria,"Calipatria State Prison (CAL)
Calipatria, CA",0.37441698445077387,1,heat,70.59374836105195,0.7296416165042771,205.0750280595582,33.10148975233672,0.30608491598846743,20.57224148799751,10.586325636079884,0.1286080719770178,0.0,19.45140624999998,Moderate,0.3333333333333333
22,CMF,California Medical Facility,Vacaville,"California Medical Facility (CMF)
Vacaville, CA",0.3365826471385617,2,"drought, flood",49.40801385680592,0.47956094576447533,90.2510757446289,48.14013821346104,0.5363697392695855,29.34950847546717,27.196745235548704,0.33039990352018583,4.794520547945205,28.14154999999993,,0.0
23,PVSP,Pleasant Valley State Prison,Coalinga,"Pleasant Valley State Prison (PVSP)
Coalinga, CA",0.32863947760226997,1,flood,49.82009796260984,0.484425269423398,112.55941330854844,40.15093171490045,0.41403208296800065,22.892304408557617,34.25116275218629,0.41610055801768137,17.529215358931552,27.01933318030048,,0.0
24,ASP,Avenal State Prison,Avenal,"Avenal State Prison (ASP)
Avenal, CA",0.2967588012555237,1,flood,58.799240029818776,0.5904168681751681,125.70750459778348,30.416198513755905,0.2649654084786359,13.82394873969998,27.299887510121547,0.3316529283682907,0.0,30.365809223301035,,0.0
25,CTF,Correctional Training Facility,Soledad,"Correctional Training Facility (CTF)
Soledad, CA",0.29282678091200975,0,,27.45645442457495,0.2204403235600997,39.671031902667856,37.51071300674736,0.3736027651205721,31.78653369661394,20.07906502631334,0.24393070163403394,0.0,25.650418992248067,Moderate,0.3333333333333333
26,SVSP,Salinas Valley State Prison,Soledad,"Salinas Valley State Prison (SVSP)
Soledad, CA",0.29282678091200975,0,,27.45645442457495,0.2204403235600997,39.671031902667856,37.51071300674736,0.3736027651205721,31.78653369661394,20.07906502631334,0.24393070163403394,0.0,25.650418992248067,Moderate,0.3333333333333333
27,CEN,Centinela State Prison,Imperial,"Centinela State Prison (CEN)
Imperial, CA",0.28066651192079395,1,heat,79.9678299193883,0.8402951604353841,198.3435615055492,18.680457674665547,0.0852575702251395,9.465807658273851,16.225309415901492,0.19711331702265214,12.240663900414935,17.62712236514525,,0.0
28,SQ,San Quentin State Prison,San Quentin,"San Quentin State Prison (SQ)
San Quentin, CA",0.2745545909867789,0,,35.84785936218469,0.31949415503458284,14.998387336730955,48.13891158477223,0.5363509560676532,33.56709641440267,19.95086420819944,0.2423732528448797,6.578947368421052,22.60703815789472,,0.0
29,CMC,California Men'S Colony,San Luis Obispo,"California Men'S Colony (CMC)
San Luis Obispo, CA",0.26783045879071765,1,flood,10.213355587262647,0.016899317134124067,8.417203903198242,35.749720357019285,0.3466369189416224,36.48865811074713,30.822899056802072,0.3744522657537909,0.0,32.66643,Moderate,0.3333333333333333
30,PBSP,Pelican Bay State Prison,Crescent City,"Pelican Bay State Prison (PBSP)
Crescent City, CA",0.17087383203360612,1,flood,8.7817197673191,0.0,1.2816500022282356,13.112749785812143,0.0,13.791131693299484,28.82345443298527,0.3501619948010911,11.81894383906119,26.043766689019307,Moderate,0.3333333333333333
