facilityid,name,latitude,longitude,baseline_summer_avg_tmax_f,n_summer_days,grid_elevation_m,source,retrieved
10000830,Usp Victorville,34.56511772035156,-117.3705686834497,93.73,2760,890.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000832,Fci Victorville Medium I,34.565479182329916,-117.3645614551476,93.74,2760,889.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002323,"California State Prison, Solano (Sol)",38.320776607604,-121.97523692020748,86.84,2760,42.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002316,Yolo County Juvenile Detention Facility,38.66101321635629,-121.73033404289303,92.86,2760,11.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002350,North County Correctional Facility,34.46449801148207,-118.58669462597126,89.05,2760,409.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002355,Central Juvenile Hall,34.062845125055134,-118.2075310308609,86.97,2760,102.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002354,Mira Loma Detention Center,34.701951456144066,-118.23257916788252,91.96,2760,718.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006242,James G Bowles Juvenile Hall,35.38551690633812,-118.97007208464194,93.33,2760,159.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000893,Long Beach City Jail,33.76887574058282,-118.19740279229644,79.21,2760,12.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006509,Imperial Regional Detention Facility,32.69157796738742,-115.39785934490034,106.86,2760,13.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006224,Camp Mendenhall,34.65294490631566,-118.47692576783348,90.13,2760,891.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006223,Camp Munz,34.65269994694997,-118.4790990449336,90.16,2760,889.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005249,Del Norte Juvenile Hall,41.76415323607952,-124.19060254740864,65.84,2760,7.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005329,Central Valley Juvenile Detention And Assessment Center,34.13232970328932,-117.26894018143396,89.45,2760,353.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000907,Monterey Park City Jail,34.059105896911724,-118.1260141111758,87.49,2760,119.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005366,Pacific Area Community Jail,33.99163063383789,-118.41985259215922,83.35,2760,12.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005364,77Th Street Regional Jail,33.970346036657936,-118.27739864086942,83.73,2760,44.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006325,Santa Ana City Jail,33.75017454253526,-117.88059472025569,81.32,2760,41.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006307,Cai - Ocean View,32.70025287997728,-117.11802856467416,75.8,2760,24.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000898,Glendora City Jail,34.134683472370746,-117.86472195529764,86.06,2760,237.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005322,San Benito County Jail,36.88402085050856,-121.41134831394592,82.11,2760,72.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005309,Maguire Correctional Facility,37.48776481473485,-122.23165188434776,74.72,2760,6.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000909,Pomona City Jail,34.054407799325865,-117.7537923831384,86.4,2760,261.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006306,Cai - Boston Avenue,32.69354083598739,-117.13502194396476,75.92,2760,14.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006221,Camp Kilpatrick,34.09201895807897,-118.837876371687,75.76,2760,531.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005266,Tehama County Jail,40.175627755533974,-122.23695248454342,93.02,2760,93.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005316,Sunnyvale Department Of Public Safety,37.37040656709717,-122.04014117760228,79.15,2760,40.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000804,Madera County Juvenile Hall,36.95303527822695,-120.0337697819451,95.18,2760,84.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10007007,Kern County - Lerdo Justice Facility,35.50642904042633,-119.1109999113409,95.76,2760,161.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10007001,Northern Branch Jail,34.91837859256055,-120.49241570493896,70.6,2760,57.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000826,Avenal State Prison,35.97394943680589,-120.123101823151,94.66,2760,234.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002345,California Men'S Colony (Cmc),35.324574100099134,-120.69890041992886,77.78,2760,136.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000852,California City Correctional Center (Cac),35.15325120165892,-117.85888005110138,94.19,2760,783.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000824,"California State Prison, Corcoran (Cor)",36.060818292814254,-119.54912102574772,98.11,2760,59.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000825,Ca Substance Abuse Treatment Facility (Satf),36.05395908338128,-119.54782062864966,98.12,2760,58.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000801,Central California Women'S Facility (Ccfw),37.0936807963828,-120.15270979438849,94.61,2760,86.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002346,Chuckawalla Valley State Prison (Cvsp),33.562579498036335,-114.90950576295587,105.54,2760,140.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000869,R J Donovan Correctional Facility (Rjd),32.58456492210108,-116.9335763874008,79.74,2760,180.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002309,Pelican Bay State Prison (Pbsp),41.85480855418667,-124.1490751163596,72.63,2760,29.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000822,Gabilan Conservation Camp #38,36.46407283647074,-121.38305815511475,86.92,2760,58.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000810,Pleasant Valley State Prison(Pvsp),36.131473239777144,-120.24889960644474,95.54,2760,176.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000802,Valley State Prison (Vsp),37.105477428630245,-120.15547185750694,94.58,2760,88.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005251,Devils Garden Conservation Camp #40,41.52359923931703,-120.67020461410344,80.4,2760,1528.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000858,Bautista Conservation Camp #36,33.64204515942113,-116.80923524430564,89.38,2760,855.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006530,Folsom Women'S Facility (Fwf),38.69320816978507,-121.14879148409725,90.34,2760,126.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005248,Deadwood Conservation Camp #23,41.67774197144028,-122.82407824218762,84.06,2760,934.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000904,Julius Klein Conservation Camp #19,34.2378303823899,-117.82290059711198,89.91,2760,457.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005252,Eel River Conservation Camp #31,40.13825346356871,-123.8224067420024,82.15,2760,144.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005290,Growlersburg Conservation Camp #33,38.90313303813308,-120.87004293218703,85.0,2760,785.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000905,Malibu Conservation Camp #13,34.08392941062969,-118.86552872385522,75.23,2760,402.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005305,Mount Bullion Conservation Camp #39,37.5359784933773,-120.048738197483,84.52,2760,935.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002310,High Desert State Prison (Hdsp),40.40786908373915,-120.51339082085426,84.95,2760,1268.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000878,Mccain Valley Conservation Camp #21,32.68422671566009,-116.2667738482972,90.83,2760,1073.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000855,Cuesta Conservation Camp #24,35.329429003849334,-120.73344205123828,78.39,2760,84.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006204,Holton Conservation Camp #16,34.300036648410114,-118.36033132151492,87.11,2760,448.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000789,Baseline Conservation Camp #30,37.92402926410429,-120.52961603771271,89.98,2760,236.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000774,Intermountain Conservation Camp #22,41.1231067161181,-121.22419725359636,82.53,2760,1317.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005328,Pilot Rock Conservation Fire Camp #15,34.271656892428354,-117.2814657468556,87.47,2760,1132.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000901,Fenner Canyon Conservation Camp #41,34.39010316279468,-117.77262913360008,83.06,2760,1680.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005264,Ishi Conservation Camp #18,40.31308214420257,-121.89495892375476,88.96,2760,610.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000793,O.H.Close Youth Correctional Facility,37.89852127379901,-121.19769467027837,89.58,2760,12.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005324,Mountain Home Conservation Camp #10,36.20791412059433,-118.71392800271092,79.69,2760,1371.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005256,Trinity River Conservation Camp #3,40.78981381613563,-122.80394970874065,86.37,2760,966.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000877,Rainbow Conservation Camp #2,33.427961075610796,-117.11832774136676,84.66,2760,468.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006497,Seal Beach Detention Center,33.75270984107934,-118.08776063978296,80.07,2760,7.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006316,Fontana City Jail,34.10164898633541,-117.43379001368056,88.77,2760,395.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006317,Garden Grove City Jail,33.77637797128475,-117.93573132365108,81.43,2760,31.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000884,Ventura County East County Jail,34.24764369046445,-118.83478790538416,82.33,2760,274.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000815,Santa Cruz County Juvenile Hall,37.04370218416292,-122.04884959847284,64.64,2760,236.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10001535,Riverside County Blythe Jail,33.613244388995795,-114.59791339322456,106.69,2760,83.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005370,Lapd Hollywood Area Jail,34.09577047236163,-118.33065860825457,86.33,2760,105.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005368,Lapd Metropolitan Detention Center,34.052080277150985,-118.240951738798,87.13,2760,88.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006228,Camp Scott,34.457183406305845,-118.48669688989436,89.47,2760,433.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006230,Transitional Facilities,37.49315980362607,-122.22085687599696,74.77,2760,2.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005369,Lapd Foothill Area Jail,34.253008666349736,-118.41049483281228,86.27,2760,291.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005371,Lapd Valley Jail Section,34.183695097941026,-118.44523606464249,87.12,2760,218.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005283,Washington Ridge Conservation Camp #44,39.3079091221786,-120.93491737585298,81.67,2760,1174.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005340,Cois M. Byrd Detention Center,33.581147847246136,-117.12241672177,88.46,2760,416.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005341,Indio Juvenile Hall,33.70339507605988,-116.22241251718144,104.9,2760,-5.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006222,Camp Miller,34.093640682980926,-118.83823161297744,75.69,2760,537.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006225,Camp Paige,34.152893963471456,-117.7445140430745,84.57,2760,588.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005300,Stanislaus County Men'S Jail,37.640028286509654,-120.99654693026912,92.8,2760,37.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005352,Santa Barbara County Medium Security Facility,34.44605863466011,-119.77662913612724,80.91,2760,56.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000799,California Health Care Facility (Chcf),37.89778736654379,-121.1905848230992,89.56,2760,13.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10001537,East Mesa Reentry Facility,32.588806952285296,-116.91889669723231,79.2,2760,227.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006712,Stanislaus County Public Safety Center Unit 1 And Unit 2,37.58469199864496,-120.98530101477655,92.94,2760,25.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006483,Arcadia Police Department Jail,34.13664247675464,-118.039708639047,87.2,2760,144.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006484,Azusa Police Department Jail,34.1348471024137,-117.90660066978482,86.63,2760,189.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006485,Beverly Hills Jail,34.073707405399574,-118.39985494688511,86.08,2760,83.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005273,Chamberlain Creek Conservation Camp #17,39.35761682929475,-123.55627164419816,77.32,2760,151.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002352,Burbank City Jail,34.18344638964236,-118.30845716063072,88.45,2760,205.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000780,Folsom State Prison (Fsp),38.69538346625723,-121.1630323451162,90.46,2760,84.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002344,Mcfarland Female Community Reentry Facility,35.667807046660805,-119.22698574189052,96.03,2760,109.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000895,Alhambra City Jail,34.091960461497386,-118.12667840621174,87.15,2760,148.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10002314,Placer County Jail,38.93578158697222,-121.10759015408996,88.32,2760,431.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000782,Mule Creek State Prison (Mcsp),38.37074337471898,-120.95344581511613,88.98,2760,100.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005351,Youth Leadership Academy,33.78427717878771,-117.88641503087702,81.31,2760,42.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005345,Youth Guidance Center,33.781933227245936,-117.8831662123326,81.31,2760,42.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005346,Theo Lacy Facility,33.781923625999724,-117.88736079825428,81.26,2760,46.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005348,Joplin Youth Center,33.67791718589825,-117.5720756599411,83.15,2760,546.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005350,Central Jail Complex,33.749055093408764,-117.87858088438688,77.15,2760,43.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005333,High Desert Juvenile Detention And Assesment Center,34.63575816436559,-117.2056536197532,92.75,2760,957.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10001536,Robert Presley Detention Center,33.97880875192602,-117.37430967453528,89.43,2760,265.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005347,Orange County Juvenile Hall,33.7849812586864,-117.88594679668442,81.31,2760,42.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006231,San Benito County Juvenile Hall,36.882705577003165,-121.41202368335358,82.13,2760,71.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000862,John J. Benoit Detention Center,33.71389710445651,-116.22170360532692,104.84,2760,0.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005269,Plumas County Correctional Facility,39.93342338185887,-120.9078241146987,85.63,2760,1067.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000779,Rio Cosumnes Correctional Center,38.30639934939619,-121.42332506830044,88.28,2760,7.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005330,Regional Youth Educational Facility,34.12908750028364,-117.2698025112236,89.51,2760,348.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10000860,Riverside County Juvenile Hall,33.92015344766866,-117.45258276134564,89.73,2760,237.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10006706,South Placer Jail,38.80841284215149,-121.30157845897398,91.41,2760,37.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10001538,George F Bailey Detention Facility,32.590543113063475,-116.92149827863445,79.3,2760,219.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
10005344,Southwest Juvenile Hall,33.58079488429191,-117.11979655719516,88.47,2760,415.0,"open-meteo archive (era5_seamless), 1991-2020 Jun-Aug",2026-07-16
