facilityid,name,cdcr_code,latitude,longitude,cell_lat,cell_lon,cell_dist_km,contained_cell_valid,mask_override,note,cell_key
10006230,Transitional Facilities,,37.49315980362607,-122.22085687599696,37.484375,-122.234375,1.539,True,False,,"37.484375,-122.234375"
10005369,Lapd Foothill Area Jail,,34.253008666349736,-118.41049483281228,34.265625,-118.421875,1.747,True,False,,"34.265625,-118.421875"
10005371,Lapd Valley Jail Section,,34.183695097941026,-118.44523606464249,34.171875,-118.453125,1.499,True,False,,"34.171875,-118.453125"
10005283,Washington Ridge Conservation Camp #44,,39.3079091221786,-120.93491737585298,39.296875,-120.921875,1.66,True,False,,"39.296875,-120.921875"
10005340,Cois M. Byrd Detention Center,,33.581147847246136,-117.12241672177,33.578125,-117.109375,1.252,True,False,,"33.578125,-117.109375"
10005341,Indio Juvenile Hall,,33.70339507605988,-116.22241251718144,33.703125,-116.234375,1.105,True,False,,"33.703125,-116.234375"
10006222,Camp Miller,,34.093640682980926,-118.83823161297744,34.078125,-118.828125,1.957,True,False,,"34.078125,-118.828125"
10006225,Camp Paige,,34.152893963471456,-117.7445140430745,34.140625,-117.734375,1.65,True,False,,"34.140625,-117.734375"
10005300,Stanislaus County Men's Jail,,37.640028286509654,-120.99654693026912,37.640625,-120.984375,1.072,True,False,,"37.640625,-120.984375"
10005352,Santa Barbara County Medium Security Facility,,34.44605863466011,-119.77662913612724,34.453125,-119.765625,1.277,True,False,,"34.453125,-119.765625"
10000799,California Health Care Facility (CHCF),CHCF,37.89778736654379,-121.1905848230992,37.890625,-121.203125,1.356,True,False,,"37.890625,-121.203125"
10001537,East Mesa Reentry Facility,,32.588806952285296,-116.91889669723231,32.578125,-116.921875,1.218,True,False,,"32.578125,-116.921875"
10006712,Stanislaus County Public Safety Center Unit 1 And Unit 2,,37.58469199864496,-120.98530101477655,37.578125,-120.984375,0.733,True,False,,"37.578125,-120.984375"
10006483,Arcadia Police Department Jail,,34.13664247675464,-118.039708639047,34.140625,-118.046875,0.793,True,False,,"34.140625,-118.046875"
10006484,Azusa Police Department Jail,,34.1348471024137,-117.90660066978482,34.140625,-117.921875,1.543,True,False,,"34.140625,-117.921875"
10006485,Beverly Hills Jail,,34.073707405399574,-118.39985494688511,34.078125,-118.390625,0.98,True,False,,"34.078125,-118.390625"
10005273,Chamberlain Creek Conservation Camp #17,,39.35761682929475,-123.55627164419816,39.359375,-123.546875,0.83,True,False,,"39.359375,-123.546875"
10002352,Burbank City Jail,,34.18344638964236,-118.30845716063072,34.171875,-118.296875,1.668,True,False,,"34.171875,-118.296875"
10000780,Folsom State Prison (FOL),FOL,38.69538346625723,-121.1630323451162,38.703125,-121.171875,1.151,True,False,,"38.703125,-121.171875"
10002344,McFarland Female Community Reentry Facility,,35.667807046660805,-119.22698574189052,35.671875,-119.234375,0.805,True,False,,"35.671875,-119.234375"
10000895,Alhambra City Jail,,34.091960461497386,-118.12667840621174,34.078125,-118.140625,2.001,True,False,,"34.078125,-118.140625"
10002314,Placer County Jail,,38.93578158697222,-121.10759015408996,38.921875,-121.109375,1.551,True,False,,"38.921875,-121.109375"
10000782,Mule Creek State Prison (MCSP),MCSP,38.37074337471898,-120.95344581511613,38.359375,-120.953125,1.262,True,False,,"38.359375,-120.953125"
10005351,Youth Leadership Academy,,33.78427717878771,-117.88641503087702,33.796875,-117.890625,1.451,True,False,,"33.796875,-117.890625"
10005345,Youth Guidance Center,,33.781933227245936,-117.8831662123326,33.796875,-117.890625,1.796,True,False,,"33.796875,-117.890625"
10005346,Theo Lacy Facility,,33.781923625999724,-117.88736079825428,33.796875,-117.890625,1.687,True,False,,"33.796875,-117.890625"
10005348,Joplin Youth Center,,33.67791718589825,-117.5720756599411,33.671875,-117.578125,0.873,True,False,,"33.671875,-117.578125"
10005350,Central Jail Complex,,33.749055093408764,-117.87858088438688,33.734375,-117.890625,1.973,True,False,,"33.734375,-117.890625"
10005333,High Desert Juvenile Detention And Assesment Center,,34.63575816436559,-117.2056536197532,34.640625,-117.203125,0.588,True,False,,"34.640625,-117.203125"
10001536,Robert Presley Detention Center,,33.97880875192602,-117.37430967453528,33.984375,-117.359375,1.507,True,False,,"33.984375,-117.359375"
10005347,Orange County Juvenile Hall,,33.7849812586864,-117.88594679668442,33.796875,-117.890625,1.389,True,False,,"33.796875,-117.890625"
10006231,San Benito County Juvenile Hall,,36.882705577003165,-121.41202368335358,36.890625,-121.421875,1.24,True,False,,"36.890625,-121.421875"
10000862,John J. Benoit Detention Center,,33.71389710445651,-116.22170360532692,33.703125,-116.234375,1.673,True,False,,"33.703125,-116.234375"
10005269,Plumas County Correctional Facility,,39.93342338185887,-120.9078241146987,39.921875,-120.921875,1.753,True,False,,"39.921875,-120.921875"
10000779,Rio Cosumnes Correctional Center,,38.30639934939619,-121.42332506830044,38.296875,-121.421875,1.065,True,False,,"38.296875,-121.421875"
10005330,Regional Youth Educational Facility,,34.12908750028364,-117.2698025112236,34.140625,-117.265625,1.337,True,False,,"34.140625,-117.265625"
10000860,Riverside County Juvenile Hall,,33.92015344766866,-117.45258276134564,33.921875,-117.453125,0.198,True,False,,"33.921875,-117.453125"
10006706,South Placer Jail,,38.80841284215149,-121.30157845897398,38.796875,-121.296875,1.344,True,False,,"38.796875,-121.296875"
10001538,George F Bailey Detention Facility,,32.590543113063475,-116.92149827863445,32.578125,-116.921875,1.379,True,False,,"32.578125,-116.921875"
10005344,Southwest Juvenile Hall,,33.58079488429191,-117.11979655719516,33.578125,-117.109375,1.008,True,False,,"33.578125,-117.109375"
10005354,East Mesa Juvenile Detention Facility,,32.590858306967554,-116.91812114373408,32.578125,-116.921875,1.456,True,False,,"32.578125,-116.921875"
10000876,Las Colinas Detention And Reentry Facility,,32.842112726419444,-116.97338191264392,32.828125,-116.984375,1.861,True,False,,"32.828125,-116.984375"
10005360,Facility 8 Detention Facility,,32.59134370566924,-116.92328667495188,32.578125,-116.921875,1.473,True,False,,"32.578125,-116.921875"
10005307,San Francisco General Hospital Ward 7D / 7L,,37.75575802266862,-122.40447005119576,37.765625,-122.390625,1.636,True,False,,"37.765625,-122.390625"
10005356,Girls Rehabilitation Facility,,32.79469992229926,-117.15229112960223,32.796875,-117.140625,1.115,True,False,,"32.796875,-117.140625"
10001525,San Francisco County Jail #2,,37.77525144567049,-122.40490521229466,37.765625,-122.390625,1.647,True,False,,"37.765625,-122.390625"
10000872,San Diego Central Jail,,32.71725211349196,-117.16427157272356,32.703125,-117.171875,1.721,True,False,,"32.703125,-117.171875"
10005358,Vista Detention Facility,,33.19185669461099,-117.25692822932726,33.203125,-117.265625,1.489,True,False,,"33.203125,-117.265625"
10000875,Kearny Mesa Juvenile Detention Facility,,32.794226714904966,-117.1533898985926,32.796875,-117.140625,1.227,True,False,,"32.796875,-117.140625"
10000798,San Joaquin County Jail,,37.88571630267671,-121.29514967185196,37.890625,-121.296875,0.565,True,False,,"37.890625,-121.296875"
10000795,San Joaquin County Jail (Honor Farm),,37.88450335521423,-121.30063185290682,37.890625,-121.296875,0.755,True,False,,"37.890625,-121.296875"
10001534,San Luis Obispo Juvenile Hall / Service Center,,35.32137388763984,-120.71913149908312,35.328125,-120.734375,1.571,True,False,,"35.328125,-120.734375"
10005339,San Luis Obispo County Honor Farm Jail,,35.32008468936467,-120.71574744929144,35.328125,-120.703125,1.45,True,False,,"35.328125,-120.703125"
10006709,Maple Street Correctional Center,,37.49271532620894,-122.21912359465084,37.484375,-122.234375,1.631,True,False,,"37.484375,-122.234375"
10002333,Elmwood Correctional Complex,,37.41857358803495,-121.90826096495222,37.421875,-121.921875,1.255,True,False,,"37.421875,-121.921875"
10006710,Los Prietos Boys Camp,,34.54403216104945,-119.77705581302736,34.546875,-119.765625,1.092,True,False,,"34.546875,-119.765625"
10005353,Santa Barbara County Santa Maria Station Jail,,34.8820997891649,-120.44654682784352,34.890625,-120.453125,1.12,True,False,,"34.890625,-120.453125"
10005260,Shasta County Jail,,40.581341110839354,-122.3961983707309,40.578125,-122.390625,0.59,True,False,,"40.578125,-122.390625"
10005321,Santa Cruz Rountree Medium Security Facility,,36.91382082681037,-121.8097597235208,36.921875,-121.796875,1.452,True,False,,"36.921875,-121.796875"
10006232,Santa Clara County Main Jail Complex (South),,37.35101112246267,-121.9059750533212,37.359375,-121.890625,1.642,True,False,,"37.359375,-121.890625"
10005317,William F. James Ranch,,37.167688466801366,-121.64668361685963,37.171875,-121.640625,0.709,True,False,,"37.171875,-121.640625"
10005246,Charlie's Place Juvenile Day Reporting Center,,41.70814455541497,-122.63516451171624,41.703125,-122.640625,0.718,True,False,,"41.703125,-122.640625"
10002328,Stanislaus County Public Safety Center,,37.58464851762791,-120.98997965152364,37.578125,-120.984375,0.876,True,False,,"37.578125,-120.984375"
10000787,Solano County Claybank Detention Facility,,38.27466985440152,-121.9999655085075,38.265625,-121.984375,1.689,True,False,,"38.265625,-121.984375"
