facility,year,month,gridmet_days_over_90f,gridmet_days_over_95f,gridmet_days_over_avg_plus10_base1991_2020,dental_mh_overtime,modified_programs_days,deaths_unexpected,uof_incidents,violent_incidents,inmate_on_inmate,staff_involved,ed_hospital_rate,ed_hospital_cost,total_labor_cost,specialty_care_referrals,prescriptions_per_patient,actual_expenditure_monthly,institution_budget,vacancy_all,vacancy_medical,vacancy_dental,vacancy_mh,crowding_pct,ac_type,security_level,post_ac
RJD,2024,7,0,0,0,1274.0,0.0,,68.0,50.0,38.0,12.0,46.9,472.0,2241.0,229.0,8.2,30642488.81,322781152.0,25.0,22.0,9.0,33.0,103.5,mixed_ventilation_only,MAXIMUM,0
RJD,2024,8,0,0,0,893.0,0.0,,50.0,41.0,21.0,20.0,49.3,498.0,2242.0,243.0,8.0,24941391.470000003,322811301.0,26.0,23.0,9.0,36.0,98.0,mixed_ventilation_only,MAXIMUM,0
RJD,2024,9,5,2,5,318.75,0.0,,36.0,22.0,8.0,14.0,42.6,516.0,2591.0,196.0,8.3,25908980.480000004,323021577.0,26.0,23.0,9.0,36.0,102.3,mixed_ventilation_only,MAXIMUM,0
RJD,2024,10,0,0,0,88.25,0.0,,31.0,23.0,7.0,16.0,57.8,530.0,2603.0,212.0,8.2,26400496.689999998,324890054.0,25.0,22.0,12.0,36.0,101.4,mixed_ventilation_only,MAXIMUM,0
RJD,2024,11,0,0,0,171.0,0.0,,34.0,39.0,18.0,21.0,51.7,769.0,2999.0,163.0,8.2,28040518.059999987,326119415.0,24.0,21.0,9.0,35.0,105.9,mixed_ventilation_only,MAXIMUM,0
RJD,2024,12,0,0,0,127.25,3.0,1.0,43.0,40.0,16.0,24.0,49.7,636.0,3049.0,231.0,8.0,26431803.129999995,316203678.0,24.0,19.0,15.0,35.0,112.8,mixed_ventilation_only,MAXIMUM,0
RJD,2025,1,0,0,0,106.0,8.72,,45.0,43.0,23.0,20.0,42.5,761.0,3092.0,187.0,8.0,26352357.940000027,316296157.0,20.0,15.0,18.0,31.0,109.4,mixed_ventilation_only,MAXIMUM,0
RJD,2025,2,1,0,1,153.0,0.0,,40.0,50.0,26.0,24.0,42.1,849.0,3088.0,235.0,7.9,27563711.399999976,317467126.0,19.0,15.0,15.0,30.0,112.5,mixed_ventilation_only,MAXIMUM,0
RJD,2025,3,0,0,0,128.5,1.32,,32.0,24.0,11.0,13.0,32.2,821.0,3070.0,194.0,7.9,30173337.21000001,315282934.0,20.0,16.0,18.0,31.0,114.7,mixed_ventilation_only,MAXIMUM,0
RJD,2025,4,0,0,0,104.3,0.0,,48.0,44.0,27.0,17.0,37.4,785.0,3532.0,179.0,7.8,26410278.850000024,325625667.0,21.0,17.0,18.0,30.0,116.0,mixed_ventilation_only,MAXIMUM,0
RJD,2025,5,0,0,0,116.8,0.0,,39.0,38.0,19.0,19.0,35.6,727.0,3006.0,179.0,7.8,25774207.95999998,325710738.0,21.0,16.0,21.0,32.0,118.8,mixed_ventilation_only,MAXIMUM,0
RJD,2025,6,0,0,0,131.5,8.14,,44.0,36.0,23.0,13.0,29.4,707.0,3423.0,170.0,7.9,25198089.129999995,326182365.0,20.0,16.0,21.0,30.0,119.8,mixed_ventilation_only,MAXIMUM,0
RJD,2025,7,0,0,0,,,,,50.0,34.0,16.0,30.7,730.0,3828.0,148.0,7.8,,,24.0,19.0,15.0,36.0,122.1,mixed_ventilation_only,MAXIMUM,0
RJD,2025,8,0,0,1,,,,,30.0,16.0,14.0,33.2,706.0,4165.0,186.0,7.8,,,24.0,19.0,15.0,36.0,124.1,mixed_ventilation_only,MAXIMUM,0
RJD,2025,9,0,0,0,,,,,42.0,30.0,12.0,27.8,714.0,4470.0,158.0,8.0,,,24.0,20.0,15.0,34.0,124.7,mixed_ventilation_only,MAXIMUM,0
RJD,2025,10,1,0,1,,,,,47.0,28.0,19.0,31.7,708.0,4736.0,207.0,8.0,,,24.0,21.0,18.0,31.0,126.6,mixed_ventilation_only,MAXIMUM,0
RJD,2025,11,0,0,0,,,,,26.0,21.0,5.0,23.6,349.0,2523.0,144.0,7.8,,,22.0,21.0,15.0,26.0,125.6,mixed_ventilation_only,MAXIMUM,0
RJD,2025,12,0,0,0,,,,,39.0,22.0,17.0,30.9,335.0,2514.0,175.0,7.8,,,23.0,21.0,15.0,27.0,126.1,mixed_ventilation_only,MAXIMUM,0
SAC,2016,1,0,0,0,,,,,,,,,,,,,,,,,,,122.8,mixed_evaporative,MAXIMUM,0
SAC,2016,2,0,0,0,,,,,,,,,,,,,,,,,,,125.4,mixed_evaporative,MAXIMUM,0
SAC,2016,3,0,0,0,,,,,,,,,,,,,,,,,,,131.6,mixed_evaporative,MAXIMUM,0
SAC,2016,4,0,0,0,,,,,,,,,,,,,,,,,,,130.8,mixed_evaporative,MAXIMUM,0
SAC,2016,5,5,1,0,,,,,,,,,,,,,,,,,,,130.4,mixed_evaporative,MAXIMUM,0
SAC,2016,6,17,13,2,,,,,,,,,,,,,,,,,,,130.4,mixed_evaporative,MAXIMUM,0
SAC,2016,7,22,13,6,,,,,,,,,,,,,,,,,,,128.1,mixed_evaporative,MAXIMUM,0
SAC,2016,8,20,9,0,,,,,,,,,,,,,,,,,,,126.4,mixed_evaporative,MAXIMUM,0
SAC,2016,9,13,4,0,,,,,,,,,,,,,,,,,,,125.9,mixed_evaporative,MAXIMUM,0
SAC,2016,10,0,0,0,,,,,,,,,,,,,,,,,,,125.7,mixed_evaporative,MAXIMUM,0
SAC,2016,11,0,0,0,,,,,,,,,,,,,,,,,,,124.0,mixed_evaporative,MAXIMUM,0
SAC,2016,12,0,0,0,,,,,,,,,,,,,,,,,,,122.2,mixed_evaporative,MAXIMUM,0
SAC,2017,1,0,0,0,,,,,,,,17.3,215.0,2380.0,68.0,3.7,,,15.0,14.0,0.0,19.0,121.3,mixed_evaporative,MAXIMUM,0
SAC,2017,2,0,0,0,,,,,,,,12.4,205.0,2389.0,55.0,3.7,,,17.0,15.0,4.0,21.0,120.9,mixed_evaporative,MAXIMUM,0
SAC,2017,3,0,0,0,,,,,,,,23.2,224.0,2391.0,48.0,3.6,,,17.0,14.0,0.0,23.0,124.0,mixed_evaporative,MAXIMUM,0
SAC,2017,4,0,0,0,,,,,,,,24.8,238.0,2394.0,18.0,3.6,,,15.0,14.0,0.0,19.0,125.3,mixed_evaporative,MAXIMUM,0
SAC,2017,5,4,2,0,,,,,,,,24.9,250.0,2405.0,56.0,3.3,,,16.0,15.0,0.0,19.0,127.0,mixed_evaporative,MAXIMUM,0
SAC,2017,6,16,9,5,,,,,,,,23.5,258.0,2394.0,37.0,3.4,,,15.0,15.0,0.0,17.0,125.8,mixed_evaporative,MAXIMUM,0
SAC,2017,7,31,23,7,,,,,,,,22.2,249.0,2404.0,3.0,3.4,,,19.0,20.0,0.0,20.0,126.2,mixed_evaporative,MAXIMUM,0
SAC,2017,8,27,15,6,,,,,,,,21.6,243.0,2441.0,0.0,3.4,,,19.0,20.0,0.0,21.0,120.2,mixed_evaporative,MAXIMUM,0
SAC,2017,9,11,6,3,,,,,,,,23.1,271.0,2449.0,42.0,3.3,,,20.0,20.0,0.0,24.0,118.5,mixed_evaporative,MAXIMUM,0
SAC,2017,10,0,0,0,,,,,,,,18.9,266.0,2449.0,10.0,3.3,,,21.0,21.0,0.0,23.0,118.8,mixed_evaporative,MAXIMUM,0
