facilityid,name,cdcr_code,tract_geoid,loca2_days_over_avg_plus10_historic,loca2_days_over_avg_plus10_midcentury,loca2_nights_over_p95_historic,loca2_nights_over_p95_midcentury,loca2_days_over_90_historic,loca2_days_over_90_midcentury,loca2_avg_summer_tmax_f,loca2_p95_tmin_f,AQI_norm,heat_hazard_historic_idx,heat_hazard_midcentury_idx
10005303,FCI Dublin,,6001450102,17.514,35.493,13.864,50.159,46.947,74.754,86.165,62.396,25.602870104574666,31.8293908410606,83.2222337233542
10005261,Herlong FCI Camp,,6035040600,7.12,31.829,15.147,48.65,49.135,84.021,87.866,55.946,23.751426275964704,20.900383222190612,77.34286285378056
10006194,USP Atwater Camp,,6047000503,5.606,21.542,14.38,53.247,97.648,127.681,94.111,61.021,47.90599704410934,19.78051367122958,74.19817632432407
10000830,USP Victorville,,6071980200,4.004,20.676,14.233,44.579,102.546,134.181,94.971,67.174,44.412366422434175,17.536281638828704,64.73461123991774
10000832,FCI Victorville Medium I,,6071980200,4.004,20.676,14.233,44.579,102.546,134.181,94.971,67.174,44.412366422434175,17.536281638828704,64.73461123991774
10002323,"California State Prison, Solano (SOL)",SOL,6095253000,14.456,31.62,14.39,41.335,56.557,91.712,88.299,62.14,40.62387437615521,29.97594960745732,74.28203594261488
10002316,Yolo County Juvenile Detention Facility,,6113011208,9.104,27.658,14.731,45.001,89.959,122.958,93.114,62.744,30.96927886288644,23.271830885560124,70.91362045551143
10002350,North County Correctional Facility,,6037920200,11.927,34.04,14.878,48.362,104.427,143.357,94.404,68.938,44.530683409181314,27.674512194724947,84.25321439934366
10002355,Central Juvenile Hall,,6037203300,11.486,32.106,13.944,45.583,36.489,72.502,84.846,69.462,89.42570214489557,29.43414894876068,88.87666297881482
10002354,Mira Loma Detention Center,,6037901003,7.021,27.765,15.148,50.155,91.275,127.294,93.332,70.297,34.084143030236156,21.389920076854636,76.12146481954301
10006242,James G Bowles Juvenile Hall,,6029001201,4.958,20.467,14.154,43.972,129.539,153.375,100.256,76.034,89.41126405171799,20.833730613118277,71.55754167582909
10000893,Long Beach City Jail,,6037576001,15.978,30.894,12.936,39.707,8.887,18.945,77.314,69.218,74.54067112367044,33.27452753297853,78.5044245772323
10006509,Imperial Regional Detention Facility,,6025011903,2.659,16.257,14.245,36.404,177.443,205.635,105.628,80.377,70.1271715307926,17.009272699387086,55.65406232617182
10006224,Camp Mendenhall,,6037920102,8.802,28.852,14.738,43.996,37.555,68.801,85.626,66.706,29.525920136022656,22.83582723763239,71.15369548489485
10006223,Camp Munz,,6037920102,8.802,28.852,14.738,43.996,37.555,68.801,85.626,66.706,29.525920136022656,22.83582723763239,71.15369548489485
10005249,Del Norte Juvenile Hall,,6015000102,8.817,17.843,11.681,27.936,0.264,0.521,66.264,56.425,16.01772803964692,19.47811640667468,42.96629891800272
10005329,Central Valley Juvenile Detention And Assessment Center,,6071006301,8.95,33.078,15.048,51.896,109.961,148.075,94.87,69.405,75.17008676034534,26.200670577014034,93.24283314927663
10000907,Monterey Park City Jail,,6037482201,11.227,30.909,13.956,45.549,49.856,88.789,86.575,69.247,65.48677517051402,27.449009399136333,82.28804507745609
10005366,Pacific Area Community Jail,,6037275500,14.213,24.898,12.293,29.763,2.942,6.011,74.019,68.017,56.35316560943965,29.00298299993045,58.38587729045256
10005364,77th Street Regional Jail,,6037239602,12.267,29.802,13.537,42.396,17.893,40.04,81.532,69.31,69.38294814850963,28.655267555095755,78.6675499947792
10006325,Santa Ana City Jail,,6059075100,14.122,30.379,13.192,37.434,24.629,47.923,82.532,69.495,57.31795467929622,29.791423641589187,72.44849143555814
10006307,Cai - Ocean View,,6073003502,15.707,31.363,12.41,31.187,9.856,20.662,77.946,69.775,47.854054981746245,30.29374156944136,66.26211802286225
10000898,Glendora City Jail,,6037401102,9.155,30.506,14.322,43.476,81.014,120.244,90.659,69.909,75.96030615486963,25.816830287645292,81.91700920458885
10005322,San Benito County Jail,,6069000100,19.151,35.014,13.664,52.801,23.494,41.649,81.121,58.173,11.659098930068499,32.232573457561635,81.61617525924103
10005309,Maguire Correctional Facility,,6081610202,12.598,26.09,13.42,46.438,16.92,34.348,81.472,60.411,31.587461535863593,26.25058537975482,70.44692029630434
10000909,Pomona City Jail,,6037408800,10.763,34.476,14.596,48.83,75.085,115.852,89.677,67.538,89.72979436070945,29.13091884943591,95.38816391481872
10006306,Cai - Boston Avenue,,6073005000,14.968,28.417,12.185,28.194,6.202,12.768,76.317,70.042,64.69747245554834,30.481689901641783,62.63107031790928
10006221,Camp Kilpatrick,,6037800406,14.514,38.816,13.767,41.051,18.365,45.367,80.982,69.646,24.456657328598137,28.219376832542288,79.04908043464958
10005266,Tehama County Jail,,6103000500,10.488,30.441,15.384,46.763,104.49,132.87,95.876,67.548,40.84955600515873,26.13363855764473,77.71939986743233
10005316,Sunnyvale Department Of Public Safety,,6085508601,12.518,23.592,12.782,36.295,14.235,26.315,80.551,62.819,34.34987941679637,25.800928681483303,59.23318866624412
10000804,Madera County Juvenile Hall,,6039000517,5.503,24.379,14.819,48.685,103.62,133.14,95.446,66.071,52.75448097603794,20.305760132187647,74.47502562339817
10007007,Kern County - Lerdo Justice Facility,,6029003900,4.853,21.654,13.896,43.626,95.849,127.143,93.686,68.771,60.68312693235608,19.045601883027455,67.86547235368666
10007001,Northern Branch Jail,,6083002503,22.985,40.303,12.113,29.89,3.118,5.84,70.67,58.839,18.951452604758344,35.933882611133576,70.2113419131919
10000826,Avenal State Prison,ASP,6031981800,6.304,20.167,13.98,40.767,97.28,126.556,94.832,71.626,34.12999199345762,19.53707097829364,59.06449077544333
10002345,California Men's Colony (CMC),CMC,6079011400,24.081,44.344,12.123,29.522,3.928,8.8,71.066,59.898,21.635279342708017,37.45791442321235,75.01635631766231
10000852,California City Correctional Center (CAC),CAC,6029006500,3.363,19.467,14.206,38.89,115.884,144.557,97.583,65.075,27.979061453150532,16.011029537119796,55.665460189052986
10000824,"California State Prison, Corcoran (COR)",COR,6031980100,4.576,19.448,14.505,51.848,117.128,144.131,97.375,68.74,61.689244197361795,19.313574416414667,72.93400842470407
10000825,Ca Substance Abuse Treatment Facility (SATF),SATF,6031980100,4.576,19.448,14.505,51.848,117.128,144.131,97.375,68.74,61.689244197361795,19.313574416414667,72.93400842470407
10000801,Central California Women's Facility (CCWF),CCWF,6039000201,5.679,23.697,14.372,50.051,102.367,132.338,94.89,61.908,54.67109503384696,20.21459723612163,75.25281721544467
10002346,Chuckawalla Valley State Prison (CVSP),CVSP,6065981000,2.102,15.897,14.443,41.678,172.941,199.681,106.524,83.875,65.61582130994081,16.29645401317537,59.546612468634194
10000869,R J Donovan Correctional Facility (RJD),RJD,6073010016,13.601,31.518,13.251,33.669,19.185,41.537,81.449,67.216,71.2991253984341,30.241124778515164,72.91163373291793
10002309,Pelican Bay State Prison (PBSP),PBSP,6015000201,13.351,23.191,12.271,38.142,1.358,1.694,69.369,55.664,21.345065727058465,25.403071467384112,58.23255289879694
10000822,Gabilan Conservation Camp #38,,6053010900,20.358,35.178,12.757,41.534,29.588,48.865,82.12,55.203,12.204984562477916,32.874116999464825,72.72398939611762
10000810,Pleasant Valley State Prison (PVSP),PVSP,6019007903,5.491,22.3,14.198,45.639,107.325,136.008,96.05,68.366,17.850388774590186,17.941092156992312,62.88309601190413
10000802,Valley State Prison (VSP),VSP,6039000201,5.693,23.6,14.415,49.51,103.01,132.857,94.972,61.85,54.67109503384696,20.27137313169066,74.63651638910125
10005251,Devils Garden Conservation Camp #40,,6049000300,11.134,39.449,15.938,54.141,17.911,51.127,81.845,51.534,18.71228306892838,25.774484632889926,89.38376413463604
10000858,Bautista Conservation Camp #36,,6065044407,7.154,28.203,14.147,44.996,46.563,87.997,86.853,67.183,26.32384661607423,20.239869578841034,70.63080935075283
10006530,Folsom Women's Facility (FWF),FWF,6067988300,7.714,24.935,14.737,42.76,61.856,93.602,89.631,65.374,42.258666363697984,22.331803784394065,67.85694310315495
10005248,Deadwood Conservation Camp #23,,6093000701,11.848,40.497,14.945,50.245,27.163,62.649,83.578,54.869,12.990105858087059,25.332011717416346,85.9002349264425
10000904,Julius Klein Conservation Camp #19,,6037930400,7.83,28.464,14.224,44.02,40.982,77.635,86.332,67.459,31.809296314286286,21.4029571998886,71.16991419730446
10005252,Eel River Conservation Camp #31,,6023011501,16.636,41.549,14.027,53.712,23.132,50.181,81.835,53.487,5.426474364696467,29.221286171338633,87.93788074498279
10005290,Growlersburg Conservation Camp #33,,6017030606,9.279,31.862,14.858,47.573,57.785,92.236,88.687,68.393,23.7521310812466,23.11746450222238,76.47160562977979
10000905,Malibu Conservation Camp #13,,6037800406,14.695,38.499,13.799,42.223,15.353,39.592,80.181,69.263,24.456657328598137,28.453161647932596,79.678191064869
10005305,Mount Bullion Conservation Camp #39,,6043000101,7.764,31.711,14.966,48.793,45.003,81.861,86.924,67.289,24.81537552132477,21.545689705576706,77.55946112525342
10002310,High Desert State Prison (HDSP),HDSP,6035040400,7.878,34.276,16.288,49.815,55.439,87.932,88.903,60.426,23.94519366034654,22.73977277625332,81.1594189158869
10000878,McCain Valley Conservation Camp #21,,6073021102,5.154,19.468,14.602,40.628,44.294,82.068,87.42,65.971,24.44041893836644,18.23453295123677,56.5911824733161
10000855,Cuesta Conservation Camp #24,,6079011505,23.021,40.713,12.065,29.318,3.574,7.528,70.728,58.132,6.192622882341113,34.632947549221306,67.65378726709869
10006204,Holton Conservation Camp #16,,6037930400,11.256,36.513,13.969,42.471,35.7,74.554,84.589,68.787,31.809296314286286,25.176160673727043,79.21478511606297
10000789,Baseline Conservation Camp #30,,6109005201,7.23,28.545,14.234,43.963,82.768,115.975,91.905,64.024,26.260337900605414,20.39748055387917,70.13289684847763
10000774,Intermountain Conservation Camp #22,,6035040100,9.428,33.196,15.22,49.924,16.497,46.094,82.013,53.347,21.332705945555812,23.432991954426345,79.43463044966282
10005328,Pilot Rock Conservation Fire Camp #15,,6071010805,6.255,27.741,14.912,48.344,12.662,40.778,81.842,66.548,40.321382334931016,20.630947666390462,75.78559492011003
10000901,Fenner Canyon Conservation Camp #41,,6037930400,3.047,13.891,13.839,40.698,0.635,4.848,77.025,59.735,31.809296314286286,15.495686348864771,51.316718226366994
10005264,Ishi Conservation Camp #18,,6103000100,9.527,33.582,14.633,47.995,64.314,99.638,89.45,66.022,23.158015809484304,23.171625953813177,78.65726682208444
10000793,O.H.Close Youth Correctional Facility,,6077005131,8.81,25.529,14.806,51.188,81.508,116.528,91.984,63.196,48.033732767090356,24.071615842618638,77.22066510794559
10005324,Mountain Home Conservation Camp #10,,6107002701,4.735,27.894,15.212,55.692,7.916,36.756,81.182,63.506,31.22351951013792,18.618282712187845,80.4501239255137
