cdcr_code,name,latitude,longitude,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,gender_female_pct,rhu_pct_2025,dist_nearest_medical_mi,in_urban_area_2020,california_model_facility,year_opened,hazard_score,risk_score,risk_category,time_period
CHCF,California Health Care Facility,37.89778736654379,-121.1905848230992,2251.0,0.09,0.6,48.03373276709035,0.0,0,0.3422,92.1,63.3,20.8,55.8,0.7001332741003998,0.0,1.35,0.3,True,,2013.0,0.66,16.19,Lowest,midcentury
CIM,California Institution For Men,33.98471244959707,-117.68239170046569,2274.0,0.52,0.4416666666666667,94.40464835864267,0.994,161,1.0,79.80000000000001,56.6,7.4,27.0,0.7568528290823805,0.0,3.1917,0.52,True,,1941.0,0.77,80.34,Highest,current
CIM,California Institution For Men,33.98471244959707,-117.68239170046569,2274.0,0.52,0.4416666666666667,94.40464835864267,0.994,161,1.0,79.80000000000001,56.6,7.4,27.0,0.7568528290823805,0.0,3.1917,0.52,True,,1941.0,0.79,82.43,Highest,midcentury
CIW,California Institution For Women,33.94974539755923,-117.6363650322742,1187.0,0.54,0.4083333333333334,75.58603784147648,0.915,150,0.6051,76.4,22.0,5.8,17.2,0.6763549564729008,1.0,1.3917,1.34,True,,1952.0,0.68,68.12,High,current
CIW,California Institution For Women,33.94974539755923,-117.6363650322742,1187.0,0.54,0.4083333333333334,75.58603784147648,0.915,150,0.6051,76.4,22.0,5.8,17.2,0.6763549564729008,1.0,1.3917,1.34,True,,1952.0,0.72,72.13,High,midcentury
CMC,California Men'S Colony,35.324574100099134,-120.69890041992886,2172.0,0.33,0.4166666666666667,21.635279342708017,0.702,33,0.0698,71.80000000000001,29.5,29.8,11.2,0.8050184162062615,0.0,6.4667,0.24,False,,1961.0,0.12,7.5,Lowest,current
CMC,California Men'S Colony,35.324574100099134,-120.69890041992886,2172.0,0.33,0.4166666666666667,21.635279342708017,0.702,33,0.0698,71.80000000000001,29.5,29.8,11.2,0.8050184162062615,0.0,6.4667,0.24,False,,1961.0,0.1,6.25,Lowest,midcentury
CMF,California Medical Facility,38.3285102029971,-121.97916451130509,2045.0,0.49,0.5504074979625102,40.62387437615521,0.925,135,0.5815,86.7,53.2,24.2,43.9,0.7223716381418093,0.0024449877750611,2.8167,0.07,True,,1955.0,0.47,57.59,High,current
CMF,California Medical Facility,38.3285102029971,-121.97916451130509,2045.0,0.49,0.5504074979625102,40.62387437615521,0.925,135,0.5815,86.7,53.2,24.2,43.9,0.7223716381418093,0.0024449877750611,2.8167,0.07,True,,1955.0,0.49,60.04,High,midcentury
COR,"California State Prison, Corcoran",36.060818292814254,-119.54912102574772,2629.0,0.66,0.38333333333333336,61.689244197361795,0.975,159,0.5779,71.5,40.1,9.8,18.4,0.7950107772283506,0.0,13.6083,0.27,True,Yes,1988.0,0.77,88.51,Highest,current
COR,"California State Prison, Corcoran",36.060818292814254,-119.54912102574772,2629.0,0.66,0.38333333333333336,61.689244197361795,0.975,159,0.5779,71.5,40.1,9.8,18.4,0.7950107772283506,0.0,13.6083,0.27,True,Yes,1988.0,0.87,100.0,Highest,midcentury
CRC,California Rehabilitation Center,33.9292530412966,-117.5725312861978,2330.0,0.43,0.24166666666666667,59.583481416329555,0.961,149,0.5713,52.9,26.0,1.8,4.0,0.8332618025751072,0.0,0.0,0.38,True,,1962.0,0.63,29.74,Moderate,current
CRC,California Rehabilitation Center,33.9292530412966,-117.5725312861978,2330.0,0.43,0.24166666666666667,59.583481416329555,0.961,149,0.5713,52.9,26.0,1.8,4.0,0.8332618025751072,0.0,0.0,0.38,True,,1962.0,0.69,32.58,Moderate,midcentury
CTF,Correctional Training Facility,36.46964827416208,-121.38223254073095,4225.0,0.37,0.325,12.204984562477916,1.935,60,0.0,48.400000000000006,48.5,0.0,14.7,0.8239842209072978,0.0,2.525,0.42,False,,1946.0,0.21,11.47,Lowest,current
CTF,Correctional Training Facility,36.46964827416208,-121.38223254073095,4225.0,0.37,0.325,12.204984562477916,1.935,60,0.0,48.400000000000006,48.5,0.0,14.7,0.8239842209072978,0.0,2.525,0.42,False,,1946.0,0.27,14.75,Lowest,midcentury
FOL,Folsom State Prison,38.69538346625723,-121.1630323451162,2777.0,0.44,0.25,42.258666363697984,1.097,158,0.0,42.2,26.8,0.0,3.4,0.8839274996999159,0.0,4.325,0.22,True,,1880.0,0.53,26.49,Moderate,current
FOL,Folsom State Prison,38.69538346625723,-121.1630323451162,2777.0,0.44,0.25,42.258666363697984,1.097,158,0.0,42.2,26.8,0.0,3.4,0.8839274996999159,0.0,4.325,0.22,True,,1880.0,0.6,29.99,Moderate,midcentury
HDSP,High Desert State Prison,40.40786908373915,-120.51339082085426,2719.0,0.39,0.2833333333333334,23.94519366034654,0.695,89,0.041,65.1,20.3,3.8,17.9,0.8000796861591273,0.0,3.6667,0.53,False,,1995.0,0.38,19.08,Lowest,current
HDSP,High Desert State Prison,40.40786908373915,-120.51339082085426,2719.0,0.39,0.2833333333333334,23.94519366034654,0.695,89,0.041,65.1,20.3,3.8,17.9,0.8000796861591273,0.0,3.6667,0.53,False,,1995.0,0.53,26.61,Moderate,midcentury
ISP,Ironwood State Prison,33.56097662668156,-114.9260675684116,2764.0,0.0,0.24166666666666667,65.61582130994081,0.005,1,0.0,25.799999999999997,35.8,0.0,7.6,0.8630607814761215,0.0,2.525,1.12,False,,1994.0,0.88,0.0,Lowest,current
ISP,Ironwood State Prison,33.56097662668156,-114.9260675684116,2764.0,0.0,0.24166666666666667,65.61582130994081,0.005,1,0.0,25.799999999999997,35.8,0.0,7.6,0.8630607814761215,0.0,2.525,1.12,False,,1994.0,0.93,0.0,Lowest,midcentury
KVSP,Kern Valley State Prison,35.76647451591408,-119.32536275967016,3092.0,0.33,0.35000000000000003,54.240175514320654,0.407,66,0.1504,66.4,14.8,10.9,12.2,0.9123814144027595,0.0,6.425,1.48,False,,2005.0,0.71,37.26,Moderate,current
KVSP,Kern Valley State Prison,35.76647451591408,-119.32536275967016,3092.0,0.33,0.35000000000000003,54.240175514320654,0.407,66,0.1504,66.4,14.8,10.9,12.2,0.9123814144027595,0.0,6.425,1.48,False,,2005.0,0.79,41.45,Moderate,midcentury
LAC,California State Prison-Los Angeles County,34.693596500791955,-118.2276135961975,2949.0,0.3,0.46666666666666673,34.084143030236156,0.241,39,0.0,76.6,25.0,20.5,21.5,0.9018028710297276,0.0,7.075,1.51,True,,1993.0,0.64,40.71,Moderate,current
LAC,California State Prison-Los Angeles County,34.693596500791955,-118.2276135961975,2949.0,0.3,0.46666666666666673,34.084143030236156,0.241,39,0.0,76.6,25.0,20.5,21.5,0.9018028710297276,0.0,7.075,1.51,True,,1993.0,0.75,47.7,Moderate,midcentury
MCSP,Mule Creek State Prison,38.37074337471898,-120.95344581511613,3761.0,0.29,0.4166666666666667,23.079087058140587,0.08,11,0.2625,82.9,38.2,21.1,26.8,0.7051094567047772,0.0,2.725,0.17,False,,1987.0,0.48,26.35,Moderate,current
MCSP,Mule Creek State Prison,38.37074337471898,-120.95344581511613,3761.0,0.29,0.4166666666666667,23.079087058140587,0.08,11,0.2625,82.9,38.2,21.1,26.8,0.7051094567047772,0.0,2.725,0.17,False,,1987.0,0.54,29.64,Moderate,midcentury
NKSP,North Kern State Prison,35.78188517301339,-119.30987566982682,2570.0,0.62,0.19999999999999998,58.88274154861368,0.827,134,0.6276,52.8,13.2,3.1,3.8,0.813780804150454,0.0,3.3667,0.21,False,,1993.0,0.72,40.56,Moderate,current
NKSP,North Kern State Prison,35.78188517301339,-119.30987566982682,2570.0,0.62,0.19999999999999998,58.88274154861368,0.827,134,0.6276,52.8,13.2,3.1,3.8,0.813780804150454,0.0,3.3667,0.21,False,,1993.0,0.81,45.63,Moderate,midcentury
PBSP,Pelican Bay State Prison,41.85480855418667,-124.1490751163596,2096.0,0.65,0.2833333333333334,21.345065727058465,15.75,63,0.3096,64.8,25.9,4.5,10.2,0.8045881043256998,0.0,4.7583,0.21,False,,1989.0,0.11,9.2,Lowest,current
PBSP,Pelican Bay State Prison,41.85480855418667,-124.1490751163596,2096.0,0.65,0.2833333333333334,21.345065727058465,15.75,63,0.3096,64.8,25.9,4.5,10.2,0.8045881043256998,0.0,4.7583,0.21,False,,1989.0,0.09,7.53,Lowest,midcentury
PVSP,Pleasant Valley State Prison,36.131473239777144,-120.24889960644474,2992.0,0.41,0.17500000000000002,17.850388774590186,0.411,67,,44.0,11.8,5.1,4.2,0.796401515151515,0.0,3.3333,0.37,False,,1994.0,0.43,14.02,Lowest,current
PVSP,Pleasant Valley State Prison,36.131473239777144,-120.24889960644474,2992.0,0.41,0.17500000000000002,17.850388774590186,0.411,67,,44.0,11.8,5.1,4.2,0.796401515151515,0.0,3.3333,0.37,False,,1994.0,0.5,16.3,Lowest,midcentury
RJD,R J Donovan Correctional Facility,32.58456492210108,-116.9335763874008,3592.0,0.37,0.5166666666666667,71.2991253984341,1.932,114,0.0,82.1,44.8,25.5,33.5,0.7720165181885672,0.0,3.5917,0.76,False,Yes,1987.0,0.51,44.29,Moderate,current
RJD,R J Donovan Correctional Facility,32.58456492210108,-116.9335763874008,3592.0,0.37,0.5166666666666667,71.2991253984341,1.932,114,0.0,82.1,44.8,25.5,33.5,0.7720165181885672,0.0,3.5917,0.76,False,Yes,1987.0,0.48,41.69,Moderate,midcentury
SAC,"California State Prison, Sacramento",38.694444232143624,-121.15390376526624,2131.0,0.42,0.5166666666666667,42.258666363697984,0.93,133,0.0,81.80000000000001,23.7,41.2,16.6,0.8562490223682153,0.0,12.7333,0.43,True,Yes,1986.0,0.53,52.25,High,current
SAC,"California State Prison, Sacramento",38.694444232143624,-121.15390376526624,2131.0,0.42,0.5166666666666667,42.258666363697984,0.93,133,0.0,81.80000000000001,23.7,41.2,16.6,0.8562490223682153,0.0,12.7333,0.43,True,Yes,1986.0,0.6,59.15,High,midcentury
SATF,Ca Substance Abuse Treatment Facility,36.05395908338128,-119.54782062864966,5358.0,0.61,0.4083333333333334,61.689244197361795,0.816,133,0.6008,73.4,34.9,11.5,25.4,0.8041091203185267,0.0,1.9167,0.21,True,Yes,1997.0,0.77,87.14,Highest,current
SATF,Ca Substance Abuse Treatment Facility,36.05395908338128,-119.54782062864966,5358.0,0.61,0.4083333333333334,61.689244197361795,0.816,133,0.6008,73.4,34.9,11.5,25.4,0.8041091203185267,0.0,1.9167,0.21,True,Yes,1997.0,0.87,98.45,Highest,midcentury
SCC,Sierra Conservation Center,37.89168865412792,-120.53654018648405,4035.0,0.49,0.075,23.802979386426276,1.041,154,0.0,13.4,10.0,0.0,2.3,0.796489054109872,0.0,2.8917,0.2,False,,1965.0,0.5,8.35,Lowest,current
SCC,Sierra Conservation Center,37.89168865412792,-120.53654018648405,4035.0,0.49,0.075,23.802979386426276,1.041,154,0.0,13.4,10.0,0.0,2.3,0.796489054109872,0.0,2.8917,0.2,False,,1965.0,0.62,10.35,Lowest,midcentury
SOL,"California State Prison, Solano",38.320776607604,-121.97523692020748,3735.0,0.63,0.31666666666666665,40.62387437615521,1.089,159,0.5815,43.8,28.5,0.0,14.3,0.9250111557340472,0.0,2.95,0.52,True,,1984.0,0.47,42.6,Moderate,current
SOL,"California State Prison, Solano",38.320776607604,-121.97523692020748,3735.0,0.63,0.31666666666666665,40.62387437615521,1.089,159,0.5815,43.8,28.5,0.0,14.3,0.9250111557340472,0.0,2.95,0.52,True,,1984.0,0.49,44.41,Moderate,midcentury
SQ,San Quentin State Prison,37.940039851419016,-122.4903665969169,2688.0,0.18,0.38333333333333336,31.085921282338564,1.414,41,0.0,74.0,51.0,9.2,16.2,0.7486049107142857,0.0,2.5917,0.49,True,Yes,1852.0,0.3,9.4,Lowest,current
SQ,San Quentin State Prison,37.940039851419016,-122.4903665969169,2688.0,0.18,0.38333333333333336,31.085921282338564,1.414,41,0.0,74.0,51.0,9.2,16.2,0.7486049107142857,0.0,2.5917,0.49,True,Yes,1852.0,0.36,11.29,Lowest,midcentury
SVSP,Salinas Valley State Prison,36.47885711260287,-121.37439425565836,2387.0,0.23,0.38333333333333336,12.204984562477916,0.032,1,0.0,71.19999999999999,21.1,11.4,17.8,0.882802681189778,0.0,4.5667,1.17,False,Yes,1996.0,0.21,8.41,Lowest,current
SVSP,Salinas Valley State Prison,36.47885711260287,-121.37439425565836,2387.0,0.23,0.38333333333333336,12.204984562477916,0.032,1,0.0,71.19999999999999,21.1,11.4,17.8,0.882802681189778,0.0,4.5667,1.17,False,Yes,1996.0,0.27,10.82,Lowest,midcentury
VSP,Valley State Prison,37.105477428630245,-120.15547185750694,3148.0,0.36,0.4166666666666667,54.67109503384696,0.321,52,0.0913,68.9,48.8,10.4,34.2,0.7310726387124099,0.0,1.0083,1.08,False,Yes,1995.0,0.68,46.34,Moderate,current
VSP,Valley State Prison,37.105477428630245,-120.15547185750694,3148.0,0.36,0.4166666666666667,54.67109503384696,0.321,52,0.0913,68.9,48.8,10.4,34.2,0.7310726387124099,0.0,1.0083,1.08,False,Yes,1995.0,0.74,50.43,High,midcentury
WSP,Wasco State Prison,35.59431194493489,-119.40833193657431,3676.0,0.59,0.19999999999999998,56.9272052060359,0.819,136,0.4839,54.4,12.3,3.4,5.2,0.8020946681175191,0.0,2.15,0.19,False,,1991.0,0.72,38.6,Moderate,current
WSP,Wasco State Prison,35.59431194493489,-119.40833193657431,3676.0,0.59,0.19999999999999998,56.9272052060359,0.819,136,0.4839,54.4,12.3,3.4,5.2,0.8020946681175191,0.0,2.15,0.19,False,,1991.0,0.76,40.74,Moderate,midcentury
