cdcr_code,name,latitude,longitude,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,pct_units_refrigeration,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,gender_female_pct,rhu_pct_2025,dist_nearest_medical_mi,in_urban_area_2020,california_model_facility,year_opened,hazard_score,risk_score,risk_category,time_period,index_version
PVSP,Pleasant Valley State Prison,36.131473239777144,-120.24889960644474,2992.0,0.41,0.17,17.850388774590186,0.411,67,,0.0606,44.0,11.8,5.1,4.2,0.796401515151515,0.0,3.3333,0.37,False,,1994.0,0.19,17.36,Lowest,current,v0.2
PVSP,Pleasant Valley State Prison,36.131473239777144,-120.24889960644474,2992.0,0.41,0.17,17.850388774590186,0.411,67,,0.0606,44.0,11.8,5.1,4.2,0.796401515151515,0.0,3.3333,0.37,False,,1994.0,0.65,43.66,Lowest,midcentury,v0.2
RJD,R J Donovan Correctional Facility,32.58456492210108,-116.9335763874008,3592.0,0.37,0.52,71.2991253984341,1.932,114,0.0,0.3649,82.1,44.8,25.5,33.5,0.7720165181885672,0.0,3.5917,0.76,False,Yes,1987.0,0.31,60.45,Moderate,current,v0.2
RJD,R J Donovan Correctional Facility,32.58456492210108,-116.9335763874008,3592.0,0.37,0.52,71.2991253984341,1.932,114,0.0,0.3649,82.1,44.8,25.5,33.5,0.7720165181885672,0.0,3.5917,0.76,False,Yes,1987.0,0.74,84.98,High,midcentury,v0.2
SAC,"California State Prison, Sacramento",38.694444232143624,-121.15390376526624,2131.0,0.42,0.51,42.258666363697984,0.93,133,0.0,0.2222,81.80000000000001,23.7,41.2,16.6,0.8562490223682153,0.0,12.7333,0.43,True,Yes,1986.0,0.23,58.75,Moderate,current,v0.2
SAC,"California State Prison, Sacramento",38.694444232143624,-121.15390376526624,2131.0,0.42,0.51,42.258666363697984,0.93,133,0.0,0.2222,81.80000000000001,23.7,41.2,16.6,0.8562490223682153,0.0,12.7333,0.43,True,Yes,1986.0,0.7,85.26,High,midcentury,v0.2
SATF,Ca Substance Abuse Treatment Facility,36.05395908338128,-119.54782062864966,5358.0,0.61,0.4,61.689244197361795,0.816,133,0.6008,0.0494,73.4,34.9,11.5,25.4,0.8041091203185267,0.0,1.9167,0.21,True,Yes,1997.0,0.2,55.73,Moderate,current,v0.2
SATF,Ca Substance Abuse Treatment Facility,36.05395908338128,-119.54782062864966,5358.0,0.61,0.4,61.689244197361795,0.816,133,0.6008,0.0494,73.4,34.9,11.5,25.4,0.8041091203185267,0.0,1.9167,0.21,True,Yes,1997.0,0.77,87.41,High,midcentury,v0.2
SCC,Sierra Conservation Center,37.89168865412792,-120.53654018648405,4035.0,0.49,0.08,23.802979386426276,1.041,154,0.0,0.0517,13.399999999999999,10.0,0.0,2.3,0.796489054109872,0.0,2.8917,0.2,False,,1965.0,0.22,12.93,Lowest,current,v0.2
SCC,Sierra Conservation Center,37.89168865412792,-120.53654018648405,4035.0,0.49,0.08,23.802979386426276,1.041,154,0.0,0.0517,13.399999999999999,10.0,0.0,2.3,0.796489054109872,0.0,2.8917,0.2,False,,1965.0,0.73,41.89,Lowest,midcentury,v0.2
